Name,OrderApi__Business_Group__c,OrderApi__Detail__c,OrderApi__Report_Category__c,OrderApi__Type__c,Errors,Id
1000-01 - Foundation Cash,a0sR0000004M9vbIAC,Bank,Balance Sheet,Asset,,a14R0000004sdR5IAI
1100-01 - Foundation Accounts Receivable,a0sR0000004M9vbIAC,Accounts Receivable (A/R),Balance Sheet,Asset,,a14R0000004sdR6IAI
2000-01 - Foundation Accounts Payable,a0sR0000004M9vbIAC,Accounst Payable (A/P),Balance Sheet,Liability,,a14R0000004sdR7IAI
2100-01 - Foundation Refunds Payable,a0sR0000004M9vbIAC,Accounts Payable,Income Statement,Liability,,a14R0000004sdR8IAI
2200-01 - Foundation Deferred Income,a0sR0000004M9vbIAC,Long-term Liabilities,Balance Sheet,Liability,,a14R0000004sdR9IAI
2300-01 - Foundation Taxes Payable,a0sR0000004M9vbIAC,Income,Income Statement,Income,,a14R0000004sdRAIAY
3000-01 - Foundation Retained Earnings,a0sR0000004M9vbIAC,Equity,Balance Sheet,Capital,,a14R0000004sdRBIAY
4000-01 - Foundation Income,a0sR0000004M9vbIAC,Income,Income Statement,Income,,a14R0000004sdRCIAY
6000-01 - Foundation Expenses,a0sR0000004M9vbIAC,Expense,Income Statement,Expense,,a14R0000004sdRDIAY
4100-01 - Foundation Organization Membership Income,a0sR0000004M9vbIAC,Income,Income Statement,Income,,a14R0000004sdREIAY
4200-01 - Foundation Individual Membership Income,a0sR0000004M9vbIAC,Income,Income Statement,Income,,a14R0000004sdRFIAY
4300-01 - Foundation Magazine Income,a0sR0000004M9vbIAC,Income,Income Statement,Income,,a14R0000004sdRGIAY
4400-01 - Foundation Event Income,a0sR0000004M9vbIAC,Income,Income Statement,Income,,a14R0000004sdRHIAY
4500-01 - Foundation Merchandise Income,a0sR0000004M9vbIAC,Income,Income Statement,Income,,a14R0000004sdRIIAY
5000-01 - Foundation Credit Memos,a0sR0000004M9vbIAC,Income,Income Statement,Income,,a14R0000004sdRJIAY
7100-01 - Foundation Write Offs,a0sR0000004M9vbIAC,Income,Income Statement,Income,,a14R0000004sdRKIAY
1000-02 - UK Chapter Cash,a0sR0000004M9vcIAC,Bank,Balance Sheet,Asset,,a14R0000004sdRLIAY
1100-02 - UK Chapter Accounts Receivable,a0sR0000004M9vcIAC,Accounts Receivable (A/R),Balance Sheet,Asset,,a14R0000004sdRMIAY
2000-02 - UK Chapter Accounts Payable,a0sR0000004M9vcIAC,Accounst Payable (A/P),Balance Sheet,Liability,,a14R0000004sdRNIAY
2100-02 - UK Chapter Refunds Payable,a0sR0000004M9vcIAC,Accounts Payable,Income Statement,Liability,,a14R0000004sdROIAY
2200-02 - UK Chapter Deferred Income,a0sR0000004M9vcIAC,Long-term Liabilities,Balance Sheet,Liability,,a14R0000004sdRPIAY
2300-02 - UK Chapter Taxes Payable,a0sR0000004M9vcIAC,Income,Income Statement,Income,,a14R0000004sdRQIAY
3000-02 - UK Chapter Retained Earnings,a0sR0000004M9vcIAC,Equity,Balance Sheet,Capital,,a14R0000004sdRRIAY
4000-02 - UK Chapter Income,a0sR0000004M9vcIAC,Income,Income Statement,Income,,a14R0000004sdRSIAY
6000-02 - UK Chapter Expenses,a0sR0000004M9vcIAC,Expense,Income Statement,Expense,,a14R0000004sdRTIAY
4100-02 - UK Chapter Organization Membership Income,a0sR0000004M9vcIAC,Income,Income Statement,Income,,a14R0000004sdRUIAY
4200-02 - UK Chapter Individual Membership Income,a0sR0000004M9vcIAC,Income,Income Statement,Income,,a14R0000004sdRVIAY
4300-02 - UK Chapter Magazine Income,a0sR0000004M9vcIAC,Income,Income Statement,Income,,a14R0000004sdRWIAY
4400-02 - UK Chapter Event Income,a0sR0000004M9vcIAC,Income,Income Statement,Income,,a14R0000004sdRXIAY
4500-02 - UK Chapter Merchandise Income,a0sR0000004M9vcIAC,Income,Income Statement,Income,,a14R0000004sdRYIAY
5000-02 - UK Chapter Credit Memos,a0sR0000004M9vcIAC,Income,Income Statement,Income,,a14R0000004sdRZIAY
7100-02 - UK Chapter Write Offs,a0sR0000004M9vcIAC,Income,Income Statement,Income,,a14R0000004sdRaIAI
1000-03 - NA Society Cash,a0sR0000004M9vdIAC,Bank,Balance Sheet,Asset,,a14R0000004sdRbIAI
1100-03 - NA Society Accounts Receivable,a0sR0000004M9vdIAC,Accounts Receivable (A/R),Balance Sheet,Asset,,a14R0000004sdRcIAI
2000-03 - NA Society Accounts Payable,a0sR0000004M9vdIAC,Accounst Payable (A/P),Balance Sheet,Liability,,a14R0000004sdRdIAI
2100-03 - NA Society Refunds Payable,a0sR0000004M9vdIAC,Accounts Payable,Income Statement,Liability,,a14R0000004sdReIAI
2200-03 - NA Society Deferred Income,a0sR0000004M9vdIAC,Long-term Liabilities,Balance Sheet,Liability,,a14R0000004sdRfIAI
2300-03 - NA Society Taxes Payable,a0sR0000004M9vdIAC,Income,Income Statement,Income,,a14R0000004sdRgIAI
3000-03 - NA Society Retained Earnings,a0sR0000004M9vdIAC,Equity,Balance Sheet,Capital,,a14R0000004sdRhIAI
4000-03 - NA Society Income,a0sR0000004M9vdIAC,Income,Income Statement,Income,,a14R0000004sdRiIAI
6000-03 - NA Society Expenses,a0sR0000004M9vdIAC,Expense,Income Statement,Expense,,a14R0000004sdRjIAI
4100-03 - NA Society Organization Membership Income,a0sR0000004M9vdIAC,Income,Income Statement,Income,,a14R0000004sdRkIAI
4200-03 - NA Society Individual Membership Income,a0sR0000004M9vdIAC,Income,Income Statement,Income,,a14R0000004sdRlIAI
4300-03 - NA Society Magazine Income,a0sR0000004M9vdIAC,Income,Income Statement,Income,,a14R0000004sdRmIAI
4400-03 - NA Society Event Income,a0sR0000004M9vdIAC,Income,Income Statement,Income,,a14R0000004sdRnIAI
4500-03 - NA Society Merchandise Income,a0sR0000004M9vdIAC,Income,Income Statement,Income,,a14R0000004sdRoIAI
5000-03 - NA Society Credit Memos,a0sR0000004M9vdIAC,Income,Income Statement,Income,,a14R0000004sdRpIAI
7100-03 - NA Society Write Offs,a0sR0000004M9vdIAC,Income,Income Statement,Income,,a14R0000004sdRqIAI
6100 - Adjustments,a0sR0000004M9vaIAC,Expense,Income Statement,Expenses,,a14R0000004sdRrIAI
2400 - International Taxes Payable,a0sR0000004M9vaIAC,Current Liabilities,Balance Sheet,Liability,,a14R0000004sdRsIAI
4000-10 - FDN Dorothy Vaughan Scholarship Income,a0sR0000004M9vbIAC,Income,Income Statement,Income,,a14R0000004sdRtIAI
6300 Publication Income,a0sR0000004M9vaIAC,Income,Income Statement,Income,,a14R0000004sdRuIAI
4100 Merchandise Income,a0sR0000004M9vaIAC,Income,Income Statement,Income,,a14R0000004sdRvIAI
4501 – Anniversary Edition Leather Bound Notebook,a0sR0000004M9vaIAC,Income,Income Statement,Income,,a14R0000004sdRwIAI
