Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Business_Group__c,OrderApi__Detail__c,OrderApi__Report_Category__c,OrderApi__Type__c,OrderApi__Business_Group__r.Id
a104W00000FuSxAQAV,false,4200 - Individual Membership Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Income,Income Statement,Income,a0o4W00000MOvweQAD
a104W00000FuSxBQAV,false,4300 - Magazine Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Income,Income Statement,Income,a0o4W00000MOvweQAD
a104W00000FuSxCQAV,false,4400 - Event Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Income,Income Statement,Income,a0o4W00000MOvweQAD
a104W00000FuSxDQAV,false,4500 - Merchandise Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Income,Income Statement,Income,a0o4W00000MOvweQAD
a104W00000FuSwlQAF,false,5000 - Credit Memos,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Income,Income Statement,Income,a0o4W00000MOvweQAD
a104W00000FuSwnQAF,false,7100 - Write Offs,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Income,Income Statement,Income,a0o4W00000MOvweQAD
a104W00000FuSxEQAV,false,6055 - Shipping,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Other Expense,Income Statement,Expenses,a0o4W00000MOvweQAD
a104W00000FuSwrQAF,false,1000-01 - Foundation Cash,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Bank,Balance Sheet,Asset,a0o4W00000MOvwfQAD
a104W00000FuSwpQAF,false,1100-01 - Foundation Accounts Receivable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Accounts Receivable (A/R),Balance Sheet,Asset,a0o4W00000MOvwfQAD
a104W00000FuSwtQAF,false,2000-01 - Foundation Accounts Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Accounst Payable (A/P),Balance Sheet,Liability,a0o4W00000MOvwfQAD
a104W00000FuSxFQAV,false,2100-01 - Foundation Refunds Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Accounts Payable,Income Statement,Liability,a0o4W00000MOvwfQAD
a104W00000FuSxGQAV,false,2200-01 - Foundation Deferred Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Long-term Liabilities,Balance Sheet,Liability,a0o4W00000MOvwfQAD
a104W00000FuSxHQAV,false,2300-01 - Foundation Taxes Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Income,Income Statement,Income,a0o4W00000MOvwfQAD
a104W00000FuSxIQAV,false,3000-01 - Foundation Retained Earnings,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Equity,Balance Sheet,Capital,a0o4W00000MOvwfQAD
a104W00000FuSxJQAV,false,4000-01 - Foundation Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Income,Income Statement,Income,a0o4W00000MOvwfQAD
a104W00000FuSxKQAV,false,6000-01 - Foundation Expenses,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Expense,Income Statement,Expense,a0o4W00000MOvwfQAD
a104W00000FuSxLQAV,false,4100-01 - Foundation Organization Membership Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Income,Income Statement,Income,a0o4W00000MOvwfQAD
a104W00000FuSxMQAV,false,4200-01 - Foundation Individual Membership Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Income,Income Statement,Income,a0o4W00000MOvwfQAD
a104W00000FuSxNQAV,false,4300-01 - Foundation Magazine Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Income,Income Statement,Income,a0o4W00000MOvwfQAD
a104W00000FuSxOQAV,false,4400-01 - Foundation Event Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Income,Income Statement,Income,a0o4W00000MOvwfQAD
a104W00000FuSxPQAV,false,4500-01 - Foundation Merchandise Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Income,Income Statement,Income,a0o4W00000MOvwfQAD
a104W00000FuSwqQAF,false,5000-01 - Foundation Credit Memos,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Income,Income Statement,Income,a0o4W00000MOvwfQAD
a104W00000FuSwsQAF,false,7100-01 - Foundation Write Offs,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Income,Income Statement,Income,a0o4W00000MOvwfQAD
a104W00000FuSwwQAF,false,1000-02 - UK Chapter Cash,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Bank,Balance Sheet,Asset,a0o4W00000MOvwgQAD
a104W00000FuSwuQAF,false,1100-02 - UK Chapter Accounts Receivable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Accounts Receivable (A/R),Balance Sheet,Asset,a0o4W00000MOvwgQAD
a104W00000FuSwyQAF,false,2000-02 - UK Chapter Accounts Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Accounst Payable (A/P),Balance Sheet,Liability,a0o4W00000MOvwgQAD
a104W00000FuSxQQAV,false,2100-02 - UK Chapter Refunds Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Accounts Payable,Income Statement,Liability,a0o4W00000MOvwgQAD
a104W00000FuSxRQAV,false,2200-02 - UK Chapter Deferred Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Long-term Liabilities,Balance Sheet,Liability,a0o4W00000MOvwgQAD
a104W00000FuSxSQAV,false,2300-02 - UK Chapter Taxes Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Income,Income Statement,Income,a0o4W00000MOvwgQAD
a104W00000FuSxTQAV,false,3000-02 - UK Chapter Retained Earnings,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Equity,Balance Sheet,Capital,a0o4W00000MOvwgQAD
a104W00000FuSxUQAV,false,4000-02 - UK Chapter Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Income,Income Statement,Income,a0o4W00000MOvwgQAD
a104W00000FuSxVQAV,false,6000-02 - UK Chapter Expenses,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Expense,Income Statement,Expense,a0o4W00000MOvwgQAD
a104W00000FuSxWQAV,false,4100-02 - UK Chapter Organization Membership Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Income,Income Statement,Income,a0o4W00000MOvwgQAD
a104W00000FuSxXQAV,false,4200-02 - UK Chapter Individual Membership Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Income,Income Statement,Income,a0o4W00000MOvwgQAD
a104W00000FuSxYQAV,false,4300-02 - UK Chapter Magazine Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Income,Income Statement,Income,a0o4W00000MOvwgQAD
a104W00000FuSxZQAV,false,4400-02 - UK Chapter Event Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Income,Income Statement,Income,a0o4W00000MOvwgQAD
a104W00000FuSxaQAF,false,4500-02 - UK Chapter Merchandise Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Income,Income Statement,Income,a0o4W00000MOvwgQAD
a104W00000FuSwvQAF,false,5000-02 - UK Chapter Credit Memos,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Income,Income Statement,Income,a0o4W00000MOvwgQAD
a104W00000FuSwxQAF,false,7100-02 - UK Chapter Write Offs,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwgQAD,Income,Income Statement,Income,a0o4W00000MOvwgQAD
a104W00000FuSx1QAF,false,1000-03 - NA Society Cash,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Bank,Balance Sheet,Asset,a0o4W00000MOvwhQAD
a104W00000FuSwzQAF,false,1100-03 - NA Society Accounts Receivable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Accounts Receivable (A/R),Balance Sheet,Asset,a0o4W00000MOvwhQAD
a104W00000FuSx3QAF,false,2000-03 - NA Society Accounts Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Accounst Payable (A/P),Balance Sheet,Liability,a0o4W00000MOvwhQAD
a104W00000FuSxbQAF,false,2100-03 - NA Society Refunds Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Accounts Payable,Income Statement,Liability,a0o4W00000MOvwhQAD
a104W00000FuSxcQAF,false,2200-03 - NA Society Deferred Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Long-term Liabilities,Balance Sheet,Liability,a0o4W00000MOvwhQAD
a104W00000FuSxdQAF,false,2300-03 - NA Society Taxes Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Income,Income Statement,Income,a0o4W00000MOvwhQAD
a104W00000FuSxeQAF,false,3000-03 - NA Society Retained Earnings,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Equity,Balance Sheet,Capital,a0o4W00000MOvwhQAD
a104W00000FuSxfQAF,false,4000-03 - NA Society Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Income,Income Statement,Income,a0o4W00000MOvwhQAD
a104W00000FuSxgQAF,false,6000-03 - NA Society Expenses,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Expense,Income Statement,Expense,a0o4W00000MOvwhQAD
a104W00000FuSxhQAF,false,4100-03 - NA Society Organization Membership Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Income,Income Statement,Income,a0o4W00000MOvwhQAD
a104W00000FuSxiQAF,false,4200-03 - NA Society Individual Membership Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Income,Income Statement,Income,a0o4W00000MOvwhQAD
a104W00000FuSxjQAF,false,4300-03 - NA Society Magazine Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Income,Income Statement,Income,a0o4W00000MOvwhQAD
a104W00000FuSxkQAF,false,4400-03 - NA Society Event Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Income,Income Statement,Income,a0o4W00000MOvwhQAD
a104W00000FuSxlQAF,false,4500-03 - NA Society Merchandise Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Income,Income Statement,Income,a0o4W00000MOvwhQAD
a104W00000FuSx0QAF,false,5000-03 - NA Society Credit Memos,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Income,Income Statement,Income,a0o4W00000MOvwhQAD
a104W00000FuSx2QAF,false,7100-03 - NA Society Write Offs,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwhQAD,Income,Income Statement,Income,a0o4W00000MOvwhQAD
a104W00000FuSxmQAF,false,6100 - Adjustments,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Expense,Income Statement,Expenses,a0o4W00000MOvweQAD
a104W00000FuSxnQAF,false,2400 - International Taxes Payable,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Current Liabilities,Balance Sheet,Liability,a0o4W00000MOvweQAD
a104W00000FuSxoQAF,false,4000-10 - FDN Dorothy Vaughan Scholarship Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvwfQAD,Income,Income Statement,Income,a0o4W00000MOvwfQAD
a104W00000FuSxpQAF,false,6300 Publication Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Income,Income Statement,Income,a0o4W00000MOvweQAD
a104W00000FuSxqQAF,false,4100 Merchandise Income,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0o4W00000MOvweQAD,Income,Income Statement,Income,a0o4W00000MOvweQAD
a104W00000FuVCmQAN,false,4501 – Anniversary Edition Leather Bound Notebook,2020-08-31T08:26:06.000+0000,2020-08-31T08:26:06.000+0000,2020-08-31T08:26:06.000+0000,a0o4W00000MOvweQAD,Income,Income Statement,Income,a0o4W00000MOvweQAD
