Id,Name,OrderApi__Transaction__c,OrderApi__Activation_Date__c,OrderApi__Auto_Calculate_Activation_Date__c,OrderApi__Business_Group__c,OrderApi__Credit__c,OrderApi__Date__c,OrderApi__Debit__c,OrderApi__End_Date__c,OrderApi__GL_Account__c,OrderApi__Invoice_Line__c,OrderApi__Invoice__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Memo__c,OrderApi__Receipt_Line__c,OrderApi__Receipt__c,OrderApi__Sales_Order_Line__c,OrderApi__Subscription_Line__c,OrderApi__Subscription_Plan__c,OrderApi__Subscription__c,OrderApi__Type__c,OrderApi__EPayment_Line__c,OrderApi__Sales_Order__c,OrderApi__Transaction__r.Id,OrderApi__Business_Group__r.Name,OrderApi__GL_Account__r.Id,OrderApi__Invoice_Line__r.Id,OrderApi__Invoice__r.Id,OrderApi__Item_Class__r.Id,OrderApi__Item__r.Id,OrderApi__Receipt_Line__r.Id,OrderApi__Receipt__r.Id,OrderApi__Sales_Order_Line__r.Id,OrderApi__Subscription_Line__r.Id,OrderApi__Subscription_Plan__r.Id,OrderApi__Subscription__r.Id,OrderApi__EPayment_Line__r.Id,OrderApi__Sales_Order__r.Id
a1U4W000009M2OjUAK,0000011530,a1V4W00000FrBXBUA3,,true,a0o4W00000M5SknQAF,10,2020-08-10,0,,a104W00000G3d1HQAR,,,a134W000009DZGEQA4,a154W00000926RhQAI,A fancy globe with pinpoints indicating all of the countries of IA customers.,a1D4W0000061urPUAQ,a1E4W00000DtYBNUA3,a1I4W00000HFZpWUAX,,,,Cash,,a1J4W00000CgFuWUAV,a1V4W00000FrBXBUA3,FON-International Association,a104W00000G3d1HQAR,,,a134W000009DZGEQA4,a154W00000926RhQAI,a1D4W0000061urPUAQ,a1E4W00000DtYBNUA3,a1I4W00000HFZpWUAX,,,,,a1J4W00000CgFuWUAV
a1U4W000009M2OkUAK,0000004479,a1V4W00000FrAeKUAV,,true,a0o4W00000M5SknQAF,0,2019-11-05,2500,,a104W00000G3d1EQAR,,,,,Sales Order #000002038,,a1E4W00000DtYA8UAN,,,,,Cash,,,a1V4W00000FrAeKUAV,FON-International Association,a104W00000G3d1EQAR,,,,,,a1E4W00000DtYA8UAN,,,,,,
a1U4W000009M2OlUAK,0000004480,a1V4W00000FrAeKUAV,2020-01-01,true,a0o4W00000M5SknQAF,2500,2019-11-05,0,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeKUAV,FON-International Association,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OmUAK,0000004481,a1V4W00000FrAeLUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-01-31,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeLUAV,FON-International Association,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OnUAK,0000004482,a1V4W00000FrAeLUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-01-31,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeLUAV,FON-International Association,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OoUAK,0000004483,a1V4W00000FrAeMUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-02-29,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeMUAV,FON-International Association,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OpUAK,0000004484,a1V4W00000FrAeMUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-02-29,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeMUAV,FON-International Association,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OqUAK,0000004485,a1V4W00000FrAeNUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-03-31,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeNUAV,FON-International Association,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OrUAK,0000004486,a1V4W00000FrAeNUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-03-31,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeNUAV,FON-International Association,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OsUAK,0000004487,a1V4W00000FrAeOUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-04-30,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeOUAV,FON-International Association,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OtUAK,0000004488,a1V4W00000FrAeOUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-04-30,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeOUAV,FON-International Association,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OuUAK,0000004489,a1V4W00000FrAePUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-05-31,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAePUAV,FON-International Association,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OvUAK,0000004490,a1V4W00000FrAePUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-05-31,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAePUAV,FON-International Association,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OwUAK,0000004491,a1V4W00000FrAeQUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-06-30,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeQUAV,FON-International Association,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OxUAK,0000004492,a1V4W00000FrAeQUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-06-30,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeQUAV,FON-International Association,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OyUAK,0000004493,a1V4W00000FrAeRUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-07-31,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeRUAV,FON-International Association,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2OzUAK,0000004494,a1V4W00000FrAeRUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-07-31,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeRUAV,FON-International Association,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2P0UAK,0000004495,a1V4W00000FrAeSUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-08-31,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeSUAV,FON-International Association,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2P1UAK,0000004496,a1V4W00000FrAeSUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-08-31,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeSUAV,FON-International Association,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2P2UAK,0000004497,a1V4W00000FrAeTUAV,2020-01-01,true,a0o4W00000M5SknQAF,0,2020-09-30,208.33,2020-12-31,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeTUAV,FON-International Association,a104W00000G3d1aQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
a1U4W000009M2P3UAK,0000004498,a1V4W00000FrAeTUAV,2020-01-01,true,a0o4W00000M5SknQAF,208.33,2020-09-30,0,2020-12-31,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,Cash,a0y4W00000VRkvxQAD,,a1V4W00000FrAeTUAV,FON-International Association,a104W00000G3d1eQAB,,,a134W000009DZGNQA4,a154W00000926QvQAI,a1D4W0000061upHUAQ,a1E4W00000DtYA8UAN,a1I4W00000HFZkZUAX,,a1R4W000004PyfNUAS,a1S4W000004D1S5UAK,a0y4W00000VRkvxQAD,
