Id,EventApi__Event__c,EventApi__Event_Category__c,Name,EventApi__Item__c,EventApi__Adjustment_Account__c,EventApi__Allow_Conflicts__c,EventApi__Assignments_Display_Label__c,EventApi__Business_Group__c,EventApi__Capacity__c,EventApi__Cost__c,EventApi__Defer_Revenue__c,EventApi__Deferred_Revenue_Account__c,EventApi__Deferred_Revenue_Term__c,EventApi__Description__c,EventApi__Disable_Registration__c,EventApi__Discount_Account__c,EventApi__Display_Name__c,EventApi__Duration__c,EventApi__Enable_Access_Permissions__c,EventApi__Enable_Assignments__c,EventApi__Enable_Waitlist__c,EventApi__End_Date_Time__c,EventApi__End_Date__c,EventApi__End_Time__c,EventApi__Flex_Day_of_the_Month__c,EventApi__Form__c,EventApi__Image_Path__c,EventApi__Image_URL__c,EventApi__Income_Account__c,EventApi__Interview_Form_Display_Label__c,EventApi__Is_Active__c,EventApi__Is_Automatically_Added__c,EventApi__Is_Contribution__c,EventApi__Is_Tax_Deductible__c,EventApi__Is_Taxable__c,EventApi__Item_Class__c,EventApi__Line_Description__c,EventApi__Maximum_Number_of_Assignments__c,EventApi__Price__c,EventApi__Quantity_Available__c,EventApi__Quantity_Remaining__c,EventApi__Quantity_Sold__c,EventApi__Refund_Account__c,EventApi__Require_Assignments__c,EventApi__Restrict_Number_of_Assignments__c,EventApi__Revenue_Recognition_Date__c,EventApi__Revenue_Recognition_Rule__c,EventApi__Revenue_Recognition_Term_Rule__c,EventApi__Room__c,EventApi__SKU__c,EventApi__Session_End_Time__c,EventApi__Session_Start_Time__c,EventApi__Start_Date_Time__c,EventApi__Start_Date__c,EventApi__Start_Time__c,EventApi__Tax_Class__c,ROEApi__Event_Display_Name__c,ROEApi__Event_Name__c,EventApi__AR_Account__c,EventApi__Hide_During_Registration__c,EventApi__Invoice_Payment_Priority__c,EventApi__Required_for_Registration__c,EventApi__Event__r.Id,EventApi__Event_Category__r.Id,EventApi__Item__r.Id,EventApi__Adjustment_Account__r.Id,EventApi__Business_Group__r.Name,EventApi__Deferred_Revenue_Account__r.Id,EventApi__Discount_Account__r.Id,EventApi__Form__r.Id,EventApi__Income_Account__r.Id,EventApi__Item_Class__r.Id,EventApi__Refund_Account__r.Id,EventApi__Room__r.Id,EventApi__Tax_Class__r.Id,EventApi__AR_Account__r.Id
a1d4W00000jHX4BQAW,,a1X4W00000QcL5IUAV,Conference Check-In,a154W00000926YkQAI,a104W00000G3d2HQAR,true,,a0o4W00000M5SknQAF,0,,false,,,<p>Please check-in when you arrive at the symposium.</p>,true,a104W00000G3d1EQAR,Conference Check-In,03:00,false,false,false,2022-07-01T19:00:00.000+0000,2022-07-01,: PM,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000G3d1HQAR,,false,false,false,false,false,a134W000009DZIAQA4,,,,7000,7000,0,a104W00000G3d1HQAR,false,false,,,,,,12:00 PM,9:00 AM,2022-07-01T16:00:00.000+0000,2022-07-01,: PM,,TEST2,,a104W00000G3d1FQAR,false,,false,,a1X4W00000QcL5IUAV,a154W00000926YkQAI,a104W00000G3d2HQAR,FON-International Association,,a104W00000G3d1EQAR,,a104W00000G3d1HQAR,a134W000009DZIAQA4,a104W00000G3d1HQAR,,,a104W00000G3d1FQAR
a1d4W00000jHX4CQAW,,a1X4W00000QcL5IUAV,Keynote Speech,a154W00000926YlQAI,a104W00000G3d2HQAR,true,,a0o4W00000M5SknQAF,0,,false,,,"<p>Attend our Keynote Speech for inspiration from Bob Kelley, Vice President of ABC Corporation.</p>",false,a104W00000G3d1EQAR,Keynote Speech,01:00,false,false,false,2022-07-01T19:00:00.000+0000,2022-07-01,: PM,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000G3d1HQAR,,false,false,false,false,false,a134W000009DZIAQA4,,,,7000,7000,0,a104W00000G3d1HQAR,false,false,,,,,,12:00 PM,11:00 AM,2022-07-01T18:00:00.000+0000,2022-07-01,: PM,,TEST2,,a104W00000G3d1FQAR,false,,false,,a1X4W00000QcL5IUAV,a154W00000926YlQAI,a104W00000G3d2HQAR,FON-International Association,,a104W00000G3d1EQAR,,a104W00000G3d1HQAR,a134W000009DZIAQA4,a104W00000G3d1HQAR,,,a104W00000G3d1FQAR
a1d4W00000jHX4DQAW,,a1X4W00000QcL5IUAV,Leadership Workshop,a154W00000926YmQAI,a104W00000G3d2HQAR,true,,a0o4W00000M5SknQAF,0,,false,,,<p>Attend this session to sharpen your leadership skills.</p>,false,a104W00000G3d1EQAR,Leadership Workshop,01:00,false,false,true,2022-07-02T00:00:00.000+0000,2022-07-01,: PM,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000G3d1HQAR,,false,false,false,false,false,a134W000009DZIAQA4,,,25,4000,4000,0,a104W00000G3d1HQAR,false,false,,,,,,5:00 PM,4:00 PM,2022-07-01T23:00:00.000+0000,2022-07-01,: PM,,TEST2,,a104W00000G3d1FQAR,false,,false,,a1X4W00000QcL5IUAV,a154W00000926YmQAI,a104W00000G3d2HQAR,FON-International Association,,a104W00000G3d1EQAR,,a104W00000G3d1HQAR,a134W000009DZIAQA4,a104W00000G3d1HQAR,,,a104W00000G3d1FQAR
a1d4W00000jHX4EQAW,,a1X4W00000QcL5IUAV,Luncheon,a154W00000926YnQAI,a104W00000G3d2HQAR,true,,a0o4W00000M5SknQAF,0,,false,,,<p>Join us for a complimentary luncheon on Wednesday. This is a great networking opportunity for both new and returning members.</p>,false,a104W00000G3d1EQAR,Luncheon,01:15,false,false,false,2022-07-02T20:15:00.000+0000,2022-07-02,: PM,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000G3d1HQAR,,false,false,false,false,false,a134W000009DZIAQA4,,,,7000,7000,0,a104W00000G3d1HQAR,false,false,,,,,,1:15 PM,12:00 PM,2022-07-02T19:00:00.000+0000,2022-07-02,: PM,,TEST2,,a104W00000G3d1FQAR,false,,false,,a1X4W00000QcL5IUAV,a154W00000926YnQAI,a104W00000G3d2HQAR,FON-International Association,,a104W00000G3d1EQAR,,a104W00000G3d1HQAR,a134W000009DZIAQA4,a104W00000G3d1HQAR,,,a104W00000G3d1FQAR
a1d4W00000jHX4FQAW,,a1X4W00000QcL5IUAV,Round Table Discussion I,a154W00000926YoQAI,a104W00000G3d2HQAR,true,,a0o4W00000M5SknQAF,0,,false,,,<p>Join us for a round table discussion on the latest trends and topics in our field.</p>,false,a104W00000G3d1EQAR,Round Table Discussion I,01:30,false,false,true,2022-07-01T22:30:00.000+0000,2022-07-01,: PM,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000G3d1HQAR,,false,false,false,false,false,a134W000009DZIAQA4,,,,1000,1000,0,a104W00000G3d1HQAR,false,false,,,,,,3:30 PM,2:00 PM,2022-07-01T21:00:00.000+0000,2022-07-01,: PM,,TEST2,,a104W00000G3d1FQAR,false,,false,,a1X4W00000QcL5IUAV,a154W00000926YoQAI,a104W00000G3d2HQAR,FON-International Association,,a104W00000G3d1EQAR,,a104W00000G3d1HQAR,a134W000009DZIAQA4,a104W00000G3d1HQAR,,,a104W00000G3d1FQAR
a1d4W00000jHX4GQAW,,a1X4W00000QcL5IUAV,Round Table Discussion II,a154W00000926YpQAI,a104W00000G3d2HQAR,false,,a0o4W00000M5SknQAF,0,,false,,,<p>Join the Association Leaders for a discussion on exciting developments and roadmap of the organization.</p>,false,a104W00000G3d1EQAR,Round Table Discussion II,01:15,false,false,true,2022-07-02T23:15:00.000+0000,2022-07-02,: PM,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000G3d1HQAR,,false,false,false,false,false,a134W000009DZIAQA4,,,,4000,4000,0,a104W00000G3d1HQAR,false,false,,,,,,4:15 PM,3:00 PM,2022-07-02T22:00:00.000+0000,2022-07-02,: PM,,TEST2,,a104W00000G3d1FQAR,false,,false,,a1X4W00000QcL5IUAV,a154W00000926YpQAI,a104W00000G3d2HQAR,FON-International Association,,a104W00000G3d1EQAR,,a104W00000G3d1HQAR,a134W000009DZIAQA4,a104W00000G3d1HQAR,,,a104W00000G3d1FQAR
a1d4W00000jHX4HQAW,,a1X4W00000QcL5IUAV,Welcome Breakfast,a154W00000926YqQAI,a104W00000G3d2HQAR,true,,a0o4W00000M5SknQAF,0,,false,,,<p>Welcome to the Annual Symposium. Join us for a continental breakfast on the second floor.</p>,true,a104W00000G3d1EQAR,Welcome Breakfast,01:00,false,false,false,2022-07-01T18:00:00.000+0000,2022-07-01,: PM,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000G3d1HQAR,,false,false,false,false,false,a134W000009DZIAQA4,,,,7000,7000,0,a104W00000G3d1HQAR,false,false,,,,,,11:00 AM,10:00 AM,2022-07-01T17:00:00.000+0000,2022-07-01,: PM,,TEST2,,a104W00000G3d1FQAR,false,,false,,a1X4W00000QcL5IUAV,a154W00000926YqQAI,a104W00000G3d2HQAR,FON-International Association,,a104W00000G3d1EQAR,,a104W00000G3d1HQAR,a134W000009DZIAQA4,a104W00000G3d1HQAR,,,a104W00000G3d1FQAR
a1d4W00000jHX4IQAW,,a1X4W00000QcL5IUAV,Advanced Discussion,a154W00000926YwQAI,a104W00000G3d2HQAR,true,,a0o4W00000M5SknQAF,0,,false,,,<p>The Advanced Discussion is where industry leaders come together and brainstorm new ideas.</p>,false,a104W00000G3d1EQAR,Advanced Discussion,02:00,false,false,true,2022-07-15T18:00:00.000+0000,2022-07-15,: PM,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000G3d1HQAR,,false,false,false,false,false,a134W000009DZICQA4,,,25,5000,5000,0,a104W00000G3d1HQAR,false,false,,,,,,1:00 PM,11:00 AM,2022-07-15T16:00:00.000+0000,2022-07-15,: PM,,Clone3,,a104W00000G3d1FQAR,false,,false,,a1X4W00000QcL5IUAV,a154W00000926YwQAI,a104W00000G3d2HQAR,FON-International Association,,a104W00000G3d1EQAR,,a104W00000G3d1HQAR,a134W000009DZICQA4,a104W00000G3d1HQAR,,,a104W00000G3d1FQAR
a1d4W00000jHX1zQAG,,a1X4W00000QcL5IUAV,Conferece Check In,a154W00000926VBQAY,a104W00000G3d2HQAR,true,,a0o4W00000M5SknQAF,0,,false,,,<p>Please check in when you arrive at the symposium.</p>,true,a104W00000G3d1EQAR,Conference Check In,03:00,false,false,false,2021-08-13T17:00:00.000+0000,2021-08-13,: PM,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000G3d1HQAR,,false,false,false,false,false,a134W000009DZIjQAO,,,,7000,7000,0,a104W00000G3d1HQAR,false,false,,,,,,12:00 PM,9:00 AM,2021-08-13T14:00:00.000+0000,2021-08-13,: PM,,CloneTest,,a104W00000G3d1FQAR,false,,false,,a1X4W00000QcL5IUAV,a154W00000926VBQAY,a104W00000G3d2HQAR,FON-International Association,,a104W00000G3d1EQAR,,a104W00000G3d1HQAR,a134W000009DZIjQAO,a104W00000G3d1HQAR,,,a104W00000G3d1FQAR
a1d4W00000jHX20QAG,,a1X4W00000QcL5IUAV,Keynote Speech,a154W00000926VCQAY,a104W00000G3d2HQAR,true,,a0o4W00000M5SknQAF,0,,false,,,"<p>Welcome to the Conference. Attend our Keynote Speech for inspiration from Gerald Frank, Vice President of ABC Corporation.</p>",false,a104W00000G3d1EQAR,Keynote Speech,01:00,false,false,false,2021-08-13T17:00:00.000+0000,2021-08-13,: PM,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000G3d1HQAR,,false,false,false,false,false,a134W000009DZIjQAO,,,,7000,7000,0,a104W00000G3d1HQAR,false,false,,,,,,12:00 PM,11:00 AM,2021-08-13T16:00:00.000+0000,2021-08-13,: PM,,CloneTest,,a104W00000G3d1FQAR,false,,false,,a1X4W00000QcL5IUAV,a154W00000926VCQAY,a104W00000G3d2HQAR,FON-International Association,,a104W00000G3d1EQAR,,a104W00000G3d1HQAR,a134W000009DZIjQAO,a104W00000G3d1HQAR,,,a104W00000G3d1FQAR
a1d4W00000jHX21QAG,,a1X4W00000QcL5IUAV,Leadership Workshop,a154W00000926VDQAY,a104W00000G3d2HQAR,true,,a0o4W00000M5SknQAF,0,,false,,,<p>Attend this session to sharpen your leadership skills.</p>,false,a104W00000G3d1EQAR,Leadership Workshop,01:00,false,false,true,2021-08-13T22:00:00.000+0000,2021-08-13,: PM,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000G3d1HQAR,,false,false,false,false,false,a134W000009DZIjQAO,,,25,4000,4000,0,a104W00000G3d1HQAR,false,false,,,,,,5:00 PM,4:00 PM,2021-08-13T21:00:00.000+0000,2021-08-13,: PM,,CloneTest,,a104W00000G3d1FQAR,false,,false,,a1X4W00000QcL5IUAV,a154W00000926VDQAY,a104W00000G3d2HQAR,FON-International Association,,a104W00000G3d1EQAR,,a104W00000G3d1HQAR,a134W000009DZIjQAO,a104W00000G3d1HQAR,,,a104W00000G3d1FQAR
