Id,Name,External_Id__c,EventApi__Section__c,EventApi__Is_Assigned__c,EventApi__Seat_Number__c,EventApi__Section__r.External_Id__c
a284W00000N1GHpQAN,SEAT-00000226,35,a2A4W0000072n2EUAQ,false,5,2
a284W00000N1GHqQAN,SEAT-00000227,36,a2A4W0000072n2EUAQ,false,6,2
a284W00000N1GHrQAN,SEAT-00000228,37,a2A4W0000072n2EUAQ,false,7,2
a284W00000N1GHsQAN,SEAT-00000229,38,a2A4W0000072n2EUAQ,false,8,2
a284W00000N1GHtQAN,SEAT-00000230,39,a2A4W0000072n2FUAQ,false,1,3
a284W00000N1GHuQAN,SEAT-00000231,40,a2A4W0000072n2FUAQ,false,2,3
a284W00000N1GHvQAN,SEAT-00000232,41,a2A4W0000072n2FUAQ,false,3,3
a284W00000N1GHwQAN,SEAT-00000233,42,a2A4W0000072n2FUAQ,false,4,3
a284W00000N1GHxQAN,SEAT-00000234,43,a2A4W0000072n2FUAQ,false,5,3
a284W00000N1GHyQAN,SEAT-00000235,44,a2A4W0000072n2FUAQ,false,6,3
a284W00000N1GHzQAN,SEAT-00000236,45,a2A4W0000072n2FUAQ,false,7,3
a284W00000N1GI0QAN,SEAT-00000237,46,a2A4W0000072n2FUAQ,false,8,3
a284W00000N1GI1QAN,SEAT-00000238,47,a2A4W0000072n2GUAQ,false,1,4
a284W00000N1GI2QAN,SEAT-00000239,48,a2A4W0000072n2GUAQ,false,2,4
a284W00000N1GI3QAN,SEAT-00000240,49,a2A4W0000072n2GUAQ,false,3,4
a284W00000N1GI4QAN,SEAT-00000241,50,a2A4W0000072n2GUAQ,false,4,4
a284W00000N1GI5QAN,SEAT-00000242,51,a2A4W0000072n2GUAQ,false,5,4
a284W00000N1GI6QAN,SEAT-00000243,52,a2A4W0000072n2GUAQ,false,6,4
a284W00000N1GI7QAN,SEAT-00000244,53,a2A4W0000072n2GUAQ,false,7,4
a284W00000N1GI8QAN,SEAT-00000245,54,a2A4W0000072n2GUAQ,false,8,4
a284W00000N1GI9QAN,SEAT-00000246,55,a2A4W0000072n2HUAQ,false,1,5
a284W00000N1GIAQA3,SEAT-00000247,56,a2A4W0000072n2HUAQ,false,2,5
a284W00000N1GIBQA3,SEAT-00000248,57,a2A4W0000072n2HUAQ,false,3,5
a284W00000N1GICQA3,SEAT-00000249,58,a2A4W0000072n2HUAQ,false,4,5
a284W00000N1GIDQA3,SEAT-00000250,59,a2A4W0000072n2HUAQ,false,5,5
a284W00000N1GIEQA3,SEAT-00000251,60,a2A4W0000072n2HUAQ,false,6,5
a284W00000N1GIFQA3,SEAT-00000252,61,a2A4W0000072n2HUAQ,false,7,5
a284W00000N1GIGQA3,SEAT-00000253,62,a2A4W0000072n2HUAQ,false,8,5
a284W00000N1GIHQA3,SEAT-00000254,63,a2A4W0000072n2IUAQ,false,1,6
a284W00000N1GIIQA3,SEAT-00000255,64,a2A4W0000072n2IUAQ,false,2,6
a284W00000N1GIJQA3,SEAT-00000256,65,a2A4W0000072n2IUAQ,false,3,6
a284W00000N1GIKQA3,SEAT-00000257,66,a2A4W0000072n2IUAQ,false,4,6
a284W00000N1GILQA3,SEAT-00000258,67,a2A4W0000072n2IUAQ,false,5,6
a284W00000N1GIMQA3,SEAT-00000259,68,a2A4W0000072n2IUAQ,false,6,6
a284W00000N1GINQA3,SEAT-00000260,69,a2A4W0000072n2IUAQ,false,7,6
a284W00000N1GIOQA3,SEAT-00000261,70,a2A4W0000072n2IUAQ,false,8,6
a284W00000N1GIPQA3,SEAT-00000262,71,a2A4W0000072n2JUAQ,false,1,7
a284W00000N1GIQQA3,SEAT-00000263,72,a2A4W0000072n2JUAQ,false,2,7
a284W00000N1GIRQA3,SEAT-00000264,73,a2A4W0000072n2JUAQ,false,3,7
a284W00000N1GISQA3,SEAT-00000265,74,a2A4W0000072n2JUAQ,false,4,7
a284W00000N1GITQA3,SEAT-00000266,75,a2A4W0000072n2JUAQ,false,5,7
a284W00000N1GIUQA3,SEAT-00000267,76,a2A4W0000072n2JUAQ,false,6,7
a284W00000N1GIVQA3,SEAT-00000268,77,a2A4W0000072n2JUAQ,false,7,7
a284W00000N1GIWQA3,SEAT-00000269,78,a2A4W0000072n2JUAQ,false,8,7
a284W00000N1GIXQA3,SEAT-00000270,79,a2A4W0000072n2KUAQ,false,1,8
a284W00000N1GIYQA3,SEAT-00000271,80,a2A4W0000072n2KUAQ,false,2,8
a284W00000N1GIZQA3,SEAT-00000272,81,a2A4W0000072n2KUAQ,false,3,8
a284W00000N1GIaQAN,SEAT-00000273,82,a2A4W0000072n2KUAQ,false,4,8
a284W00000N1GIbQAN,SEAT-00000274,83,a2A4W0000072n2KUAQ,false,5,8
a284W00000N1GIcQAN,SEAT-00000275,84,a2A4W0000072n2KUAQ,false,6,8
a284W00000N1GIdQAN,SEAT-00000276,85,a2A4W0000072n2KUAQ,false,7,8
a284W00000N1GIeQAN,SEAT-00000277,86,a2A4W0000072n2KUAQ,false,8,8
a284W00000N1GIfQAN,SEAT-00000182,87,a2A4W0000072n2PUAQ,false,21,13
a284W00000N1GIgQAN,SEAT-00000183,88,a2A4W0000072n2PUAQ,false,22,13
a284W00000N1GIhQAN,SEAT-00000184,89,a2A4W0000072n2PUAQ,false,23,13
a284W00000N1GIiQAN,SEAT-00000185,90,a2A4W0000072n2PUAQ,false,24,13
a284W00000N1GIjQAN,SEAT-00000186,91,a2A4W0000072n2PUAQ,false,25,13
a284W00000N1GIkQAN,SEAT-00000187,92,a2A4W0000072n2PUAQ,false,26,13
a284W00000N1GIlQAN,SEAT-00000188,93,a2A4W0000072n2PUAQ,false,27,13
a284W00000N1GImQAN,SEAT-00000189,94,a2A4W0000072n2PUAQ,false,28,13
a284W00000N1GInQAN,SEAT-00000190,95,a2A4W0000072n2PUAQ,false,29,13
a284W00000N1GIoQAN,SEAT-00000191,96,a2A4W0000072n2PUAQ,false,30,13
a284W00000N1GIpQAN,SEAT-00000086,97,a2A4W0000072n2LUAQ,false,1,9
a284W00000N1GIqQAN,SEAT-00000087,98,a2A4W0000072n2LUAQ,false,2,9
a284W00000N1GIrQAN,SEAT-00000088,99,a2A4W0000072n2LUAQ,false,3,9
a284W00000N1GIsQAN,SEAT-00000089,100,a2A4W0000072n2LUAQ,false,4,9
a284W00000N1GItQAN,SEAT-00000090,101,a2A4W0000072n2LUAQ,false,5,9
a284W00000N1GIuQAN,SEAT-00000091,102,a2A4W0000072n2LUAQ,false,6,9
a284W00000N1GIvQAN,SEAT-00000092,103,a2A4W0000072n2LUAQ,false,7,9
a284W00000N1GIwQAN,SEAT-00000093,104,a2A4W0000072n2LUAQ,false,8,9
a284W00000N1GIxQAN,SEAT-00000094,105,a2A4W0000072n2MUAQ,true,1,10
a284W00000N1GIyQAN,SEAT-00000095,106,a2A4W0000072n2MUAQ,false,2,10
a284W00000N1GIzQAN,SEAT-00000096,107,a2A4W0000072n2MUAQ,false,3,10
a284W00000N1GJ0QAN,SEAT-00000097,108,a2A4W0000072n2MUAQ,false,4,10
a284W00000N1GJ1QAN,SEAT-00000098,109,a2A4W0000072n2MUAQ,false,5,10
a284W00000N1GJ2QAN,SEAT-00000099,110,a2A4W0000072n2MUAQ,false,6,10
a284W00000N1GJ3QAN,SEAT-00000100,111,a2A4W0000072n2MUAQ,false,7,10
a284W00000N1GJ4QAN,SEAT-00000101,112,a2A4W0000072n2MUAQ,false,8,10
a284W00000N1GJ5QAN,SEAT-00000102,113,a2A4W0000072n2NUAQ,false,1,11
a284W00000N1GJ6QAN,SEAT-00000103,114,a2A4W0000072n2NUAQ,false,2,11
a284W00000N1GJ7QAN,SEAT-00000104,115,a2A4W0000072n2NUAQ,false,3,11
a284W00000N1GJ8QAN,SEAT-00000105,116,a2A4W0000072n2NUAQ,false,4,11
a284W00000N1GJ9QAN,SEAT-00000106,117,a2A4W0000072n2NUAQ,false,5,11
a284W00000N1GJAQA3,SEAT-00000107,118,a2A4W0000072n2NUAQ,false,6,11
a284W00000N1GJBQA3,SEAT-00000108,119,a2A4W0000072n2NUAQ,false,7,11
a284W00000N1GJCQA3,SEAT-00000109,120,a2A4W0000072n2NUAQ,false,8,11
a284W00000N1GJDQA3,SEAT-00000110,121,a2A4W0000072n2OUAQ,false,1,12
a284W00000N1GJEQA3,SEAT-00000111,122,a2A4W0000072n2OUAQ,false,2,12
a284W00000N1GJFQA3,SEAT-00000112,123,a2A4W0000072n2OUAQ,false,3,12
a284W00000N1GJGQA3,SEAT-00000113,124,a2A4W0000072n2OUAQ,false,4,12
a284W00000N1GJHQA3,SEAT-00000114,125,a2A4W0000072n2OUAQ,false,5,12
a284W00000N1GJIQA3,SEAT-00000115,126,a2A4W0000072n2OUAQ,false,6,12
a284W00000N1GJJQA3,SEAT-00000116,127,a2A4W0000072n2OUAQ,false,7,12
a284W00000N1GJKQA3,SEAT-00000117,128,a2A4W0000072n2OUAQ,false,8,12
a284W00000N1GJLQA3,SEAT-00000118,129,a2A4W0000072n2QUAQ,false,1,14
a284W00000N1GJMQA3,SEAT-00000119,130,a2A4W0000072n2QUAQ,false,2,14
a284W00000N1GJNQA3,SEAT-00000120,131,a2A4W0000072n2QUAQ,false,3,14
a284W00000N1GJOQA3,SEAT-00000121,132,a2A4W0000072n2QUAQ,false,4,14
a284W00000N1GJPQA3,SEAT-00000122,133,a2A4W0000072n2QUAQ,false,5,14
a284W00000N1GJQQA3,SEAT-00000123,134,a2A4W0000072n2QUAQ,false,6,14
a284W00000N1GJRQA3,SEAT-00000124,135,a2A4W0000072n2QUAQ,false,7,14
a284W00000N1GJSQA3,SEAT-00000125,136,a2A4W0000072n2QUAQ,false,8,14
a284W00000N1GJTQA3,SEAT-00000126,137,a2A4W0000072n2RUAQ,false,1,15
a284W00000N1GJUQA3,SEAT-00000127,138,a2A4W0000072n2RUAQ,false,2,15
a284W00000N1GJVQA3,SEAT-00000128,139,a2A4W0000072n2RUAQ,false,3,15
a284W00000N1GJWQA3,SEAT-00000129,140,a2A4W0000072n2RUAQ,false,4,15
a284W00000N1GJXQA3,SEAT-00000130,141,a2A4W0000072n2RUAQ,false,5,15
a284W00000N1GJYQA3,SEAT-00000131,142,a2A4W0000072n2RUAQ,false,6,15
a284W00000N1GJZQA3,SEAT-00000132,143,a2A4W0000072n2RUAQ,false,7,15
a284W00000N1GJaQAN,SEAT-00000133,144,a2A4W0000072n2RUAQ,false,8,15
a284W00000N1GJbQAN,SEAT-00000134,145,a2A4W0000072n2SUAQ,false,1,16
a284W00000N1GJcQAN,SEAT-00000135,146,a2A4W0000072n2SUAQ,false,2,16
a284W00000N1GJdQAN,SEAT-00000136,147,a2A4W0000072n2SUAQ,false,3,16
a284W00000N1GJeQAN,SEAT-00000137,148,a2A4W0000072n2SUAQ,false,4,16
a284W00000N1GJfQAN,SEAT-00000138,149,a2A4W0000072n2SUAQ,false,5,16
a284W00000N1GJgQAN,SEAT-00000139,150,a2A4W0000072n2SUAQ,false,6,16
a284W00000N1GJhQAN,SEAT-00000140,151,a2A4W0000072n2SUAQ,false,7,16
a284W00000N1GJiQAN,SEAT-00000141,152,a2A4W0000072n2SUAQ,false,8,16
a284W00000N1GHIQA3,SEAT-00000142,153,a2A4W0000072n2PUAQ,true,1,13
a284W00000N1GJjQAN,SEAT-00000143,154,a2A4W0000072n2PUAQ,false,2,13
a284W00000N1GHJQA3,SEAT-00000146,155,a2A4W0000072n2PUAQ,true,5,13
a284W00000N1GJkQAN,SEAT-00000151,156,a2A4W0000072n2PUAQ,false,10,13
a284W00000N1GHKQA3,SEAT-00000152,157,a2A4W0000072n2PUAQ,true,11,13
a284W00000N1GJlQAN,SEAT-00000153,158,a2A4W0000072n2PUAQ,false,12,13
a284W00000N1GJmQAN,SEAT-00000154,159,a2A4W0000072n2PUAQ,false,13,13
a284W00000N1GJnQAN,SEAT-00000155,160,a2A4W0000072n2PUAQ,false,14,13
a284W00000N1GJoQAN,SEAT-00000156,161,a2A4W0000072n2PUAQ,false,15,13
a284W00000N1GJpQAN,SEAT-00000157,162,a2A4W0000072n2PUAQ,false,16,13
a284W00000N1GJqQAN,SEAT-00000158,163,a2A4W0000072n2PUAQ,false,17,13
a284W00000N1GJrQAN,SEAT-00000159,164,a2A4W0000072n2PUAQ,false,18,13
a284W00000N1GJsQAN,SEAT-00000160,165,a2A4W0000072n2PUAQ,false,19,13
a284W00000N1GJtQAN,SEAT-00000161,166,a2A4W0000072n2PUAQ,false,20,13
a284W00000N1GJuQAN,SEAT-00000162,167,a2A4W0000072n2PUAQ,false,21,13
a284W00000N1GJvQAN,SEAT-00000163,168,a2A4W0000072n2PUAQ,false,22,13
a284W00000N1GJwQAN,SEAT-00000164,169,a2A4W0000072n2PUAQ,false,23,13
a284W00000N1GJxQAN,SEAT-00000165,170,a2A4W0000072n2PUAQ,false,24,13
a284W00000N1GJyQAN,SEAT-00000166,171,a2A4W0000072n2PUAQ,false,25,13
a284W00000N1GJzQAN,SEAT-00000167,172,a2A4W0000072n2PUAQ,false,26,13
