Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,Jigsaw,AccountSource,SicDesc,OrderApi__Account_Email__c,OrderApi__Annual_Engagement_Score__c,OrderApi__Disable_Badge_Flow_down__c,OrderApi__Lifetime_Engagement_Score__c,OrderApi__Outstanding_Credits__c,OrderApi__Price_Rules_Usages__c,OrderApi__Primary_Contact__c,CPBase__Restrict_Assignment_Visibility__c,DonorApi__Accepts_Unsolicited_Proposals__c,DonorApi__Active_Recurring_Gift__c,DonorApi__Annual_Giving_Total__c,DonorApi__Auto_Calculate_Household_Greetings__c,DonorApi__Classification__c,DonorApi__Do_Not_Solicit__c,DonorApi__First_Gift_Date__c,DonorApi__Funding_Cycle__c,DonorApi__Gift_Opportunities__c,DonorApi__Gifts_Outstanding__c,DonorApi__Gifts_Received__c,DonorApi__Gives_Anonymously__c,DonorApi__Has_Open_Gift_Opportunity__c,DonorApi__Household_Default_Greeting_Type__c,DonorApi__Household_Email__c,DonorApi__Household_Formal_Greeting__c,DonorApi__Household_Informal_Greeting__c,DonorApi__Largest_Gift__c,DonorApi__Last_Gift_Amount__c,DonorApi__Last_Gift_Date__c,DonorApi__Matches_Employee_Giving__c,DonorApi__Next_Funding_Cycle_Month__c,DonorApi__Num_Open_Gift_Opportunities__c,DonorApi__Organizational_Recognition_Name__c,DonorApi__Primary_Relationship_Manager__c,OrderApi__Restrict_Assignment_Visibility__c,OrderApi__Privacy_Settings__c,Errors,Id
HIma Shah Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hshah+testingddd@fusionspan.com,,false,,,,003R000001XNsEDIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyMsIAK
Sammy David Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdavid@mailinator.com,,false,,,,003R000001XNsEFIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyMtIAK
Briawna Binion Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbinio2@illinois.edu,,false,,,,003R000001XNsEGIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyMuIAK
Lovelee Lawanda kirk Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mzkirk2u@gmail.com,,false,,,,003R000001XNsEHIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyMvIAK
Gessika Johnson Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gthurma23@gmail.com,,false,,,,003R000001XNsEIIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyMwIAK
Jenifer Alonzo Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jalonzo@fionta.com,,false,,,"{""a1C3s000003oNf7EAE"":1,""a1C3s000003oNf0EAE"":1,""a1C6A000001x2Y3UAI"":1,""a1C6A000001CbbmUAC"":1,""a1C3s000003oNf6EAE"":1}",003R000001XNsEVIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyMxIAK
"EUT-XYZ, Inc. 0",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsEfIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyMyIAK
"EUT-XYZ, Inc. 1",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsEhIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyMzIAK
"EUT-XYZ, Inc. 2",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,,003R000001XNsEjIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyN0IAK
"EUT-XYZ, Inc. 3",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsElIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyN1IAK
"EUT-XYZ, Inc. 4",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsEtIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyN2IAK
"EUT-XYZ, Inc. 5",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsEvIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyN3IAK
"EUT-XYZ, Inc. 6",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsExIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyN4IAK
"EUT-XYZ, Inc. 7",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsEzIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyN5IAK
"EUT-XYZ, Inc. 8",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsF1IAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyN6IAK
"EUT-XYZ, Inc. 9",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsF3IAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyN7IAK
"EUT-XYZ, Inc. 10",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001Bn4wUAC"":1}",003R000001XNsF5IAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyN8IAK
"EUT-XYZ, Inc. 11",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsFYIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyN9IAK
"EUT-XYZ, Inc. 12",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsFaIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNAIA0
"EUT-XYZ, Inc. 13",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsFcIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNBIA0
"EUT-XYZ, Inc. 14",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001xEPeUAM"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsFeIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNCIA0
"EUT-XYZ, Inc. 15",Non-Member,4420 Fairfax Dr.,Arlington,Virginia,,United States,38.881797,-77.114492,Address,4420 Fairfax Dr.,Arlington,Virginia,,United States,,,,55512345670,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A0000031dOrUAI"":1,""a1C6A000001Bn4wUAC"":1,""a1C6A000001xEPeUAM"":1}",003R000001XNsFgIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNDIA0
Shannon Z Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,"{""a1C6A000001D4zMUAS"":1,""a1C6A000001xF6gUAE"":1}",003R000001XNsFhIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNEIA0
test test0420 Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test0420@mailinator.com,,false,,,"{""a1C6A000001xF8CUAU"":3,""a1C6A000001xF6gUAE"":3}",003R000001XNsFlIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNFIA0
test test420-2 Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test420-2@mailinator.com,,false,,,"{""a1C6A000001xF8HUAU"":1,""a1C6A000001xF6gUAE"":1}",003R000001XNsFmIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNGIA0
test420 test420-3 Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test420-3@mailinator.com,,false,,,,003R000001XNsFnIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNHIA0
test420-3 test420-3 Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test420-33@mailinator.com,,false,,,,003R000001XNsFoIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNIIA0
John Cena Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcena@mailinator.com,,false,,,,003R000001XNsGNIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNJIA0
min haj Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minmin@mailinator.com,,false,,,,003R000001XNsGOIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNKIA0
pragnan bogg Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pbogg@mailinator.com,,false,,,,003R000001XNsGQIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNLIA0
Joe Brewer Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jbrewer@mailinator.com,,false,,,,003R000001XNsGRIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNMIA0
FON-Brewtiful Coffee and Tea,Member,1410 Key Highway,Baltimore,Maryland,21230,United States,39.27336,-76.602239,Block,1410 Key Highway,Baltimore,Maryland,21230,United States,,,,(555) 263-3832,,,brewteaful.com,,,7500000,27,Private,,BrewTeaful Coffee and Teas is the premier warm beverage company in Northern Virginia. Serving our famous blends of coffee and tea in our flagship store as well as shipping worldwide.,,,,,,brewteaful@mailinator.com,95,false,95,5253,"{""a1C6A000001Bn7MUAS"":1,""a1C6A000001Bn7NUAS"":1,""a1C6A000001Bn7DUAS"":2,""a1C6A000001xEPeUAM"":3,""a1C6A000001Bn7KUAS"":2,""a1C6A000001Bn7OUAS"":1,""a1C6A000001Bn4wUAC"":1}",003R000001XNsGRIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNNIA0
Janice JustTesting123 Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,justtesting123@mailinator.com,,false,,,,003R000001XNsGWIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNOIA0
Mufasa Perez Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claper87@gmail.com,,false,,,"{""a1C6A000001Bn7cUAC"":1}",003R000001XNsGXIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNPIA0
Sharon McGill Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samcgill65@yahoo.com,,false,,,,003R000001XNsGYIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNQIA0
hander mcbewkson Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ia@smokingleads.net,,false,,,,003R000001XNsGZIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNRIA0
hander mcbewkson Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international@smokingleads.net,,false,,,,003R000001XNsGaIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNSIA0
Alfreda Jones Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fredaj3@yahoo.com,,false,,,,003R000001XNsGcIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNTIA0
Hima Testing 2019R1 Shah Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hshah+testing2019@fusionspan.com,,false,,,,003R000001XNsHIIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNUIA0
Hima Testing 2019R1 Shah Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hshah+testing20191@fusionspan.com,,false,,,,003R000001XNsHJIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNVIA0
Bridget Miller  Bursey Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brmbursey72@att.net,,false,,,,003R000001XNsHKIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNWIA0
First Last Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,email@amil.com,,false,,,,003R000001XNsHLIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNXIA0
Irene Gaines Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trigaines@yahoo.com,,false,,,,003R000001XNsHMIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNYIA0
test84 test Household,Non-Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test84@mailinator.com,,false,,,,003R000001XNsHQIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,false,,,,,false,private,,001R000001lCyNZIA0
