Id,Name,joinapi__Button_Label__c,joinapi__Description__c,joinapi__Display_Name__c,joinapi__Is_Default_Item__c,joinapi__Is_Marketing_Item_Group__c,joinapi__Is_Marketing_Item__c,joinapi__Is_Published__c,joinapi__Item_Badge_Types_Filter__c,joinapi__Item_Criteria__c,joinapi__Item_Group_Header__c,joinapi__Item_Group__c,joinapi__Item__c,joinapi__Next_Step__c,joinapi__Order__c,joinapi__Step__c,joinapi__Item_Group__r.Id,joinapi__Item__r.Name,joinapi__Next_Step__r.Id,joinapi__Step__r.Id
a1z4W00000A9vl1QAB,000041,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Staff' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Staff</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Staff""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6swQAB,,FON-Professional Membership,,a204W00000Ex6swQAB
a1z4W00000A9vl2QAB,000042,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Admin' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Admin</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Admin""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6swQAB,,FON-Professional Membership,,a204W00000Ex6swQAB
a1z4W00000A9vl3QAB,000043,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Professor' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Professor</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Professor""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6swQAB,,FON-Professional Membership,,a204W00000Ex6swQAB
a1z4W00000A9vl4QAB,000044,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Student' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Student</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Student""}]}",,,a154W000008mjpSQAQ,,,a204W00000Ex6t0QAB,,FON-Student Membership,,a204W00000Ex6t0QAB
a1z4W00000A9vl5QAB,000048,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '50' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>50</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""50""}]}",,,a154W000008mjpiQAA,,,a204W00000Ex6t0QAB,,FON-Donation 50,,a204W00000Ex6t0QAB
a1z4W00000A9vl6QAB,000049,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '100' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>100</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""100""}]}",,,a154W000008mjqrQAA,,,a204W00000Ex6t0QAB,,FON-Donation 100,,a204W00000Ex6t0QAB
a1z4W00000A9vl7QAB,000050,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '200' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>200</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""200""}]}",,,a154W000008mju2QAA,,,a204W00000Ex6t0QAB,,FON-Donation 200,,a204W00000Ex6t0QAB
a1z4W00000A9vl8QAB,000051,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '500' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>500</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""500""}]}",,,a154W000008mjqlQAA,,,a204W00000Ex6t0QAB,,FON-Scholorship Donation500,,a204W00000Ex6t0QAB
a1z4W00000A9vl9QAB,000052,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '1000' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>1000</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""1000""}]}",,,a154W000008mjqtQAA,,,a204W00000Ex6t0QAB,,FON-Scholorship Donation1000,,a204W00000Ex6t0QAB
a1z4W00000A9vlAQAR,000053,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '50' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>50</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""50""}]}",,,a154W000008mjpiQAA,,,a204W00000Ex6swQAB,,FON-Donation 50,,a204W00000Ex6swQAB
a1z4W00000A9vlBQAR,000054,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '100' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>100</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""100""}]}",,,a154W000008mjqrQAA,,,a204W00000Ex6swQAB,,FON-Donation 100,,a204W00000Ex6swQAB
a1z4W00000A9vlCQAR,000055,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '200' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>200</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""200""}]}",,,a154W000008mju2QAA,,,a204W00000Ex6swQAB,,FON-Donation 200,,a204W00000Ex6swQAB
a1z4W00000A9vlDQAR,000056,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '500' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>500</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""500""}]}",,,a154W000008mjqlQAA,,,a204W00000Ex6swQAB,,FON-Scholorship Donation500,,a204W00000Ex6swQAB
a1z4W00000A9vlEQAR,000057,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '1000' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>1000</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""1000""}]}",,,a154W000008mjqtQAA,,,a204W00000Ex6swQAB,,FON-Scholorship Donation1000,,a204W00000Ex6swQAB
a1z4W00000A9vlFQAR,000058,,,,false,false,false,false,,"{""whereClause"":"" Membership_Types__c = 'FON_Associate Membership' "",""displayClause"":""Membership Types (Membership_Types__c) <em>Equals</em> <strong>FON_Associate Membership</strong>"",""criteriaClause"":[{""filterObject"":""Account"",""filterField"":""Membership_Types__c"",""filterOperator"":""="",""filterValue"":""FON_Associate Membership""}]}",,,a154W000008mjp9QAA,,,a204W00000Ex6t5QAB,,FON-Associate Membership,,a204W00000Ex6t5QAB
a1z4W00000A9vlGQAR,000059,,,,false,false,false,false,,"{""whereClause"":"" Membership_Types__c = 'FON_Company Membership' "",""displayClause"":""Membership Types (Membership_Types__c) <em>Equals</em> <strong>FON_Company Membership</strong>"",""criteriaClause"":[{""filterObject"":""Account"",""filterField"":""Membership_Types__c"",""filterOperator"":""="",""filterValue"":""FON_Company Membership""}]}",,,a154W000008mjplQAA,,,a204W00000Ex6t5QAB,,FON-Company Membership(PreAuthorized Payment Required),,a204W00000Ex6t5QAB
a1z4W00000A9vlJQAR,000060,,,,false,true,false,false,,,National Memberships,,,,0,,,,,
a1z4W00000A9vlKQAR,000062,,,,false,true,false,false,,,National Membership,,,,0,,,,,
a1z4W00000A9vlHQAR,000064,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '1500' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>1500</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""1500""}]}",,,a154W000008mjqvQAA,,,a204W00000Ex6swQAB,,FON-Scholarship Donation1500,,a204W00000Ex6swQAB
a1z4W00000A9vkmQAB,000021,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Associate Membership,false,false,true,true,,,,,a154W000008mjp9QAA,a204W00000Ex6spQAB,,a204W00000Ex6tFQAR,,FON-Associate Membership,a204W00000Ex6spQAB,a204W00000Ex6tFQAR
a1z4W00000A9vknQAB,000022,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Professional Membership,false,false,true,true,,,,,a154W000008mjpLQAQ,a204W00000Ex6sqQAB,,a204W00000Ex6tFQAR,,FON-Professional Membership,a204W00000Ex6sqQAB,a204W00000Ex6tFQAR
a1z4W00000A9vkoQAB,000023,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Student Membership,false,false,true,true,,,,,a154W000008mjpSQAQ,a204W00000Ex6srQAB,,a204W00000Ex6tFQAR,,FON-Student Membership,a204W00000Ex6srQAB,a204W00000Ex6tFQAR
a1z4W00000A9vlIQAR,000024,,,,false,true,false,false,,,Membership Types,,,,0,,,,,
a1z4W00000A9vkpQAB,000025,Select,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Student Membership,false,false,true,true,,,Student Membership,a1z4W00000A9vlIQAR,a154W000008mjpSQAQ,,0,,a1z4W00000A9vlIQAR,FON-Student Membership,,
a1z4W00000A9vkqQAB,000026,,,,false,true,false,false,,,Memberships,,,,0,a204W00000Ex6ssQAB,,,,a204W00000Ex6ssQAB
a1z4W00000A9vkrQAB,000027,Next,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Student Membership,false,false,true,true,,,Student Membership,a1z4W00000A9vkqQAB,a154W000008mjpSQAQ,a204W00000Ex6suQAB,0,a204W00000Ex6ssQAB,a1z4W00000A9vkqQAB,FON-Student Membership,a204W00000Ex6suQAB,a204W00000Ex6ssQAB
a1z4W00000A9vksQAB,000028,,,,false,false,false,false,,"{""whereClause"":"" Department = 'Student' "",""displayClause"":""Department (Department) <em>Equals</em> <strong>Student</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""="",""filterValue"":""Student""}]}",,,a154W000008mjpSQAQ,,,a204W00000Ex6stQAB,,FON-Student Membership,,a204W00000Ex6stQAB
a1z4W00000A9vktQAB,000029,,,,false,false,false,false,,"{""whereClause"":"" Department LIKE '%Staff%' "",""displayClause"":""Department (Department) <em>Contains</em> <strong>'Staff'</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""LIKE"",""filterValue"":""Staff""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6stQAB,,FON-Professional Membership,,a204W00000Ex6stQAB
a1z4W00000A9vkuQAB,000031,,,,false,false,false,false,,"{""whereClause"":"" Department = 'Professor' "",""displayClause"":""Department (Department) <em>Equals</em> <strong>Professor</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""="",""filterValue"":""Professor""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6stQAB,,FON-Professional Membership,,a204W00000Ex6stQAB
a1z4W00000A9vkvQAB,000030,,,,false,false,false,false,,"{""whereClause"":"" Department = 'Admin' "",""displayClause"":""Department (Department) <em>Equals</em> <strong>Admin</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""="",""filterValue"":""Admin""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6stQAB,,FON-Professional Membership,,a204W00000Ex6stQAB
a1z4W00000A9vkwQAB,000036,Next,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Professional Membership,false,false,true,true,,,Professional Membership,a1z4W00000A9vkqQAB,a154W000008mjpLQAQ,a204W00000Ex6syQAB,0,a204W00000Ex6ssQAB,a1z4W00000A9vkqQAB,FON-Professional Membership,a204W00000Ex6syQAB,a204W00000Ex6ssQAB
a1z4W00000A9vkxQAB,000037,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Staff' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Staff</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Staff""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6t0QAB,,FON-Professional Membership,,a204W00000Ex6t0QAB
a1z4W00000A9vkyQAB,000038,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Admin' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Admin</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Admin""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6t0QAB,,FON-Professional Membership,,a204W00000Ex6t0QAB
a1z4W00000A9vkzQAB,000039,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Professor' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Professor</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Professor""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6t0QAB,,FON-Professional Membership,,a204W00000Ex6t0QAB
a1z4W00000A9vl0QAB,000040,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Student' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Student</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Student""}]}",,,a154W000008mjpSQAQ,,,a204W00000Ex6swQAB,,FON-Student Membership,,a204W00000Ex6swQAB
a1z4W00000A9vklQAB,000020,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Company Membership,false,false,true,true,,,,,a154W000008mjptQAA,a204W00000Ex6soQAB,,a204W00000Ex6tFQAR,,FON-Old Company Membership (PreAuthorized Payment Required),a204W00000Ex6soQAB,a204W00000Ex6tFQAR
