Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Enable_Transition_for_Status__c,EventApi__Event__c,EventApi__Is_Current_Status_for_Event__c,EventApi__Is_Event_Active__c,EventApi__Is_Event_Published__c,EventApi__Order__c,EventApi__Status_Transition_Criteria__c,EventApi__Closed_Status_Text__c,EventApi__Filter_Transition_Criteria__c,EventApi__Event__r.Id
a274W000005Jy0HQAS,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxwUAE,true,true,true,1,,,,a1Y4W000002bRxwUAE
a274W000005Jy0IQAS,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxwUAE,false,false,true,2,,,,a1Y4W000002bRxwUAE
a274W000005Jy0JQAS,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxwUAE,false,false,false,0,,,,a1Y4W000002bRxwUAE
a274W000005Jy0KQAS,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy1UAE,true,true,true,2,,,,a1Y4W000002bRy1UAE
a274W000005Jy0LQAS,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy1UAE,false,false,true,3,,,,a1Y4W000002bRy1UAE
a274W000005Jy0MQAS,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy1UAE,false,false,false,1,,,,a1Y4W000002bRy1UAE
a274W000005Jy0NQAS,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy4UAE,false,false,false,0,,,,a1Y4W000002bRy4UAE
a274W000005Jy0OQAS,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy4UAE,false,true,true,1,,,,a1Y4W000002bRy4UAE
a274W000005Jy0PQAS,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy4UAE,true,false,false,2,,,,a1Y4W000002bRy4UAE
a274W000005Jy0QQAS,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxxUAE,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,a1Y4W000002bRxxUAE
a274W000005Jy0RQAS,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxxUAE,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,a1Y4W000002bRxxUAE
a274W000005Jy0SQAS,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxxUAE,false,false,true,3,EventApi__End_Date__c < TODAY,,,a1Y4W000002bRxxUAE
a274W000005Jy0TQAS,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy2UAE,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,a1Y4W000002bRy2UAE
a274W000005Jy0UQAS,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy2UAE,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,a1Y4W000002bRy2UAE
a274W000005Jy0VQAS,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy2UAE,false,false,true,3,EventApi__End_Date__c < TODAY,,,a1Y4W000002bRy2UAE
a274W000005Jy0WQAS,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxzUAE,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,a1Y4W000002bRxzUAE
a274W000005Jy0XQAS,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxzUAE,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,a1Y4W000002bRxzUAE
a274W000005Jy0YQAS,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxzUAE,false,false,true,3,EventApi__End_Date__c < TODAY,,,a1Y4W000002bRxzUAE
a274W000005Jy0ZQAS,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy3UAE,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,a1Y4W000002bRy3UAE
a274W000005Jy0aQAC,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy3UAE,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,a1Y4W000002bRy3UAE
a274W000005Jy0bQAC,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy3UAE,false,false,true,3,EventApi__End_Date__c < TODAY,,,a1Y4W000002bRy3UAE
a274W000005Jy0cQAC,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxyUAE,false,false,false,1,,,,a1Y4W000002bRxyUAE
a274W000005Jy0dQAC,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxyUAE,true,true,true,2,,,,a1Y4W000002bRxyUAE
a274W000005Jy0eQAC,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxyUAE,false,false,true,3,,,,a1Y4W000002bRxyUAE
a274W000005Jy0fQAC,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxsUAE,true,true,true,2,,,,a1Y4W000002bRxsUAE
a274W000005Jy0gQAC,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxsUAE,false,false,true,3,,,,a1Y4W000002bRxsUAE
a274W000005Jy0hQAC,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxsUAE,false,false,false,1,,,,a1Y4W000002bRxsUAE
a274W000005Jy0iQAC,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxtUAE,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,a1Y4W000002bRxtUAE
a274W000005Jy0jQAC,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxtUAE,false,false,true,3,EventApi__End_Date__c < TODAY,,,a1Y4W000002bRxtUAE
