Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,External_Id__c,EventApi__Adjustment_Account__c,EventApi__Cost__c,EventApi__Defer_Revenue__c,EventApi__Deferred_Revenue_Account__c,EventApi__Deferred_Revenue_Term__c,EventApi__Description__c,EventApi__Discount_Account__c,EventApi__Display_Available_Inventory__c,EventApi__Early_Bird_End_Date__c,EventApi__Early_Bird_Price__c,EventApi__Enable_Access_Permissions__c,EventApi__Enable_Assignments__c,EventApi__Enable_Early_Bird_Price__c,EventApi__Enable_Onsite_Price__c,EventApi__Enable_Waitlist__c,EventApi__Flex_Day_of_the_Month__c,EventApi__Form__c,EventApi__Image_Path__c,EventApi__Income_Account__c,EventApi__Interview_Form_Display_Label__c,EventApi__Inventory_Status__c,EventApi__Is_Active__c,EventApi__Is_Contribution__c,EventApi__Is_Published__c,EventApi__Is_Tax_Deductible__c,EventApi__Is_Taxable__c,EventApi__Item_Class__c,EventApi__Item_Cost__c,EventApi__Item__c,EventApi__Line_Description__c,EventApi__Maximum_Number_of_Assignments__c,EventApi__Maximum_Sales_Quantity__c,EventApi__Min_Sales_Quantity__c,EventApi__Minimum_Sales_Quantity__c,EventApi__Onsite_Price__c,EventApi__Price__c,EventApi__Quantity_Available__c,EventApi__Quantity_Remaining__c,EventApi__Quantity_Sold__c,EventApi__Refund_Account__c,EventApi__Require_Assignments__c,EventApi__Require_Minimum_Quantity__c,EventApi__Restrict_Maximum_Sales_Quantity__c,EventApi__Restrict_Number_of_Assignments__c,EventApi__Revenue_Recognition_Date__c,EventApi__Revenue_Recognition_Rule__c,EventApi__Revenue_Recognition_Term_Rule__c,EventApi__SKU__c,EventApi__Tax_Class__c,EventApi__UOM__c,ROEApi__Event_Display_Name__c,ROEApi__Event_Duration_Text__c,ROEApi__Event_Name__c,EventApi__Enable_Refund_Request__c,EventApi__Group_Type__c,EventApi__Is_Group_Ticket_Type__c,EventApi__Refund_Request_Policy__c,EventApi__Ticket_Block__c,EventApi__Ticket_Information__c,EventApi__AR_Account__c,EventApi__Invoice_Payment_Priority__c,EventApi__Manage_Agenda_by_Ticket_Type__c,LastViewedDate,LastReferencedDate,EventApi__Adjustment_Account__r.Name,EventApi__Deferred_Revenue_Account__r.Name,EventApi__Discount_Account__r.Name,EventApi__Form__r.Name,EventApi__Income_Account__r.Name,EventApi__Item_Class__r.External_Id__c,EventApi__Item__r.External_Id__c,EventApi__Refund_Account__r.Name,EventApi__Tax_Class__r.External_Id__c,EventApi__Ticket_Block__r.Name,EventApi__AR_Account__r.Name
a1j4W00000RiPloQAF,false,Individual Seats,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,11,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,true,,,false,true,false,false,true,,,,a104W00000FuSwjQAF,,In-stock,true,false,true,false,false,a134W000008hIDKQA2,,a154W000008mjpDQAQ,,,,,,0,100,26,22,4,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,Awards - Tables With Assigned Seating (Community Event),5th June 2019,Awards - Tables With Assigned Seating (Community Event),true,,false,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,,1000 - Cash,142,236,4000 - Income,,,
a1j4W00000RiPm5QAF,false,Table of 8,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,12,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,true,,,false,true,false,false,true,,,,a104W00000FuSwmQAF,,In-stock,true,false,true,false,false,a134W000008hIDKQA2,,a154W000008mjtGQAQ,,8,,,,0,700,60,60,0,a104W00000FuSx4QAF,false,false,false,false,,,,,,Registration,Awards - Tables With Assigned Seating (Community Event),5th June 2019,Awards - Tables With Assigned Seating (Community Event),true,Table,true,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,,4000 - Income,142,237,2100 - Refunds Payable,,,
a1j4W00000RiPlpQAF,false,Registration Pass,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,13,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,false,,,false,true,false,false,false,,,,a104W00000FuSxCQAV,,In-stock,true,false,true,false,false,a134W000008hIDNQA2,,a154W000008mjpKQAQ,,,,,,,10,200,200,0,a104W00000FuSx4QAF,false,false,false,false,,,,,,Registration,Press Conference - Invite Only (Community Event),1st May 2019,Press Conference - Invite Only (Community Event),false,,false,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,,4400 - Event Income,146,238,2100 - Refunds Payable,,,
a1j4W00000RiPm6QAF,false,Registration,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,14,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,false,,,false,true,false,false,false,,a0S4W00000WTI2gUAH,,a104W00000FuSxCQAV,,In-stock,true,false,true,false,false,a134W000008hIECQA2,,a154W000008mjtHQAQ,,,,,,0,0,100,100,0,a104W00000FuSx4QAF,false,false,false,false,,,,,,Registration,Webinar - Our Mission - Free Event (Community Event),30th May 2019,Webinar - Our Mission - Free Event (Community Event),false,,false,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,FON-Webinar Info,4400 - Event Income,148,259,2100 - Refunds Payable,,,
a1j4W00000RiPmGQAV,false,dd,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,15,a104W00000FuSwjQAF,,false,,,,,false,,,false,true,false,false,false,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000FuSwjQAF,,In-stock,true,false,false,false,false,,,,,,,,,,22,,0,0,a104W00000FuSwjQAF,false,false,false,false,,,,,,Registration,wwssss,,,false,,false,,,,,,false,,,1000 - Cash,,,,1000 - Cash,,,1000 - Cash,,,
a1j4W00000RiPmHQAV,false,222,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,16,a104W00000FuSwjQAF,,false,,,,,false,,,false,true,false,false,false,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a104W00000FuSwjQAF,,In-stock,true,false,true,false,false,,,,,,,,,,22222,,0,0,a104W00000FuSwjQAF,false,false,false,false,,,,,,Registration,eee,,,false,,false,,,,,,false,,,1000 - Cash,,,,1000 - Cash,,,1000 - Cash,,,
a1j4W00000RiPluQAF,false,Full Conference Pass,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,17,,,true,a104W00000FuSx5QAF,,"Access all areas of the event including all sessions, and exhibits.",,true,2019-01-16,80,false,true,true,false,true,0,a0S4W00000WTI2bUAH,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4UAA/DuwTnqBW_badge.png,a104W00000FuSxCQAV,,In-stock,true,false,true,false,false,a134W000008hIDUQA2,,a154W000008mjpnQAA,,,,,,0,100,4000,4000,0,a104W00000FuSxCQAV,false,false,false,false,2018-10-05,Specific Date,,,,Registration,Annual Conference (Lightning Event),3rd - 6th October 2019,Annual Conference (Lightning Event),true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,"<p>Access all areas of the event including all sessions, and exhibits.</p>",a104W00000FuSwkQAF,,false,,,,2200 - Deferred Income,,FON-Lightning Events Registration Form,4400 - Event Income,91,294,4400 - Event Income,,,1100 - Accounts Receivable
a1j4W00000RiPlwQAF,false,VIP Registration,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,18,,,true,a104W00000FuSx5QAF,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",,true,,,true,true,false,false,true,0,a0S4W00000WTI2bUAH,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4UAA/HNTgLslo_badge.png,a104W00000FuSxCQAV,,In-stock,true,false,true,false,false,a134W000008hIDUQA2,,a154W000008mjqaQAA,,,,,,0,200,3000,2993,7,a104W00000FuSxCQAV,false,false,false,false,2018-10-10,Specific Date,,,,Registration,Annual Conference (Lightning Event),3rd - 6th October 2019,Annual Conference (Lightning Event),true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,"<p>Get full conference access, plus a backstage pass to meet our keynote speakers!</p>",a104W00000FuSx5QAF,,false,,,,2200 - Deferred Income,,FON-Lightning Events Registration Form,4400 - Event Income,91,295,4400 - Event Income,,,2200 - Deferred Income
a1j4W00000RiPm7QAF,false,Homecoming Game Ticket,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,19,,,false,,,Ticket for the annual homecoming game,,false,,,false,true,false,false,false,,,http://homecoming.sdsu.edu/homecoming/images/minifreetextimages/02261-homecoming_car_2012.jpg,,,In-stock,true,false,true,false,false,,,,,,,,,,100,5000,4986,14,,false,false,false,false,,,,,,Registration,Homecoming,,,false,,false,,,,,,false,,,,,,,,,,,,,
a1j4W00000RiPm8QAF,false,Event Registration,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,20,,,false,,,,,false,,,false,true,false,false,false,,,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4UAA/uueZpKGh_ticket_4%20%281%29.png,,,In-stock,true,false,true,false,false,,,,,,,,,0,0,100,100,0,,false,false,false,false,,,,,,Registration,Meet the Organization (Lightning Event),11th December 2018,Meet the Organization (Lightning Event),false,,false,,,,,,false,,,,,,,,,,,,,
a1j4W00000RiPmIQAV,false,Default Ticket Type,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,21,,,false,,,,,false,,,false,false,false,false,false,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,,,In-stock,true,false,false,false,false,,,,,,,,,,0,,0,0,,false,false,false,false,,,,,,Registration,,,,false,,false,,,,,,false,,,,,,,,,,,,,
a1j4W00000RiPmJQAV,false,Default Ticket Type,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,22,,,false,,,,,false,,,false,false,false,false,false,,,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,,,In-stock,true,false,false,false,false,,,,,,,,,,0,,0,0,,false,false,false,false,,,,,,Registration,,,,false,,false,,,,,,false,,,,,,,,,,,,,
a1j4W00000RiPm9QAF,false,Registration,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,23,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,false,,,false,true,false,false,false,,a0S4W00000WTI2gUAH,,a104W00000FuSxCQAV,,In-stock,true,false,true,false,false,a134W000008hIDyQAM,,a154W000008mju6QAA,,,,,,0,0,100,100,0,a104W00000FuSx4QAF,false,false,false,false,,,,,,Registration,Webinar - Our Mission (Lightning Event),5th December 2019,Webinar - Our Mission (Lightning Event),false,,false,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,FON-Webinar Info,4400 - Event Income,89,77,2100 - Refunds Payable,,,
a1j4W00000RiPmAQAV,false,Registration Pass,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,24,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,false,,,false,true,false,false,false,,,,a104W00000FuSxCQAV,,In-stock,true,false,true,false,false,a134W000008hIDvQAM,,a154W000008mju7QAA,,,,,,,10,100,100,0,a104W00000FuSx4QAF,false,false,false,false,,,,,,Registration,Press Conference (Lightning Event),18th March 2019,Press Conference (Lightning Event),false,,false,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,,4400 - Event Income,86,78,2100 - Refunds Payable,,,
a1j4W00000RiPltQAF,false,Table of 8,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,25,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,true,,,false,true,false,false,true,,,https://tso-data--framework.na122.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/KRwdbOVU_table_of_8_image_jpg&bucket=fonteva-customer-media-secure,a104W00000FuSwmQAF,,In-stock,true,false,true,false,false,a134W000008hIDTQA2,,a154W000008mjpkQAA,,8,,,,0,700,60,58,2,a104W00000FuSx4QAF,false,false,false,false,,,,,,Registration,Awards Dinner (Lightning Event),13th January 2019,Awards Dinner (Lightning Event),true,Table,true,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,,4000 - Income,85,79,2100 - Refunds Payable,,,
a1j4W00000RiPmBQAV,false,Individual Table Seats,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,26,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,true,,,false,true,false,false,true,,,,a104W00000FuSwjQAF,,In-stock,true,false,true,false,false,a134W000008hIEAQA2,,a154W000008mju8QAA,,,,,,,90,100,100,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,FON - Awards Dinner with Seating Assignments,,,false,,false,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,,1000 - Cash,138,80,4000 - Income,,,
a1j4W00000RiPmCQAV,false,Individual Seats,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,27,a104W00000FuSxmQAF,,false,,,,a104W00000FuSx7QAF,true,,,false,true,false,false,true,,,https://tso-data--framework.na122.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/BMZbvxIh_table_of_8_image_jpg&bucket=fonteva-customer-media-secure,a104W00000FuSwjQAF,,In-stock,true,false,true,false,false,a134W000008hIDTQA2,,a154W000008mjqzQAA,,,,,,0,100,26,23,3,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,Awards Dinner (Lightning Event),13th January 2019,Awards Dinner (Lightning Event),true,,false,,,,,,false,,,6100 - Adjustments,,6000 - Expenses,,1000 - Cash,85,120,4000 - Income,,,
a1j4W00000RiPmDQAV,false,Networking POV,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,28,a104W00000FuSxmQAF,,false,,,Get a free pass to the Networking Event Only,a104W00000FuSx7QAF,true,,,false,true,false,false,true,,a0S4W00000WTI2bUAH,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4UAA/DuwTnqBW_badge.png,a104W00000FuSwjQAF,,In-stock,true,false,true,false,false,a134W000008hIDUQA2,,a154W000008mju9QAA,,,,,,0,90,10,10,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,Annual Conference (Lightning Event),3rd - 6th October 2019,Annual Conference (Lightning Event),true,,false,<p>Refunds shall be processed within 30 days. For any additional questions please contact us on info@mail.com</p>,,,,,false,,,6100 - Adjustments,,6000 - Expenses,FON-Lightning Events Registration Form,1000 - Cash,91,111,4000 - Income,,,
a1j4W00000RiPmEQAV,false,VIP Registration,2020-08-28T02:16:22.000+0000,2020-09-24T07:27:55.000+0000,2020-09-24T07:27:55.000+0000,29,a104W00000FuSxmQAF,,false,,,"Get full conference access, plus a backstage pass to meet our keynote speakers!",a104W00000FuSx7QAF,true,,,false,true,false,false,true,,a0S4W00000WTI2bUAH,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/JNChCOwT_vip_ticket_png&bucket=fonteva-customer-media-secure,a104W00000FuSwmQAF,,In-stock,true,false,true,false,false,a134W000008hIDFQA2,,a154W000008mjp3QAA,,,,,,0,200,3000,3000,0,a104W00000FuSwmQAF,false,false,false,false,,,,,,Registration,2019 Annual Symposium (Lightning Event),7th - 8th December 2019,2019 Annual Symposium (Lightning Event),true,,false,<p>All refunds are subject to a $10.00 charge.</p>,,"<p>Get full conference access, plus a backstage pass to meet our keynote speakers!</p>",,,false,,,6100 - Adjustments,,6000 - Expenses,FON-Lightning Events Registration Form,4000 - Income,129,147,4000 - Income,,,
