Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Adjustment_Account__c,EventApi__Assignments_Display_Label__c,EventApi__Business_Group__c,EventApi__Cost__c,EventApi__Defer_Revenue__c,EventApi__Deferred_Revenue_Account__c,EventApi__Deferred_Revenue_Term__c,EventApi__Description__c,EventApi__Discount_Account__c,EventApi__Display_Name__c,EventApi__Display_Order__c,EventApi__Enable_Access_Permissions__c,EventApi__Enable_Assignments__c,EventApi__Event_Category__c,EventApi__Event__c,EventApi__Flex_Day_of_the_Month__c,EventApi__Form__c,EventApi__Image_Path__c,EventApi__Image_URL__c,EventApi__Income_Account__c,EventApi__Interview_Form_Display_Label__c,EventApi__Is_Active__c,EventApi__Is_Contribution__c,EventApi__Is_Tax_Deductible__c,EventApi__Is_Taxable__c,EventApi__Item_Class__c,EventApi__Item__c,EventApi__Line_Description__c,EventApi__Maximum_Number_of_Assignments__c,EventApi__Price__c,EventApi__Quantity_Available__c,EventApi__Quantity_Remaining__c,EventApi__Quantity_Sold__c,EventApi__Refund_Account__c,EventApi__Require_Assignments__c,EventApi__Restrict_Number_of_Assignments__c,EventApi__Revenue_Recognition_Date__c,EventApi__Revenue_Recognition_Rule__c,EventApi__Revenue_Recognition_Term_Rule__c,EventApi__SKU__c,EventApi__Tax_Class__c,ROEApi__Event_Display_Name__c,ROEApi__Event_Duration_Text__c,ROEApi__Event_Name__c,EventApi__AR_Account__c,EventApi__Invoice_Payment_Priority__c,LastViewedDate,LastReferencedDate,EventApi__Adjustment_Account__r.Name,EventApi__Business_Group__r.Name,EventApi__Deferred_Revenue_Account__r.Name,EventApi__Discount_Account__r.Name,EventApi__Event_Category__r.Name,EventApi__Event__r.Name,EventApi__Form__r.Name,EventApi__Income_Account__r.Name,EventApi__Item_Class__r.Name,EventApi__Item__r.External_Id__c,EventApi__Refund_Account__r.Name,EventApi__Tax_Class__r.Name,EventApi__AR_Account__r.Name
a1h4W00000jxQO0QAM,false,Gold Annual Symposium Sponsor Package,11,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICGQA2,a154W000008mjlgQAA,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,5,0,,false,false,,,,,,Annual Symposium 2020,,,,,,,,FON-International Association,,,,,,,cf7bbc41-ae72-4-Sponsor Class,527,,,
a1h4W00000jxQO1QAM,false,Silver Annual Symposium Sponsor Package,12,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICGQA2,a154W000008mjlhQAA,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,10,0,,false,false,,,,,,Annual Symposium 2020,,,,,,,,FON-International Association,,,,,,,cf7bbc41-ae72-4-Sponsor Class,528,,,
a1h4W00000jxQO2QAM,false,Bronze Annual Symposium Sponsor Package,13,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICJQA2,a154W000008mjltQAA,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,test1,,,,,,,,FON-International Association,,,,,,,c7a927dd-4d1f-4-Sponsor Class,44,,,
a1h4W00000jxQO3QAM,false,Gold Annual Symposium Sponsor Package,14,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICJQA2,a154W000008mjluQAA,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,test1,,,,,,,,FON-International Association,,,,,,,c7a927dd-4d1f-4-Sponsor Class,45,,,
a1h4W00000jxQO4QAM,false,Silver Annual Symposium Sponsor Package,15,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICJQA2,a154W000008mjlvQAA,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,test1,,,,,,,,FON-International Association,,,,,,,c7a927dd-4d1f-4-Sponsor Class,46,,,
a1h4W00000jxQOHQA2,false,Bronze Annual Symposium Sponsor Package,16,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICVQA2,a154W000008mjmqQAA,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,,,22aeeb26-d90c-4-Sponsor Class,251,,,
a1h4W00000jxQO5QAM,false,Bronze Annual Symposium Sponsor Package,17,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICMQA2,a154W000008mjm7QAA,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,test2,,,,,,,,FON-International Association,,,,,,,27d2234c-d627-4-Sponsor Class,86,,,
a1h4W00000jxQO6QAM,false,Gold Annual Symposium Sponsor Package,18,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICMQA2,a154W000008mjm8QAA,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,5,0,,false,false,,,,,,test2,,,,,,,,FON-International Association,,,,,,,27d2234c-d627-4-Sponsor Class,87,,,
a1h4W00000jxQO7QAM,false,Silver Annual Symposium Sponsor Package,19,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICMQA2,a154W000008mjm9QAA,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,10,0,,false,false,,,,,,test2,,,,,,,,FON-International Association,,,,,,,27d2234c-d627-4-Sponsor Class,88,,,
a1h4W00000jxQO8QAM,false,Bronze Annual Symposium Sponsor Package,20,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICPQA2,a154W000008mjmLQAQ,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,,,f5d3b9f0-c769-4-Sponsor Class,163,,,
a1h4W00000jxQO9QAM,false,Gold Annual Symposium Sponsor Package,21,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICPQA2,a154W000008mjmMQAQ,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,5,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,,,f5d3b9f0-c769-4-Sponsor Class,154,,,
a1h4W00000jxQOAQA2,false,Silver Annual Symposium Sponsor Package,22,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICPQA2,a154W000008mjmNQAQ,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,10,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,,,f5d3b9f0-c769-4-Sponsor Class,155,,,
a1h4W00000jxQOBQA2,false,Bronze Annual Symposium Sponsor Package,23,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICPQA2,a154W000008mjmOQAQ,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,,,f5d3b9f0-c769-4-Sponsor Class,156,,,
a1h4W00000jxQOCQA2,false,Gold Annual Symposium Sponsor Package,24,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICPQA2,a154W000008mjmPQAQ,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,5,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,,,f5d3b9f0-c769-4-Sponsor Class,157,,,
a1h4W00000jxQODQA2,false,Silver Annual Symposium Sponsor Package,25,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICPQA2,a154W000008mjmQQAQ,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,10,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,,,f5d3b9f0-c769-4-Sponsor Class,158,,,
a1h4W00000jxQOEQA2,false,Bronze Annual Symposium Sponsor Package,26,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICSQA2,a154W000008mjmcQAA,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,TEST2,,,,,,,,FON-International Association,,,,,,,95c01696-06bb-4-Sponsor Class,197,,,
a1h4W00000jxQOFQA2,false,Gold Annual Symposium Sponsor Package,27,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICSQA2,a154W000008mjmdQAA,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,5,0,,false,false,,,,,,TEST2,,,,,,,,FON-International Association,,,,,,,95c01696-06bb-4-Sponsor Class,198,,,
a1h4W00000jxQOGQA2,false,Silver Annual Symposium Sponsor Package,28,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICSQA2,a154W000008mjmeQAA,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,10,0,,false,false,,,,,,TEST2,,,,,,,,FON-International Association,,,,,,,95c01696-06bb-4-Sponsor Class,199,,,
a1h4W00000jxQOIQA2,false,Gold Annual Symposium Sponsor Package,29,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICVQA2,a154W000008mjmrQAA,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,,,22aeeb26-d90c-4-Sponsor Class,252,,,
a1h4W00000jxQOJQA2,false,Silver Annual Symposium Sponsor Package,30,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICVQA2,a154W000008mjmsQAA,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,,,22aeeb26-d90c-4-Sponsor Class,253,,,
a1h4W00000jxQOKQA2,false,Bronze Annual Symposium Sponsor Package,31,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICVQA2,a154W000008mjmtQAA,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,,,22aeeb26-d90c-4-Sponsor Class,254,,,
a1h4W00000jxQOLQA2,false,Gold Annual Symposium Sponsor Package,32,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICVQA2,a154W000008mjmuQAA,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,,,22aeeb26-d90c-4-Sponsor Class,255,,,
a1h4W00000jxQOMQA2,false,Silver Annual Symposium Sponsor Package,33,2020-08-28T02:16:22.000+0000,2020-09-24T08:30:29.000+0000,2020-09-24T08:30:29.000+0000,,,a0o4W00000MOvweQAD,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000008hICVQA2,a154W000008mjmvQAA,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,,,22aeeb26-d90c-4-Sponsor Class,256,,,
