Id,Name,External_Id__c,OrderApi__Subscription__c,OrderApi__Grace_Period_End_Date__c,OrderApi__Is_Active__c,OrderApi__Renewed_Date__c,OrderApi__Sales_Order_Line__c,OrderApi__Sales_Order__c,OrderApi__Subscription_Plan__c,OrderApi__Term_End_Date__c,OrderApi__Term_Start_Date__c,OrderApi__Account__c,OrderApi__Active_Assignments__c,OrderApi__Assignments_Allowed__c,OrderApi__Cancellation_Requested__c,OrderApi__Contact__c,OrderApi__Days_To_Lapse__c,OrderApi__Dues_Total__c,OrderApi__Entity__c,OrderApi__Is_Changed__c,OrderApi__Item__c,OrderApi__Last_Amendment_Date__c,OrderApi__Next_Invoice_Due_Date__c,OrderApi__Next_Scheduled_Payment_Date__c,OrderApi__Next_Term_Renewed_Date__c,OrderApi__Previous_Term__c,OrderApi__Renewal_Sales_Order__c,Contact_Email__c,OrderApi__Subscription__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Subscription_Plan__r.Id,OrderApi__Account__r.External_Id__c,OrderApi__Contact__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Previous_Term__r.External_Id__c,OrderApi__Renewal_Sales_Order__r.External_Id__c
a1H4W00000BB54eUAD,000000294,11,a1S4W000004D1SmUAK,,true,2018-04-22,,,a1R4W000004PyfVUAS,2115-10-06,2015-10-06,0014W000025FRm5QAG,0,0,false,0034W00002DpogSQAR,34702,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,71,,,a1R4W000004PyfVUAS,15,251,609,,
a1H4W00000BB54fUAD,000000295,12,a1S4W000004D1SnUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-05-22,2017-05-22,0014W000025FRkMQAW,0,0,false,0034W00002DpofyQAB,-863,150,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,72,,,a1R4W000004PyfNUAS,8,210,650,,
a1H4W00000BB54gUAD,000000296,13,a1S4W000004D1SoUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2015-05-03,2014-05-03,0014W000025FRlxQAG,0,0,false,0034W00002DpofWQAR,-1978,375,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,73,,,a1R4W000004PyfNUAS,1,178,651,,
a1H4W00000BB54hUAD,000000297,14,a1S4W000004D1SpUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2016-04-16,2015-04-16,0014W000025FRm0QAG,0,0,false,0034W00002DpofuQAB,-1629,75,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,74,,,a1R4W000004PyfNUAS,7,205,650,,
a1H4W00000BB54iUAD,000000298,15,a1S4W000004D1SqUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-03-18,2017-03-18,0014W000025FRkzQAG,0,0,false,0034W00002DpofPQAR,-928,37.5,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,75,,,a1R4W000004PyfNUAS,51,105,650,,
a1H4W00000BB54jUAD,000000299,16,a1S4W000004D1SrUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2017-06-24,2016-06-24,0014W000025FRlvQAG,0,0,false,0034W00002DpofFQAR,-1195,300,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,76,,,a1R4W000004PyfNUAS,19,94,651,,
a1H4W00000BB54kUAD,000000300,17,a1S4W000004D1SsUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2017-03-30,2016-03-30,0014W000025FRm4QAG,0,0,false,0034W00002DpogOQAR,-1281,675,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,77,,,a1R4W000004PyfNUAS,14,247,651,,
a1H4W00000BB54lUAD,000000301,18,a1S4W000004D1StUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-02-21,2017-02-21,0014W000025FRlxQAG,0,0,false,0034W00002DpofXQAR,-953,225,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,127,,,a1R4W000004PyfNUAS,1,179,651,,
a1H4W00000BB54mUAD,000000302,19,a1S4W000004D1SuUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2016-06-21,2015-06-21,0014W000025FRl7QAG,0,0,false,0034W00002DpofkQAB,-1563,225,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,128,,,a1R4W000004PyfNUAS,4,137,650,,
a1H4W00000BB54nUAD,000000303,20,a1S4W000004D1SvUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2017-05-07,2016-05-07,0014W000025FRm1QAG,0,0,false,0034W00002Dpog8QAB,-1243,675,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,129,,,a1R4W000004PyfNUAS,11,158,651,,
a1H4W00000BB54oUAD,000000304,21,a1S4W000004D1SwUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2017-01-26,2016-01-26,0014W000025FRkLQAW,0,0,false,0034W00002DpocdQAB,-1344,150,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,130,,,a1R4W000004PyfNUAS,6,143,651,,
a1H4W00000BB54pUAD,000000305,22,a1S4W000004D1SxUAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2015-04-23,2014-04-23,0014W000025FRm1QAG,0,0,false,0034W00002DpogAQAR,-1988,150,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,131,,,a1R4W000004PyfNUAS,11,160,650,,
a1H4W00000BB54qUAD,000000306,23,a1S4W000004D1SyUAK,2015-07-07,false,2018-04-22,,,a1R4W000004PyfOUAS,2015-06-07,2014-06-07,0014W000025FRlwQAG,3,30,false,0034W00002DpofOQAR,-1943,7500,Account,false,a154W00000926QvQAI,,2020-05-20,,,,,,132,,,a1R4W000004PyfOUAS,26,104,648,,
a1H4W00000BB54rUAD,000000307,24,a1S4W000004D1SzUAK,2014-02-24,false,2018-04-22,,,a1R4W000004PyfOUAS,2014-01-25,2013-01-26,0014W000025FRl7QAG,3,30,false,0034W00002DpofmQAB,-2441,7500,Account,false,a154W00000926QvQAI,,2020-05-20,,,,,,133,,,a1R4W000004PyfOUAS,4,139,648,,
a1H4W00000BB54sUAD,000000308,25,a1S4W000004D1T0UAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2016-05-02,2015-05-02,0014W000025FRl7QAG,0,0,false,0034W00002DpofjQAB,-1613,900,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,134,,,a1R4W000004PyfNUAS,4,135,651,,
a1H4W00000BB54tUAD,000000309,26,a1S4W000004D1T1UAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2017-05-31,2016-05-31,0014W000025FRkMQAW,0,0,false,0034W00002DpocVQAR,-1219,900,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,135,,,a1R4W000004PyfNUAS,8,208,651,,
a1H4W00000BB54uUAD,000000310,27,a1S4W000004D1T2UAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2017-05-14,2016-05-14,0014W000025FRl8QAG,0,0,false,0034W00002DpofIQAR,-1236,750,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,136,,,a1R4W000004PyfNUAS,20,97,651,,
a1H4W00000BB54vUAD,000000311,28,a1S4W000004D1T3UAK,2018-06-06,false,2018-04-22,,,a1R4W000004PyfOUAS,2018-05-07,2017-05-07,0014W000025FRluQAG,3,30,false,0034W00002DpofEQAR,-878,7500,Account,false,a154W00000926QvQAI,,2020-05-20,,,,,,137,,,a1R4W000004PyfOUAS,18,93,648,,
a1H4W00000BB54wUAD,000000312,29,a1S4W000004D1T4UAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2015-05-18,2014-05-18,0014W000025FRlKQAW,0,0,false,0034W00002DpofAQAR,-1963,112.5,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,138,,,a1R4W000004PyfNUAS,17,155,650,,
a1H4W00000BB54xUAD,000000313,30,a1S4W000004D1T5UAK,2016-05-20,false,2018-04-22,,,a1R4W000004PyfOUAS,2016-04-20,2015-04-20,0014W000025FRlyQAG,3,30,false,0034W00002DpofdQAB,-1625,7500,Account,false,a154W00000926QvQAI,,2020-05-20,,,,,,78,,,a1R4W000004PyfOUAS,2,185,648,,
a1H4W00000BB54yUAD,000000315,31,a1S4W000004D1T6UAK,,true,2018-04-22,,,a1R4W000004PyfVUAS,2114-05-12,2014-05-12,0014W000025FRm3QAG,0,0,false,0034W00002DpogLQAR,34190,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,79,,,a1R4W000004PyfVUAS,13,171,609,,
a1H4W00000BB54zUAD,000000316,32,a1S4W000004D1T7UAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2017-05-15,2016-05-15,0014W000025FRlyQAG,0,0,false,0034W00002DpofaQAB,-1235,900,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,80,,,a1R4W000004PyfNUAS,2,182,651,,
a1H4W00000BB550UAD,000000317,33,a1S4W000004D1T8UAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2017-06-24,2016-06-24,0014W000025FRkKQAW,0,0,false,0034W00002Dpof4QAB,-1195,112.5,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,81,,,a1R4W000004PyfNUAS,5,147,650,,
a1H4W00000BB551UAD,000000318,34,a1S4W000004D1T9UAK,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-04-21,2017-04-21,0014W000025FRlwQAG,0,0,false,0034W00002DpofKQAR,-894,600,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,82,,,a1R4W000004PyfNUAS,26,100,651,,
a1H4W00000BB552UAD,000000319,35,a1S4W000004D1TAUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-04-13,2017-04-13,0014W000025FRkKQAW,0,0,false,0034W00002Dpof5QAB,-902,412.5,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,83,,,a1R4W000004PyfNUAS,5,148,650,,
a1H4W00000BB553UAD,000000320,36,a1S4W000004D1TBUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2016-04-03,2015-04-03,0014W000025FRkKQAW,0,0,false,0034W00002DpoezQAB,-1642,225,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,84,,,a1R4W000004PyfNUAS,5,74,650,,
a1H4W00000BB554UAD,000000321,37,a1S4W000004D1TCUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-04-11,2017-04-11,0014W000025FRlzQAG,0,0,false,0034W00002DpofgQAB,-904,900,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,85,,,a1R4W000004PyfNUAS,3,132,651,,
a1H4W00000BB555UAD,000000322,38,a1S4W000004D1TDUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2017-06-07,2016-06-07,0014W000025FRkMQAW,0,0,false,0034W00002DpofwQAB,-1212,675,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,86,,,a1R4W000004PyfNUAS,8,207,651,,
a1H4W00000BB556UAD,000000323,39,a1S4W000004D1TEUA0,,true,2018-04-22,,,a1R4W000004PyfVUAS,2114-07-15,2014-07-15,0014W000025FRm4QAG,0,0,false,0034W00002DpogQQAR,34254,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,87,,,a1R4W000004PyfVUAS,14,249,609,,
a1H4W00000BB557UAD,000000324,40,a1S4W000004D1TFUA0,2017-03-31,false,2018-04-22,,,a1R4W000004PyfOUAS,2017-03-01,2016-03-02,0014W000025FRlxQAG,3,30,false,0034W00002DpofYQAR,-1310,7500,Account,false,a154W00000926QvQAI,,2020-05-20,,,,,,88,,,a1R4W000004PyfOUAS,1,180,648,,
a1H4W00000BB558UAD,000000325,41,a1S4W000004D1TGUA0,2017-12-27,false,2018-04-22,,,a1R4W000004PyfOUAS,2017-11-27,2016-11-28,0014W000025FRlJQAW,3,30,false,0034W00002Dpof9QAB,-1039,7500,Account,false,a154W00000926QvQAI,,2020-05-20,,,,,,89,,,a1R4W000004PyfOUAS,16,154,648,,
a1H4W00000BB559UAD,000000326,42,a1S4W000004D1THUA0,,true,2018-04-22,,,a1R4W000004PyfVUAS,2115-04-20,2015-04-20,0014W000025FRlxQAG,0,0,false,0034W00002DpofUQAR,34533,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,139,,,a1R4W000004PyfVUAS,1,176,609,,
a1H4W00000BB55AUAT,000000327,43,a1S4W000004D1TIUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2016-04-14,2015-04-14,0014W000025FRlvQAG,0,0,false,0034W00002DpofGQAR,-1631,75,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,140,,,a1R4W000004PyfNUAS,19,95,651,,
a1H4W00000BB55BUAT,000000328,44,a1S4W000004D1TJUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2017-03-05,2016-03-05,0014W000025FRlJQAW,0,0,false,0034W00002DpodrQAB,-1306,675,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,141,,,a1R4W000004PyfNUAS,16,152,651,,
a1H4W00000BB55CUAT,000000329,45,a1S4W000004D1TKUA0,,true,2018-04-22,,,a1R4W000004PyfVUAS,2116-07-24,2016-07-24,0014W000025FRkzQAG,0,0,false,0034W00002DpofSQAR,34994,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,142,,,a1R4W000004PyfVUAS,51,174,609,,
a1H4W00000BB55DUAT,000000330,46,a1S4W000004D1TLUA0,,true,2018-04-22,,,a1R4W000004PyfVUAS,2116-11-08,2016-11-08,0014W000025FRl7QAG,0,0,false,0034W00002DpoflQAB,35101,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,143,,,a1R4W000004PyfVUAS,4,138,609,,
a1H4W00000BB55EUAT,000000331,47,a1S4W000004D1TMUA0,,true,2018-04-22,,,a1R4W000004PyfVUAS,2117-07-04,2017-07-04,0014W000025FRkOQAW,0,0,false,0034W00002Dpog6QAB,35339,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,144,,,a1R4W000004PyfVUAS,10,242,609,,
a1H4W00000BB55FUAT,000000332,48,a1S4W000004D1TNUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-06-28,2017-06-28,0014W000025FRm0QAG,0,0,false,0034W00002DpofrQAB,-826,675,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,145,,,a1R4W000004PyfNUAS,7,202,651,,
a1H4W00000BB55GUAT,000000333,49,a1S4W000004D1TOUA0,2015-06-12,false,2018-04-22,,,a1R4W000004PyfOUAS,2016-04-08,2015-04-08,0014W000025FRm2QAG,3,42,false,0034W00002DpogHQAR,-1637,0,Account,false,a154W00000926RkQAI,,2020-05-20,,,,,,146,,,a1R4W000004PyfOUAS,12,167,649,,
a1H4W00000BB55HUAT,000000334,50,a1S4W000004D1TPUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-06-16,2017-06-16,0014W000025FRlyQAG,0,0,false,0034W00002DpofcQAB,-838,225,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,147,,,a1R4W000004PyfNUAS,2,184,651,,
a1H4W00000BB55IUAT,000000335,51,a1S4W000004D1TQUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-04-04,2017-04-04,0014W000025FRm2QAG,0,0,false,0034W00002DpogFQAR,-911,675,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,148,,,a1R4W000004PyfNUAS,12,165,651,,
a1H4W00000BB55JUAT,000000336,52,a1S4W000004D1TRUA0,2016-04-10,false,2018-04-22,,,a1R4W000004PyfOUAS,2016-03-11,2015-03-11,0014W000025FRkLQAW,3,30,false,0034W00002DpofqQAB,-1665,7500,Account,false,a154W00000926QvQAI,,2020-05-20,,,,,,149,,,a1R4W000004PyfOUAS,6,201,648,,
a1H4W00000BB55KUAT,000000337,53,a1S4W000004D1TSUA0,2018-02-09,false,2018-04-22,,,a1R4W000004PyfOUAS,2018-02-09,2017-02-10,0014W000025FRlKQAW,3,42,false,0034W00002DpofBQAR,-965,0,Account,false,a154W00000926RkQAI,,2020-05-20,,,,,,150,,,a1R4W000004PyfOUAS,17,157,649,,
a1H4W00000BB55LUAT,000000338,54,a1S4W000004D1TTUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2016-04-04,2015-04-04,0014W000025FRlyQAG,0,0,false,0034W00002DpofZQAR,-1641,750,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,90,,,a1R4W000004PyfNUAS,2,181,651,,
a1H4W00000BB55MUAT,000000339,55,a1S4W000004D1TUUA0,,true,2018-04-22,,,a1R4W000004PyfVUAS,2117-10-03,2017-10-03,0014W000025FRm1QAG,0,0,false,0034W00002DpogBQAR,35430,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,91,,,a1R4W000004PyfVUAS,11,161,609,,
a1H4W00000BB55NUAT,000000340,56,a1S4W000004D1TVUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-06-30,2017-10-26,0014W000025FRm4QAG,0,0,false,0034W00002DpogPQAR,-824,337.5,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,92,,,a1R4W000004PyfNUAS,14,248,650,,
a1H4W00000BB55OUAT,000000341,57,a1S4W000004D1TWUA0,,false,2018-04-22,,,a1R4W000004PyfNUAS,2018-06-30,2017-10-27,0014W000025FRlLQAW,0,0,false,0034W00002Dpog0QAB,-824,675,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,93,,,a1R4W000004PyfNUAS,9,212,651,,
a1H4W00000BB55PUAT,000000347,58,a1S4W000004D1TXUA0,2019-04-03,false,2018-04-22,,,a1R4W000004PyfOUAS,2019-03-04,2018-03-05,0014W000025FRkKQAW,0,0,false,0034W00002Dpof0QAB,-577,375000,Account,false,a154W00000926RDQAY,,2020-05-20,,,,,,94,,,a1R4W000004PyfOUAS,5,75,609,,
a1H4W00000BB55QUAT,000000349,59,a1S4W000004D1TYUA0,2019-08-02,false,2018-07-05,,,a1R4W000004PyfOUAS,2019-07-03,2018-07-04,0014W000025FRkTQAW,0,0,false,0034W00002DpohLQAR,-456,135,Account,false,a154W00000926RDQAY,,2020-05-20,,,,,,95,,,a1R4W000004PyfOUAS,44,222,609,,
a1H4W00000BB55RUAT,000000350,60,a1S4W000004D1TZUA0,2019-08-03,false,2018-07-05,,,a1R4W000004PyfOUAS,2019-07-04,2018-07-05,0014W000025FRkTQAW,0,0,false,0034W00002DpohLQAR,-455,900,Account,false,a154W00000926R6QAI,,2020-05-20,,,,,,96,,,a1R4W000004PyfOUAS,44,222,651,,
a1H4W00000BB55SUAT,000000351,61,a1S4W000004D1TaUAK,2019-08-07,false,2018-07-09,a1I4W00000HFa8HUAT,a1J4W00000CgG3FUAV,a1R4W000004PyfOUAS,2019-07-08,2018-07-09,0014W000025FRl6QAG,0,0,false,0034W00002DpodcQAB,-451,0,Contact,false,a154W00000926QuQAI,,,,,,,,97,1971,880,a1R4W000004PyfOUAS,45,274,650,,
a1H4W00000BB55TUAT,000000352,62,a1S4W000004D1TbUAK,,false,2018-07-09,a1I4W00000HFa8IUAT,a1J4W00000CgG3FUAV,a1R4W000004PyfNUAS,,2018-07-09,0014W000025FRl6QAG,0,42,false,0034W00002DpodcQAB,,15000,Contact,false,a154W00000926RkQAI,,,,,,,,98,1972,880,a1R4W000004PyfNUAS,45,274,649,,
a1H4W00000BB55UUAT,000000353,63,a1S4W000004D1TaUAK,2020-08-07,false,2018-07-09,a1I4W00000HFa8KUAT,a1J4W00000CgG3GUAV,a1R4W000004PyfOUAS,2020-07-08,2019-07-09,0014W000025FRl6QAG,0,0,false,0034W00002DpodcQAB,-85,450,Contact,false,a154W00000926QuQAI,,,,,,,,97,1974,881,a1R4W000004PyfOUAS,45,274,650,,
a1H4W00000BB55VUAT,000000356,64,a1S4W000004D1SJUA0,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRkKQAW,0,0,false,0034W00002Dpof0QAB,,0,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,54,,,a1R4W000004PyfSUAS,5,75,651,,
a1H4W00000BB55WUAT,000000357,65,a1S4W000004D1SKUA0,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRlzQAG,0,0,false,0034W00002DpofhQAB,,0,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,55,,,a1R4W000004PyfSUAS,3,133,650,,
a1H4W00000BB55XUAT,000000359,66,a1S4W000004D1SMUA0,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRkKQAW,0,0,false,0034W00002DpocTQAR,,0,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,57,,,a1R4W000004PyfSUAS,5,150,650,,
a1H4W00000BB55YUAT,000000360,67,a1S4W000004D1SLUA0,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRkKQAW,0,0,false,0034W00002Dpof6QAB,,0,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,56,,,a1R4W000004PyfSUAS,5,149,650,,
a1H4W00000BB55ZUAT,000000361,68,a1S4W000004D1SJUA0,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRkKQAW,0,0,false,0034W00002Dpof0QAB,,75,Contact,false,a154W00000926R6QAI,,2020-05-20,,,,,,54,,,a1R4W000004PyfSUAS,5,75,651,,
a1H4W00000BB55aUAD,000000362,69,a1S4W000004D1SKUA0,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRlzQAG,0,0,false,0034W00002DpofhQAB,,112.5,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,55,,,a1R4W000004PyfSUAS,3,133,650,,
a1H4W00000BB55bUAD,000000364,70,a1S4W000004D1SMUA0,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRkKQAW,0,0,false,0034W00002DpocTQAR,,337.5,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,57,,,a1R4W000004PyfSUAS,5,150,650,,
a1H4W00000BB55cUAD,000000365,71,a1S4W000004D1SLUA0,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRkKQAW,0,0,false,0034W00002Dpof6QAB,,375,Contact,false,a154W00000926QuQAI,,2020-05-20,,,,,,56,,,a1R4W000004PyfSUAS,5,149,650,,
a1H4W00000BB55dUAD,000000366,72,a1S4W000004D1SWUA0,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRkOQAW,0,0,false,0034W00002Dpog7QAB,,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,116,,,a1R4W000004PyfSUAS,10,243,609,,
a1H4W00000BB55eUAD,000000367,73,a1S4W000004D1ScUAK,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRkKQAW,0,0,false,0034W00002Dpof1QAB,,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,122,,,a1R4W000004PyfSUAS,5,144,609,,
