Id,OrderApi__Receipt_Line__c,OrderApi__Term__c,Name,External_Id__c,OrderApi__Subscription__c,OrderApi__Activated_Date__c,OrderApi__Active_Assignments__c,OrderApi__Assignments_Allowed__c,OrderApi__Assignments_Available__c,OrderApi__Invoice_Line__c,OrderApi__Invoiced_Date__c,OrderApi__Is_Amendment__c,OrderApi__Is_Invoiced__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Line_Description__c,OrderApi__List_Price__c,OrderApi__Price_Override__c,OrderApi__Price_Rule__c,OrderApi__Quantity__c,OrderApi__Sale_Price__c,OrderApi__Sales_Order_Line__c,OrderApi__Subscription_Line__c,OrderApi__Subtotal__c,OrderApi__Total__c,OrderApi__Is_Required_Package_Item__c,OrderApi__Receipt_Line__r.External_Id__c,OrderApi__Term__r.External_Id__c,OrderApi__Subscription__r.External_Id__c,OrderApi__Invoice_Line__r.External_Id__c,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Price_Rule__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Subscription_Line__r.External_Id__c
a1Q4W000003fqXRUAY,,a1H4W00000BB550UAD,000000236,30,a1S4W000004D1T8UAK,2016-04-02,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926QuQAI,Associate Membership,150,true,,1,37.5,,,37.5,37.5,false,,33,81,,155,650,,,
a1Q4W000003fqXSUAY,,a1H4W00000BB551UAD,000000237,31,a1S4W000004D1T9UAK,2016-11-11,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,true,,1,200,,,200,200,false,,34,82,,155,651,,,
a1Q4W000003fqXTUAY,,a1H4W00000BB552UAD,000000238,32,a1S4W000004D1TAUA0,2016-08-16,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926QuQAI,Associate Membership,150,true,,1,137.5,,,137.5,137.5,false,,35,83,,155,650,,,
a1Q4W000003fqXUUAY,,a1H4W00000BB553UAD,000000239,33,a1S4W000004D1TBUA0,2015-01-16,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926QuQAI,Associate Membership,150,true,,1,75,,,75,75,false,,36,84,,155,650,,,
a1Q4W000003fqXVUAY,,a1H4W00000BB554UAD,000000240,34,a1S4W000004D1TCUA0,2016-07-27,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,true,,1,300,,,300,300,false,,37,85,,155,651,,,
a1Q4W000003fqXWUAY,,a1H4W00000BB555UAD,000000241,35,a1S4W000004D1TDUA0,2015-10-12,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,true,,1,225,,,225,225,false,,38,86,,155,651,,,
a1Q4W000003fqXXUAY,,a1H4W00000BB556UAD,000000242,36,a1S4W000004D1TEUA0,2014-07-15,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926RDQAY,Student Membership,45,true,,1,25,,,25,25,false,,39,87,,155,609,,,
a1Q4W000003fqXYUAY,,a1H4W00000BB557UAD,000000243,37,a1S4W000004D1TFUA0,2016-03-02,1,10,9,,,true,false,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,2500,true,,1,2500,,,2500,2500,false,,40,88,,159,648,,,
a1Q4W000003fqXZUAY,,a1H4W00000BB558UAD,000000244,38,a1S4W000004D1TGUA0,2016-11-28,1,10,9,,,true,false,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,2500,true,,1,2500,,,2500,2500,false,,41,89,,159,648,,,
a1Q4W000003fqXaUAI,,a1H4W00000BB559UAD,000000245,39,a1S4W000004D1THUA0,2015-04-20,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926RDQAY,Student Membership,45,true,,1,25,,,25,25,false,,42,139,,155,609,,,
a1Q4W000003fqXbUAI,,a1H4W00000BB55AUAT,000000246,40,a1S4W000004D1TIUA0,2015-06-22,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,true,,1,25,,,25,25,false,,43,140,,155,651,,,
a1Q4W000003fqXcUAI,,a1H4W00000BB55BUAT,000000247,41,a1S4W000004D1TJUA0,2014-10-14,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,true,,1,225,,,225,225,false,,44,141,,155,651,,,
a1Q4W000003fqXdUAI,,a1H4W00000BB55CUAT,000000248,42,a1S4W000004D1TKUA0,2016-07-24,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926RDQAY,Student Membership,45,true,,1,25,,,25,25,false,,45,142,,155,609,,,
a1Q4W000003fqXeUAI,,a1H4W00000BB55DUAT,000000249,43,a1S4W000004D1TLUA0,2016-11-08,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926RDQAY,Student Membership,45,true,,1,25,,,25,25,false,,46,143,,155,609,,,
a1Q4W000003fqXfUAI,,a1H4W00000BB55EUAT,000000250,44,a1S4W000004D1TMUA0,2017-07-04,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926RDQAY,Student Membership,45,true,,1,25,,,25,25,false,,47,144,,155,609,,,
a1Q4W000003fqXgUAI,,a1H4W00000BB55FUAT,000000251,45,a1S4W000004D1TNUA0,2016-10-10,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,true,,1,225,,,225,225,false,,48,145,,155,651,,,
a1Q4W000003fqXhUAI,,a1H4W00000BB55GUAT,000000252,46,a1S4W000004D1TOUA0,2014-06-13,1,14,13,,,true,false,a134W000009DZGNQA4,a154W00000926RkQAI,Company Membership,5000,true,,1,0,,,0,0,false,,49,146,,159,649,,,
a1Q4W000003fqXiUAI,,a1H4W00000BB55HUAT,000000253,47,a1S4W000004D1TPUA0,2017-04-24,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,true,,1,75,,,75,75,false,,50,147,,155,651,,,
a1Q4W000003fqXjUAI,,a1H4W00000BB55IUAT,000000254,48,a1S4W000004D1TQUA0,2015-10-20,0,,,,,true,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,true,,1,225,,,225,225,false,,51,148,,155,651,,,
a1Q4W000003fqXkUAI,,a1H4W00000BB55JUAT,000000255,49,a1S4W000004D1TRUA0,2014-03-15,1,10,9,,,true,false,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,2500,true,,1,2500,,,2500,2500,false,,52,149,,159,648,,,
a1Q4W000003fqY9UAI,,a1H4W00000BB544UAD,000000284,50,a1S4W000004D1TlUAK,2018-10-01,0,,,,,false,false,a134W000009DZGoQAO,a154W00000926SdQAI,Associations Today Magazine,50,true,a1C4W00000845LDUAY,1,4.17,a1I4W00000HFa8oUAD,,4.17,4.17,false,,87,108,,156,652,477,1710,
a1Q4W000003fqYAUAY,,a1H4W00000BB545UAD,000000285,51,a1S4W000004D1TmUAK,2018-10-01,0,,,,,false,false,a134W000009DZGoQAO,a154W00000926SdQAI,Associations Today Magazine,50,true,a1C4W00000845LDUAY,1,4.17,a1I4W00000HFa8pUAD,,4.17,4.17,false,,88,109,,156,652,477,1711,
a1Q4W000003fqYBUAY,,a1H4W00000BB55qUAD,000000287,52,a1S4W000004D1TnUAK,2018-11-21,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926RDQAY,Student Membership,45,false,a1C4W00000845KpUAI,1,45,a1I4W00000HFa9MUAT,,45,45,false,,103,110,,155,609,470,1992,
a1Q4W000003fqYCUAY,,a1H4W00000BB55nUAD,000000288,53,a1S4W000004D1ToUAK,2019-01-09,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QzQAI,FON - National Membership,900,false,a1C4W00000845KlUAI,1,900,a1I4W00000HFa9eUAD,,900,900,false,,96,111,,155,96,613,863,
a1Q4W000003fqYDUAY,,a1H4W00000BB55nUAD,000000289,54,a1S4W000004D1ToUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R1QAI,State Chapter Membership,90,false,a1C4W00000845KOUAY,1,90,a1I4W00000HFa9fUAD,a1Q4W000003fqYCUAY,90,90,false,,96,111,,155,701,547,864,53
a1Q4W000003fqYEUAY,,a1H4W00000BB55nUAD,000000290,55,a1S4W000004D1ToUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R0QAI,Local Chapter Membership,60,false,a1C4W00000845KmUAI,1,60,a1I4W00000HFaHmUAL,a1Q4W000003fqYCUAY,60,60,false,,96,111,,155,700,545,865,53
a1Q4W000003fqYFUAY,,a1H4W00000BB55oUAD,000000291,56,a1S4W000004D1TpUAK,2019-01-09,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QzQAI,FON - National Membership,900,false,a1C4W00000845KlUAI,1,900,a1I4W00000HFa9gUAD,,900,900,false,,97,112,,155,96,613,866,
a1Q4W000003fqYGUAY,,a1H4W00000BB540UAD,000000292,57,a1S4W000004D1TqUAK,2019-01-10,2,14,12,,,false,false,a134W000009DZGNQA4,a154W00000926RkQAI,Company Membership,5000,false,a1C4W00000845LAUAY,1,5000,a1I4W00000HFa9iUAD,,5000,5000,false,,98,113,,159,649,474,869,
a1Q4W000003fqYHUAY,,a1H4W00000BB55oUAD,000000293,58,a1S4W000004D1TpUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R1QAI,State Chapter Membership,90,false,a1C4W00000845KOUAY,1,90,a1I4W00000HFa9hUAD,a1Q4W000003fqYFUAY,90,90,false,,97,112,,155,701,547,867,56
a1Q4W000003fqYIUAY,,a1H4W00000BB55oUAD,000000294,59,a1S4W000004D1TpUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R0QAI,Local Chapter Membership,60,false,a1C4W00000845KmUAI,1,60,a1I4W00000HFaHnUAL,a1Q4W000003fqYFUAY,60,60,false,,97,112,,155,700,545,868,56
a1Q4W000003fqYJUAY,,a1H4W00000BB546UAD,000000295,60,a1S4W000004D1TrUAK,2019-01-16,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QzQAI,FON - National Membership,900,true,a1C4W00000845KlUAI,1,450,a1I4W00000HFa9sUAD,,450,450,false,,99,114,,155,96,613,1003,
a1Q4W000003fqYKUAY,,a1H4W00000BB546UAD,000000296,61,a1S4W000004D1TrUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R1QAI,State Chapter Membership,90,true,a1C4W00000845KOUAY,1,45,a1I4W00000HFa9tUAD,a1Q4W000003fqYJUAY,45,45,false,,99,114,,155,701,547,1004,60
a1Q4W000003fqYLUAY,,a1H4W00000BB546UAD,000000297,62,a1S4W000004D1TrUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R0QAI,Local Chapter Membership,60,true,a1C4W00000845KmUAI,1,30,a1I4W00000HFa9uUAD,a1Q4W000003fqYJUAY,30,30,false,,99,114,,155,700,545,1005,60
a1Q4W000003fqYMUAY,,a1H4W00000BB547UAD,000000298,63,a1S4W000004D1TsUAK,2019-01-22,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QzQAI,FON - National Membership,900,true,a1C4W00000845KlUAI,1,450,a1I4W00000HFaA4UAL,,450,450,false,,100,151,,155,96,613,1140,
a1Q4W000003fqYNUAY,,a1H4W00000BB547UAD,000000299,64,a1S4W000004D1TsUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R1QAI,State Chapter Membership,90,true,a1C4W00000845LVUAY,1,35,a1I4W00000HFaA5UAL,a1Q4W000003fqYMUAY,35,35,false,,100,151,,155,701,615,1141,63
a1Q4W000003fqYOUAY,,a1H4W00000BB547UAD,000000300,65,a1S4W000004D1TsUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R0QAI,Local Chapter Membership,60,true,a1C4W00000845KmUAI,1,30,a1I4W00000HFaA6UAL,a1Q4W000003fqYMUAY,30,30,false,,100,151,,155,700,545,1142,63
a1Q4W000003fqYPUAY,,a1H4W00000BB55pUAD,000000303,66,a1S4W000004D1TtUAK,2019-01-28,0,14,14,,,false,false,a134W000009DZGNQA4,a154W00000926RkQAI,Company Membership,5000,true,a1C4W00000845LAUAY,1,2500,a1I4W00000HFaA9UAL,,2500,2500,false,,101,152,,159,649,474,1145,
a1Q4W000003fqYQUAY,,a1H4W00000BB53lUAD,000000307,67,a1S4W000004D1TuUAK,2019-02-18,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,false,a1C4W00000845KNUAY,1,300,a1I4W00000HFZrrUAH,,300,300,false,,102,153,,155,651,476,1423,
a1Q4W000003fqYRUAY,,a1H4W00000BB53mUAD,000000312,68,a1S4W000004D1TvUAK,2019-03-13,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926QzQAI,FON - National Membership,900,true,a1C4W00000845KlUAI,1,300,a1I4W00000HFZqNUAX,,300,300,false,,89,159,,155,96,613,228,
a1Q4W000003fqYSUAY,,a1H4W00000BB53mUAD,000000313,69,a1S4W000004D1TvUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R1QAI,State Chapter Membership,90,true,a1C4W00000845KOUAY,1,30,a1I4W00000HFZqOUAX,a1Q4W000003fqYRUAY,30,30,true,,89,159,,155,701,547,229,68
a1Q4W000003fqYTUAY,,a1H4W00000BB53mUAD,000000314,70,a1S4W000004D1TvUAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R0QAI,Local Chapter Membership,60,true,a1C4W00000845KmUAI,1,20,a1I4W00000HFZqPUAX,a1Q4W000003fqYRUAY,20,20,true,,89,159,,155,700,545,230,68
a1Q4W000003fqYUUAY,,a1H4W00000BB53nUAD,000000319,71,a1S4W000004D1S2UAK,2019-04-22,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,false,a1C4W00000845KNUAY,1,300,a1I4W00000HFZqwUAH,,300,300,false,,90,160,,155,651,476,468,
a1Q4W000003fqYVUAY,,a1H4W00000BB53oUAD,000000321,72,a1S4W000004D1S3UAK,2019-04-25,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R1QAI,State Chapter Membership,90,true,a1C4W00000845KPUAY,1,45,,,45,45,false,,91,161,,155,701,616,,
a1Q4W000003fqYWUAY,,a1H4W00000BB53pUAD,000000322,73,a1S4W000004D1S4UAK,2019-05-03,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,false,a1C4W00000845KNUAY,1,300,a1I4W00000HFZrBUAX,,300,300,false,,92,162,,155,651,476,590,
a1Q4W000003fqYXUAY,,a1H4W00000BB53pUAD,000000323,74,a1S4W000004D1S4UAK,,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R1QAI,State Chapter Membership,90,false,a1C4W00000845KOUAY,1,90,a1I4W00000HFZrCUAX,a1Q4W000003fqYWUAY,90,90,false,,92,162,,155,701,547,591,73
a1Q4W000003fqYYUAY,,a1H4W00000BB53qUAD,000000324,75,a1S4W000004D1S5UAK,2019-05-03,9,10,1,,,false,false,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,2500,true,a1C4W00000845KMUAY,1,1666.67,a1I4W00000HFZrDUAX,,1666.67,1666.67,false,,93,163,,159,648,473,592,
a1Q4W000003fqYZUAY,,a1H4W00000BB53rUAD,000000325,76,a1S4W000004D1S6UAK,2019-05-03,3,10,7,,,false,false,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,2500,true,a1C4W00000845KMUAY,1,1666.67,a1I4W00000HFZrFUAX,,1666.67,1666.67,false,,94,164,,159,648,473,717,
a1Q4W000003fqYaUAI,,a1H4W00000BB53sUAD,000000328,77,a1S4W000004D1S7UAK,2019-05-20,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926RDQAY,Student Membership,45,false,a1C4W00000845KpUAI,1,45,a1I4W00000HFZrQUAX,,45,45,false,,95,165,,155,609,470,728,
a1Q4W000003fqVNUAY,,a1H4W00000BB52vUAD,000000350,78,a1S4W000004D1S5UAK,,0,10,10,,,false,false,a134W000009DZGNQA4,a154W00000926QvQAI,Institutional Membership,2500,false,a1C4W00000845KMUAY,1,2500,a1I4W00000HFZkZUAX,,2500,2500,false,,109,163,,159,648,473,1165,
a1Q4W000003fqVOUAY,,,000000351,79,a1S4W000004D1RMUA0,2019-11-05,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,false,a1C4W00000845KNUAY,1,300,,,300,300,false,,,1,,155,651,476,,
a1Q4W000003fqVPUAY,,a1H4W00000BB52wUAD,000000352,80,a1S4W000004D1RNUA0,2019-07-01,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,false,a1C4W00000845KNUAY,1,300,a1I4W00000HFZkaUAH,,300,300,false,,110,2,,155,651,476,1166,
a1Q4W000003fqVQUAY,,a1H4W00000BB52xUAD,000000353,81,a1S4W000004D1SDUA0,2018-07-01,0,,,,,false,false,a134W000009DZGIQA4,a154W00000926R6QAI,Professional Membership,300,false,a1C4W00000845KNUAY,1,300,a1I4W00000HFZkbUAH,,300,300,false,,111,3,,155,651,476,1295,
