Id,Name,External_Id__c,OrderApi__Account__c,OrderApi__Assignment__c,OrderApi__Awarded_Date__c,OrderApi__Badge_Description__c,OrderApi__Badge_Type_Icon__c,OrderApi__Badge_Type__c,OrderApi__Badge_Workflow__c,OrderApi__Contact__c,OrderApi__Engagement_Score__c,OrderApi__Expired_Date__c,OrderApi__Is_Active__c,OrderApi__Item__c,OrderApi__Sales_Order_Line__c,OrderApi__Term__c,OrderApi__Account__r.External_Id__c,OrderApi__Assignment__r.External_Id__c,OrderApi__Badge_Type__r.Id,OrderApi__Badge_Workflow__r.External_Id__c,OrderApi__Contact__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Term__r.External_Id__c
a0m4W00000Z9k06QAB,00000328,14,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k06"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYVQA3,0034W00002DpofKQAR,25,,true,a154W00000926SNQAY,,,,,a0k4W00000DtAGWQA3,33,100,418,,
a0m4W00000Z9k3bQAB,00000329,15,0014W000025FRkLQAW,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3b"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYAQA3,,50,,true,a154W00000926STQAY,,,6,,a0k4W00000DtAGXQA3,12,,683,,
a0m4W00000Z9k07QAB,00000330,16,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k07"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYUQA3,0034W00002DpogBQAR,25,,true,a154W00000926SGQAY,,,,,a0k4W00000DtAGWQA3,32,161,417,,
a0m4W00000Z9k08QAB,00000331,17,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k08"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYUQA3,0034W00002DpogLQAR,25,,true,a154W00000926SGQAY,,,,,a0k4W00000DtAGWQA3,32,171,417,,
a0m4W00000Z9k09QAB,00000332,18,,,2014-09-06,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k09"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000DtAGUQA3,a0l4W00000H3CYMQA3,0034W00002Dpof6QAB,100,2017-09-24,false,a154W00000926QuQAI,,,,,a0k4W00000DtAGUQA3,24,149,650,,
a0m4W00000Z9k0AQAR,00000333,19,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0A"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYVQA3,0034W00002DpofWQAR,25,,true,a154W00000926SNQAY,,,,,a0k4W00000DtAGWQA3,33,178,418,,
a0m4W00000Z9k3cQAB,00000334,20,0014W000025FRkMQAW,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3c"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYEQA3,,50,,true,a154W00000926SSQAY,,,8,,a0k4W00000DtAGXQA3,16,,684,,
a0m4W00000Z9k3dQAB,00000335,21,0014W000025FRkKQAW,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3d"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYCQA3,,50,,true,,,,5,,a0k4W00000DtAGXQA3,14,,,,
a0m4W00000Z9k3eQAB,00000336,22,0014W000025FRlzQAG,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3e"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYDQA3,,50,,true,a154W00000926STQAY,,,3,,a0k4W00000DtAGXQA3,15,,683,,
a0m4W00000Z9k0BQAR,00000337,23,,,2014-10-02,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0B"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000DtAGUQA3,a0l4W00000H3CYMQA3,0034W00002DpocTQAR,100,2017-09-24,false,a154W00000926QuQAI,,,,,a0k4W00000DtAGUQA3,24,150,650,,
a0m4W00000Z9k0CQAR,00000338,24,,,2013-07-19,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0C"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000DtAGUQA3,a0l4W00000H3CYNQA3,0034W00002Dpof3QAB,100,2017-09-24,false,a154W00000926R6QAI,,,,,a0k4W00000DtAGUQA3,25,146,651,,
a0m4W00000Z9k3fQAB,00000339,25,0014W000025FRkLQAW,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3f"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYDQA3,,50,,true,a154W00000926STQAY,,,6,,a0k4W00000DtAGXQA3,15,,683,,
a0m4W00000Z9k3gQAB,00000340,26,0014W000025FRl7QAG,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3g"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYDQA3,,50,,true,a154W00000926STQAY,,,4,,a0k4W00000DtAGXQA3,15,,683,,
a0m4W00000Z9k3hQAB,00000341,27,0014W000025FRm4QAG,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3h"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYEQA3,,50,,true,a154W00000926SSQAY,,,14,,a0k4W00000DtAGXQA3,16,,684,,
a0m4W00000Z9k0DQAR,00000342,28,,,2015-01-08,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0D"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000DtAGUQA3,a0l4W00000H3CYMQA3,0034W00002DpofoQAB,100,2017-09-24,false,a154W00000926QuQAI,,,,,a0k4W00000DtAGUQA3,24,141,650,,
a0m4W00000Z9k0EQAR,00000343,29,,,2014-12-04,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0E"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000DtAGUQA3,a0l4W00000H3CYMQA3,0034W00002DpogKQAR,100,2017-09-24,false,a154W00000926QuQAI,,,,,a0k4W00000DtAGUQA3,24,170,650,,
a0m4W00000Z9k3iQAB,00000344,30,0014W000025FRm2QAG,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3i"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYEQA3,,50,,true,a154W00000926SSQAY,,,12,,a0k4W00000DtAGXQA3,16,,684,,
a0m4W00000Z9k3jQAB,00000345,31,0014W000025FRm3QAG,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3j"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYEQA3,,50,,true,a154W00000926SSQAY,,,13,,a0k4W00000DtAGXQA3,16,,684,,
a0m4W00000Z9k3kQAB,00000346,32,0014W000025FRlxQAG,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3k"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYCQA3,,50,,true,,,,1,,a0k4W00000DtAGXQA3,14,,,,
a0m4W00000Z9k0FQAR,00000347,33,,,2014-08-15,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0F"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000DtAGUQA3,a0l4W00000H3CYPQA3,0034W00002DpoddQAB,100,,true,a154W00000926RDQAY,,,,,a0k4W00000DtAGUQA3,27,136,609,,
a0m4W00000Z9k0GQAR,00000348,34,,,2015-03-22,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0G"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000DtAGUQA3,a0l4W00000H3CYNQA3,0034W00002DpofxQAB,100,2017-09-24,false,a154W00000926R6QAI,,,,,a0k4W00000DtAGUQA3,25,209,651,,
a0m4W00000Z9k3lQAB,00000349,35,0014W000025FRm1QAG,,2017-09-25,Awarded to all association event sponsors.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Sponsor Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3l"" target=""_tab"">FON-Sponsor Badge</a>",a0k4W00000DtAGXQA3,a0l4W00000H3CYEQA3,,50,,true,a154W00000926SSQAY,,,11,,a0k4W00000DtAGXQA3,16,,684,,
a0m4W00000Z9k3mQAB,00000350,36,0014W000025FRkOQAW,,2013-01-28,Awarded to all organization members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Organizational Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k3m"" target=""_tab"">FON-Organizational Member Badge</a>",a0k4W00000DtAGVQA3,a0l4W00000H3CYKQA3,,100,2017-09-24,false,a154W00000926QvQAI,,,10,,a0k4W00000DtAGVQA3,22,,648,,
a0m4W00000Z9k0HQAR,00000351,37,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0H"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYXQA3,0034W00002Dpog3QAB,25,,true,,,,,,a0k4W00000DtAGWQA3,35,239,,,
a0m4W00000Z9k0IQAR,00000352,38,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0I"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYWQA3,0034W00002DpofYQAR,25,,true,,,,,,a0k4W00000DtAGWQA3,34,180,,,
a0m4W00000Z9k0JQAR,00000353,39,,,2013-11-15,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0J"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000DtAGUQA3,a0l4W00000H3CYNQA3,0034W00002DpoeyQAB,100,2017-09-24,false,a154W00000926R6QAI,,,,,a0k4W00000DtAGUQA3,25,73,651,,
a0m4W00000Z9k0KQAR,00000354,40,,,2013-07-23,Awarded to all individual members of the association.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Individual Member Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0K"" target=""_tab"">FON-Individual Member Badge</a>",a0k4W00000DtAGUQA3,a0l4W00000H3CYPQA3,0034W00002DpodfQAB,100,,true,a154W00000926RDQAY,,,,,a0k4W00000DtAGUQA3,27,98,609,,
a0m4W00000Z9k0LQAR,00000355,41,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0L"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYWQA3,0034W00002Dpog0QAB,25,,true,,,,,,a0k4W00000DtAGWQA3,34,212,,,
a0m4W00000Z9k0MQAR,00000356,42,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0M"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYWQA3,0034W00002DpofVQAR,25,,true,,,,,,a0k4W00000DtAGWQA3,34,177,,,
a0m4W00000Z9k0NQAR,00000357,43,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0N"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYXQA3,0034W00002DpofFQAR,25,,true,,,,,,a0k4W00000DtAGWQA3,35,94,,,
a0m4W00000Z9k0OQAR,00000358,44,,,2017-09-25,Awarded to all attendees of our annual conference.,"<img src=""https://res.cloudinary.com/fonteva-inc/image/upload/v1402119417/default-badge-icon-small_iz1fox.png"" alt=""FON-Annual Conference Attendee Badge"" style=""height:12px; width:12px;"" border=""0""/> <a href=""https://gcouuk6ys.my.salesforce.com/a0m4W00000Z9k0O"" target=""_tab"">FON-Annual Conference Attendee Badge</a>",a0k4W00000DtAGWQA3,a0l4W00000H3CYXQA3,0034W00002DpogGQAR,25,,true,,,,,,a0k4W00000DtAGWQA3,35,166,,,
