Id,OrderApi__Assignment__c,Name,External_Id__c,OrderApi__Account__c,OrderApi__Contact__c,OrderApi__Date__c,OrderApi__Description__c,OrderApi__Invoice__c,OrderApi__Is_Customer_Generated__c,OrderApi__Item__c,OrderApi__Payment_Method__c,OrderApi__Receipt_Line__c,OrderApi__Receipt__c,OrderApi__Sales_Order_Line__c,OrderApi__Sales_Order__c,OrderApi__Scheduled_Payment__c,OrderApi__Subscription_Line__c,OrderApi__Subscription_Plan__c,OrderApi__Subscription_Upgrade_Item__c,OrderApi__Subscription__c,OrderApi__System_Message__c,OrderApi__Type__c,OrderApi__Assignment__r.External_Id__c,OrderApi__Account__r.External_Id__c,OrderApi__Contact__r.External_Id__c,OrderApi__Invoice__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Payment_Method__r.External_Id__c,OrderApi__Receipt_Line__r.External_Id__c,OrderApi__Receipt__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Scheduled_Payment__r.External_Id__c,OrderApi__Subscription_Line__r.External_Id__c,OrderApi__Subscription_Plan__r.Id,OrderApi__Subscription_Upgrade_Item__r.External_Id__c,OrderApi__Subscription__r.External_Id__c
a164W000007nLk9QAE,a0j4W00000E3JrkQAF,000002374,11,,0034W00002DpodEQAR,2020-04-20,"<a href=""/a164W000007nLk9"" target=""_blank"">Contact Assigned - Sabrina Crawley 15 (Member)</a>",,false,a154W00000926RWQAY,,,,,,,,,,,Contact Assigned - Sabrina Crawley 15 (Member),Contact Assigned,429,,108,,186,,,,,,,,,,
a164W000007nLkAQAU,a0j4W00000E3JriQAF,000002375,12,,0034W00002DpodDQAR,2020-04-20,"<a href=""/a164W000007nLkA"" target=""_blank"">Contact Assigned - Tim Garrity 15 (Member)</a>",,false,a154W00000926RWQAY,,,,,,,,,,,Contact Assigned - Tim Garrity 15 (Member),Contact Assigned,449,,107,,186,,,,,,,,,,
a164W000007nLkBQAU,,000002376,13,0014W000025FRkjQAG,0034W00002DpodEQAR,2020-04-20,"<a href=""/a164W000007nLkB"" target=""_blank"">Subscription Created (Active)</a>",,false,a154W00000926RWQAY,a194W000009Mx8hQAC,,,,,,,a1R4W000004PyfRUAS,,a1S4W000004D1RwUAK,Subscription Created (Active),Subscription Created (Active),,123,108,,186,1,,,,,,,a1R4W000004PyfRUAS,,49
a164W000007nLkCQAU,a0j4W00000E3JrjQAF,000002377,14,,0034W00002DpodEQAR,2020-04-20,"<a href=""/a164W000007nLkC"" target=""_blank"">Contact Assigned - Sabrina Crawley 15 (Member)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZo1UAH,a1J4W00000CgFtBUAV,,,,,,Contact Assigned - Sabrina Crawley 15 (Member),Contact Assigned,450,,108,,186,,,,1314,895,,,,,
a164W000007nLkDQAU,a0j4W00000E3JrlQAF,000002378,15,,0034W00002DpodDQAR,2020-04-20,"<a href=""/a164W000007nLkD"" target=""_blank"">Contact Assigned - Tim Garrity 15 (Member)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZo1UAH,a1J4W00000CgFtBUAV,,,,,,Contact Assigned - Tim Garrity 15 (Member),Contact Assigned,451,,107,,186,,,,1314,895,,,,,
a164W000007nLkEQAU,,000002379,16,0014W000025FRkjQAG,0034W00002DpodEQAR,2020-04-20,"<a href=""/a164W000007nLkE"" target=""_blank"">Subscription Created (Active)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZo1UAH,a1J4W00000CgFtBUAV,,,a1R4W000004PyfRUAS,,a1S4W000004D1RvUAK,Subscription Created (Active),Subscription Created (Active),,123,108,,186,,,,1314,895,,,a1R4W000004PyfRUAS,,50
a164W000007nLkFQAU,a0j4W00000E3JrmQAF,000002403,17,,0034W00002DpodrQAB,2020-05-15,"<a href=""/a164W000007nLkF"" target=""_blank"">Contact Assigned - Eva Foxworth (Default Attendee)</a>",,true,a154W00000926RUQAY,,,,a1I4W00000HFZoIUAX,a1J4W00000CgFtTUAV,,,,,,Contact Assigned - Eva Foxworth (Default Attendee),Contact Assigned,565,,152,,539,,,,1458,560,,,,,
a164W000007nLkGQAU,a0j4W00000E3JroQAF,000002405,18,,0034W00002DpodGQAR,2020-05-20,"<a href=""/a164W000007nLkG"" target=""_blank"">Contact Assigned - Joe Brewer (Member)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZogUAH,a1J4W00000CgFtdUAF,,,,,,Contact Assigned - Joe Brewer (Member),Contact Assigned,566,,127,,186,,,,1741,632,,,,,
a164W000007nLkHQAU,a0j4W00000E3JrnQAF,000002406,19,,0034W00002DpodHQAR,2020-05-20,"<a href=""/a164W000007nLkH"" target=""_blank"">Contact Assigned - Chamomile Cabello (Member)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZogUAH,a1J4W00000CgFtdUAF,,,,,,Contact Assigned - Chamomile Cabello (Member),Contact Assigned,567,,128,,186,,,,1741,632,,,,,
a164W000007nLkIQAU,,000002407,20,0014W000025FRklQAG,0034W00002DpodGQAR,2020-05-20,"<a href=""/a164W000007nLkI"" target=""_blank"">Subscription Created (Active)</a>",,false,a154W00000926RWQAY,,,,a1I4W00000HFZogUAH,a1J4W00000CgFtdUAF,,,a1R4W000004PyfRUAS,,a1S4W000004D1RyUAK,Subscription Created (Active),Subscription Created (Active),,133,127,,186,,,,1741,632,,,a1R4W000004PyfRUAS,,41
a164W000007nLkJQAU,,000002408,21,0014W000025FRkKQAW,0034W00002DpocXQAR,2020-05-22,"<a href=""/a164W000007nLkJ"" target=""_blank"">Subscription Expired - Kiki Symonds</a>",,false,a154W00000926R6QAI,,,,a1I4W00000HFZqwUAH,a1J4W00000CgG6zUAF,,,a1R4W000004PyfOUAS,,a1S4W000004D1S2UAK,Subscription Expired - Kiki Symonds,Subscription Expired,,5,227,,651,,,,468,524,,,a1R4W000004PyfOUAS,,160
a164W000007nLkNQAU,,000002414,22,0014W000025FRkNQAW,0034W00002DpodIQAR,2020-05-23,"<a href=""/a164W000007nLkN"" target=""_blank"">Subscription Created (Active)</a>",,true,a154W00000926RWQAY,a194W000009Mx8SQAS,,,a1I4W00000HFZolUAH,a1J4W00000CgFtiUAF,,,a1R4W000004PyfNUAS,,a1S4W000004D1RzUAK,Subscription Created (Active),Subscription Created (Active),,21,55,,186,16,,,1746,696,,,a1R4W000004PyfNUAS,,42
a164W000007nLkKQAU,a0j4W00000E3JrpQAF,000002411,23,,0034W00002DpodIQAR,2020-05-23,"<a href=""/a164W000007nLkK"" target=""_blank"">Contact Assigned - Prashanth Test (Member)</a>",,true,a154W00000926RWQAY,,,,a1I4W00000HFZolUAH,a1J4W00000CgFtiUAF,,,,,,Contact Assigned - Prashanth Test (Member),Contact Assigned,568,,55,,186,,,,1746,696,,,,,
a164W000007nLpgQAE,a0j4W00000E3JvcQAF,000001426,24,,0034W00002Dpog0QAB,2018-04-22,"<a href=""/a164W000007nLpg"" target=""_blank"">Contact Assigned - Jose Hernandez (Default Attendee)</a>",,false,,,,,a1I4W00000HFa06UAD,a1J4W00000CgFzgUAF,,,,,,Contact Assigned - Jose Hernandez (Default Attendee),Contact Assigned,433,,212,,,,,,817,347,,,,,
a164W000007nLphQAE,a0j4W00000E3JvdQAF,000001427,25,,0034W00002Dpog0QAB,2018-04-22,"<a href=""/a164W000007nLph"" target=""_blank"">Contact Assigned - Jose Hernandez (Default Attendee)</a>",,false,,,,,a1I4W00000HFa07UAD,a1J4W00000CgFzgUAF,,,,,,Contact Assigned - Jose Hernandez (Default Attendee),Contact Assigned,434,,212,,,,,,818,347,,,,,
a164W000007nLpiQAE,a0j4W00000E3JveQAF,000001428,26,,0034W00002Dpog0QAB,2018-04-22,"<a href=""/a164W000007nLpi"" target=""_blank"">Contact Assigned - Jose Hernandez (Default Attendee)</a>",,false,,,,,a1I4W00000HFa08UAD,a1J4W00000CgFzgUAF,,,,,,Contact Assigned - Jose Hernandez (Default Attendee),Contact Assigned,435,,212,,,,,,819,347,,,,,
a164W000007nLpjQAE,a0j4W00000E3JvfQAF,000001429,27,,0034W00002Dpog0QAB,2018-04-22,"<a href=""/a164W000007nLpj"" target=""_blank"">Contact Assigned - Jose Hernandez (Default Attendee)</a>",,false,,,,,a1I4W00000HFa09UAD,a1J4W00000CgFzgUAF,,,,,,Contact Assigned - Jose Hernandez (Default Attendee),Contact Assigned,436,,212,,,,,,948,347,,,,,
a164W000007nLpkQAE,a0j4W00000E3JvgQAF,000001430,28,,0034W00002Dpog0QAB,2018-04-22,"<a href=""/a164W000007nLpk"" target=""_blank"">Contact Assigned - Jose Hernandez (Default Attendee)</a>",,false,,,,,a1I4W00000HFa0AUAT,a1J4W00000CgFzgUAF,,,,,,Contact Assigned - Jose Hernandez (Default Attendee),Contact Assigned,437,,212,,,,,,949,347,,,,,
a164W000007nLplQAE,a0j4W00000E3JvhQAF,000001431,29,,0034W00002Dpog0QAB,2018-04-22,"<a href=""/a164W000007nLpl"" target=""_blank"">Contact Assigned - Jose Hernandez (Default Attendee)</a>",,false,a154W00000926SBQAY,,,,a1I4W00000HFa0BUAT,a1J4W00000CgFzgUAF,,,,,,Contact Assigned - Jose Hernandez (Default Attendee),Contact Assigned,438,,212,,598,,,,950,347,,,,,
a164W000007nLpmQAE,a0j4W00000E3JviQAF,000001432,30,,0034W00002Dpog0QAB,2018-04-22,"<a href=""/a164W000007nLpm"" target=""_blank"">Contact Assigned - Jose Hernandez (Default Attendee)</a>",,false,a154W00000926S8QAI,,,,a1I4W00000HFa0CUAT,a1J4W00000CgFzgUAF,,,,,,Contact Assigned - Jose Hernandez (Default Attendee),Contact Assigned,439,,212,,599,,,,951,347,,,,,
a164W000007nLpnQAE,a0j4W00000E3JvjQAF,000001433,31,,0034W00002Dpog0QAB,2018-04-22,"<a href=""/a164W000007nLpn"" target=""_blank"">Contact Assigned - Jose Hernandez (Default Attendee)</a>",,false,a154W00000926S6QAI,,,,a1I4W00000HFa0DUAT,a1J4W00000CgFzgUAF,,,,,,Contact Assigned - Jose Hernandez (Default Attendee),Contact Assigned,440,,212,,600,,,,952,347,,,,,
a164W000007nLpoQAE,a0j4W00000E3JvkQAF,000001434,32,,0034W00002Dpog0QAB,2018-04-22,"<a href=""/a164W000007nLpo"" target=""_blank"">Contact Assigned - Jose Hernandez (Default Attendee)</a>",,false,a154W00000926S9QAI,,,,a1I4W00000HFa0EUAT,a1J4W00000CgFzgUAF,,,,,,Contact Assigned - Jose Hernandez (Default Attendee),Contact Assigned,441,,212,,601,,,,953,347,,,,,
a164W000007nLppQAE,a0j4W00000E3JvlQAF,000001435,33,,0034W00002Dpog0QAB,2018-04-22,"<a href=""/a164W000007nLpp"" target=""_blank"">Contact Assigned - Jose Hernandez (Default Attendee)</a>",,false,a154W00000926S7QAI,,,,a1I4W00000HFa0FUAT,a1J4W00000CgFzgUAF,,,,,,Contact Assigned - Jose Hernandez (Default Attendee),Contact Assigned,442,,212,,602,,,,954,347,,,,,
a164W000007nLpqQAE,a0j4W00000E3JvmQAF,000001436,34,,0034W00002Dpog0QAB,2018-04-22,"<a href=""/a164W000007nLpq"" target=""_blank"">Contact Assigned - Jose Hernandez (Default Attendee)</a>",,false,a154W00000926SDQAY,,,,a1I4W00000HFa0GUAT,a1J4W00000CgFzgUAF,,,,,,Contact Assigned - Jose Hernandez (Default Attendee),Contact Assigned,443,,212,,639,,,,955,347,,,,,
a164W000007nLprQAE,a0j4W00000E3JvnQAF,000001437,35,,0034W00002Dpog1QAB,2018-04-22,"<a href=""/a164W000007nLpr"" target=""_blank"">Contact Assigned - Della Hernandez (Default Attendee)</a>",,false,a154W00000926RYQAY,,,,a1I4W00000HFa0HUAT,a1J4W00000CgFzhUAF,,,,,,Contact Assigned - Della Hernandez (Default Attendee),Contact Assigned,444,,213,,415,,,,956,348,,,,,
a164W000007nLpsQAE,a0j4W00000E3JvoQAF,000001438,36,,0034W00002Dpog2QAB,2018-04-22,"<a href=""/a164W000007nLps"" target=""_blank"">Contact Assigned - Nicholas Morgan (Default Attendee)</a>",,false,,,,,a1I4W00000HFa0IUAT,a1J4W00000CgFziUAF,,,,,,Contact Assigned - Nicholas Morgan (Default Attendee),Contact Assigned,445,,214,,,,,,957,349,,,,,
a164W000007nLptQAE,a0j4W00000E3JvpQAF,000001439,37,,0034W00002Dpog2QAB,2018-04-22,"<a href=""/a164W000007nLpt"" target=""_blank"">Contact Assigned - Nicholas Morgan (Default Attendee)</a>",,false,,,,,a1I4W00000HFa0JUAT,a1J4W00000CgFziUAF,,,,,,Contact Assigned - Nicholas Morgan (Default Attendee),Contact Assigned,446,,214,,,,,,958,349,,,,,
a164W000007nLpuQAE,a0j4W00000E3JvqQAF,000001440,38,,0034W00002Dpog2QAB,2018-04-22,"<a href=""/a164W000007nLpu"" target=""_blank"">Contact Assigned - Nicholas Morgan (Default Attendee)</a>",,false,a154W00000926SBQAY,,,,a1I4W00000HFa0KUAT,a1J4W00000CgFziUAF,,,,,,Contact Assigned - Nicholas Morgan (Default Attendee),Contact Assigned,447,,214,,598,,,,959,349,,,,,
a164W000007nLpvQAE,a0j4W00000E3JvrQAF,000001441,39,,0034W00002Dpog2QAB,2018-04-22,"<a href=""/a164W000007nLpv"" target=""_blank"">Contact Assigned - Nicholas Morgan (Default Attendee)</a>",,false,a154W00000926S8QAI,,,,a1I4W00000HFa0LUAT,a1J4W00000CgFziUAF,,,,,,Contact Assigned - Nicholas Morgan (Default Attendee),Contact Assigned,448,,214,,599,,,,960,349,,,,,
a164W000007nLpwQAE,a0j4W00000E3JvsQAF,000001442,40,,0034W00002Dpog2QAB,2018-04-22,"<a href=""/a164W000007nLpw"" target=""_blank"">Contact Assigned - Nicholas Morgan (Default Attendee)</a>",,false,a154W00000926S6QAI,,,,a1I4W00000HFa0MUAT,a1J4W00000CgFziUAF,,,,,,Contact Assigned - Nicholas Morgan (Default Attendee),Contact Assigned,468,,214,,600,,,,961,349,,,,,
a164W000007nLpxQAE,a0j4W00000E3JvtQAF,000001443,41,,0034W00002Dpog2QAB,2018-04-22,"<a href=""/a164W000007nLpx"" target=""_blank"">Contact Assigned - Nicholas Morgan (Default Attendee)</a>",,false,a154W00000926S9QAI,,,,a1I4W00000HFa0NUAT,a1J4W00000CgFziUAF,,,,,,Contact Assigned - Nicholas Morgan (Default Attendee),Contact Assigned,469,,214,,601,,,,962,349,,,,,
a164W000007nLpyQAE,a0j4W00000E3JvuQAF,000001444,42,,0034W00002Dpog2QAB,2018-04-22,"<a href=""/a164W000007nLpy"" target=""_blank"">Contact Assigned - Nicholas Morgan (Default Attendee)</a>",,false,a154W00000926S7QAI,,,,a1I4W00000HFa0OUAT,a1J4W00000CgFziUAF,,,,,,Contact Assigned - Nicholas Morgan (Default Attendee),Contact Assigned,470,,214,,602,,,,963,349,,,,,
a164W000007nLpzQAE,a0j4W00000E3JvvQAF,000001445,43,,0034W00002Dpog2QAB,2018-04-22,"<a href=""/a164W000007nLpz"" target=""_blank"">Contact Assigned - Nicholas Morgan (Default Attendee)</a>",,false,a154W00000926S3QAI,,,,a1I4W00000HFa0PUAT,a1J4W00000CgFziUAF,,,,,,Contact Assigned - Nicholas Morgan (Default Attendee),Contact Assigned,471,,214,,603,,,,1089,349,,,,,
a164W000007nLq0QAE,a0j4W00000E3JvwQAF,000001446,44,,0034W00002Dpog2QAB,2018-04-22,"<a href=""/a164W000007nLq0"" target=""_blank"">Contact Assigned - Nicholas Morgan (Default Attendee)</a>",,false,a154W00000926SDQAY,,,,a1I4W00000HFa0QUAT,a1J4W00000CgFziUAF,,,,,,Contact Assigned - Nicholas Morgan (Default Attendee),Contact Assigned,472,,214,,639,,,,1090,349,,,,,
a164W000007nLq1QAE,a0j4W00000E3JvxQAF,000001447,45,,0034W00002Dpog2QAB,2018-04-22,"<a href=""/a164W000007nLq1"" target=""_blank"">Contact Assigned - Nicholas Morgan (Default Attendee)</a>",,false,a154W00000926SCQAY,,,,a1I4W00000HFa0RUAT,a1J4W00000CgFziUAF,,,,,,Contact Assigned - Nicholas Morgan (Default Attendee),Contact Assigned,473,,214,,640,,,,1091,349,,,,,
a164W000007nLq2QAE,a0j4W00000E3JvyQAF,000001448,46,,0034W00002DpodtQAB,2018-04-22,"<a href=""/a164W000007nLq2"" target=""_blank"">Contact Assigned - Don Tucker (Default Attendee)</a>",,false,a154W00000926SPQAY,,,,a1I4W00000HFa0SUAT,a1J4W00000CgFzjUAF,,,,,,Contact Assigned - Don Tucker (Default Attendee),Contact Assigned,474,,238,,420,,,,1092,350,,,,,
a164W000007nLuiQAE,a0j4W00000E3JwfQAF,000001762,47,,0034W00002Dpog8QAB,2018-04-22,"<a href=""/a164W000007nLui"" target=""_blank""> </a>",,false,a154W00000926SDQAY,,,,a1I4W00000HFa19UAD,a1J4W00000CgFzqUAF,,,,,,,Item Class Changed,551,,158,,639,,,,1385,97,,,,,
a164W000007nLujQAE,a0j4W00000E3JwgQAF,000001763,48,,0034W00002Dpog8QAB,2018-04-22,"<a href=""/a164W000007nLuj"" target=""_blank""> </a>",,false,a154W00000926SCQAY,,,,a1I4W00000HFa1AUAT,a1J4W00000CgFzqUAF,,,,,,,Item Class Changed,552,,158,,640,,,,1386,97,,,,,
a164W000007nLukQAE,a0j4W00000E3JwiQAF,000001764,49,,0034W00002DpogBQAR,2018-04-22,"<a href=""/a164W000007nLuk"" target=""_blank""> </a>",,false,a154W00000926SGQAY,,,,a1I4W00000HFa1CUAT,a1J4W00000CgFztUAF,,,,,,,Item Class Changed,554,,161,,417,,,,1512,100,,,,,
a164W000007nLulQAE,a0j4W00000E3JwnQAF,000001765,50,,0034W00002DpogBQAR,2018-04-22,"<a href=""/a164W000007nLul"" target=""_blank""> </a>",,false,a154W00000926RzQAI,,,,a1I4W00000HFa1HUAT,a1J4W00000CgFztUAF,,,,,,,Item Class Changed,559,,161,,560,,,,1517,100,,,,,
a164W000007nLumQAE,a0j4W00000E3JwoQAF,000001766,51,,0034W00002DpogBQAR,2018-04-22,"<a href=""/a164W000007nLum"" target=""_blank""> </a>",,false,a154W00000926S1QAI,,,,a1I4W00000HFa1IUAT,a1J4W00000CgFztUAF,,,,,,,Item Class Changed,560,,161,,597,,,,1518,100,,,,,
a164W000007nLunQAE,a0j4W00000E3JwpQAF,000001767,52,,0034W00002DpogBQAR,2018-04-22,"<a href=""/a164W000007nLun"" target=""_blank""> </a>",,false,a154W00000926SBQAY,,,,a1I4W00000HFa1JUAT,a1J4W00000CgFztUAF,,,,,,,Item Class Changed,561,,161,,598,,,,1519,100,,,,,
a164W000007nLuoQAE,a0j4W00000E3JwqQAF,000001768,53,,0034W00002DpogBQAR,2018-04-22,"<a href=""/a164W000007nLuo"" target=""_blank""> </a>",,false,a154W00000926S6QAI,,,,a1I4W00000HFa1KUAT,a1J4W00000CgFztUAF,,,,,,,Item Class Changed,581,,161,,600,,,,1520,100,,,,,
a164W000007nLupQAE,a0j4W00000E3JwrQAF,000001769,54,,0034W00002DpogBQAR,2018-04-22,"<a href=""/a164W000007nLup"" target=""_blank""> </a>",,false,a154W00000926S7QAI,,,,a1I4W00000HFa1LUAT,a1J4W00000CgFztUAF,,,,,,,Item Class Changed,582,,161,,602,,,,1521,100,,,,,
a164W000007nLuqQAE,a0j4W00000E3JwsQAF,000001770,55,,0034W00002DpogBQAR,2018-04-22,"<a href=""/a164W000007nLuq"" target=""_blank""> </a>",,false,a154W00000926SDQAY,,,,a1I4W00000HFa1MUAT,a1J4W00000CgFztUAF,,,,,,,Item Class Changed,583,,161,,639,,,,1522,100,,,,,
a164W000007nLurQAE,a0j4W00000E3JwyQAF,000001771,56,,0034W00002DpogCQAR,2018-04-22,"<a href=""/a164W000007nLur"" target=""_blank""> </a>",,false,a154W00000926RzQAI,,,,a1I4W00000HFa1SUAT,a1J4W00000CgFzuUAF,,,,,,,Item Class Changed,589,,162,,560,,,,1655,101,,,,,
a164W000007nLusQAE,a0j4W00000E3JwzQAF,000001772,57,,0034W00002DpogCQAR,2018-04-22,"<a href=""/a164W000007nLus"" target=""_blank""> </a>",,false,a154W00000926SBQAY,,,,a1I4W00000HFa1TUAT,a1J4W00000CgFzuUAF,,,,,,,Item Class Changed,590,,162,,598,,,,1656,101,,,,,
a164W000007nLutQAE,a0j4W00000E3Jx0QAF,000001773,58,,0034W00002DpogCQAR,2018-04-22,"<a href=""/a164W000007nLut"" target=""_blank""> </a>",,false,a154W00000926S8QAI,,,,a1I4W00000HFa1UUAT,a1J4W00000CgFzuUAF,,,,,,,Item Class Changed,591,,162,,599,,,,1657,101,,,,,
a164W000007nLuuQAE,a0j4W00000E3Jx1QAF,000001774,59,,0034W00002DpogCQAR,2018-04-22,"<a href=""/a164W000007nLuu"" target=""_blank""> </a>",,false,a154W00000926S9QAI,,,,a1I4W00000HFa1VUAT,a1J4W00000CgFzuUAF,,,,,,,Item Class Changed,592,,162,,601,,,,1658,101,,,,,
a164W000007nLuvQAE,a0j4W00000E3Jx2QAF,000001775,60,,0034W00002DpogCQAR,2018-04-22,"<a href=""/a164W000007nLuv"" target=""_blank""> </a>",,false,a154W00000926S7QAI,,,,a1I4W00000HFa1WUAT,a1J4W00000CgFzuUAF,,,,,,,Item Class Changed,593,,162,,602,,,,1659,101,,,,,
a164W000007nLuwQAE,a0j4W00000E3Jx6QAF,000001776,61,,0034W00002DpogDQAR,2018-04-22,"<a href=""/a164W000007nLuw"" target=""_blank""> </a>",,false,a154W00000926S8QAI,,,,a1I4W00000HFa1aUAD,a1J4W00000CgFzvUAF,,,,,,,Item Class Changed,597,,163,,599,,,,1663,191,,,,,
a164W000007nLuxQAE,a0j4W00000E3Jx7QAF,000001777,62,,0034W00002DpogDQAR,2018-04-22,"<a href=""/a164W000007nLux"" target=""_blank""> </a>",,false,a154W00000926S6QAI,,,,a1I4W00000HFa1bUAD,a1J4W00000CgFzvUAF,,,,,,,Item Class Changed,598,,163,,600,,,,1664,191,,,,,
