Id,Name,EventApi__City__c,EventApi__Country__c,EventApi__Description__c,EventApi__Display_Map__c,EventApi__Event_Category__c,EventApi__Event__c,EventApi__Image_URL__c,EventApi__Is_Primary_Venue__c,EventApi__Phone__c,EventApi__Postal_Code__c,EventApi__State__c,EventApi__Street__c,EventApi__Website__c,EventApi__HTML_Description__c,EventApi__Event_Location__Latitude__s,EventApi__Event_Location__Longitude__s,EventApi__Event_Location__c,EventApi__Event_Category__r.Id,EventApi__Event__r.Id
a1l4W000003Ok5lQAC,W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok5mQAC,Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok5nQAC,W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok5oQAC,Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok5pQAC,W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok5qQAC,Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok5rQAC,W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok5sQAC,Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok5tQAC,W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok5uQAC,Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok5vQAC,W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok5wQAC,Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok5xQAC,W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok5yQAC,Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok5zQAC,W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok60QAC,Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok61QAC,W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok62QAC,Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok63QAC,W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok64QAC,Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok65QAC,W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok66QAC,Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok67QAC,W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok68QAC,Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok69QAC,Putnam County Middle School,Eatonton,US,,true,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Lafayette_High_School_%28Lexington%2C_KY%29_in_August_2019.jpg,true,,31024,GA,140 Sparta Highway,,"<p>The auditorium is the area for the main event, but there is also a student garden filled with beehives. Honey will be available for sale in the cafeteria!</p>",33.3337044,-83.3689217,[object Object],,
a1l4W000003Ok6AQAS,Putnam County Middle School,Eatonton,US,,true,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Lafayette_High_School_%28Lexington%2C_KY%29_in_August_2019.jpg,true,,31024,GA,140 Sparta Highway,,"<p>The auditorium is the area for the main event, but there is also a student garden filled with beehives. Honey will be available for sale in the cafeteria!</p>",33.3337044,-83.3689217,[object Object],,
a1l4W000003Ok6BQAS,Putnam County Middle School,Eatonton,US,,true,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Lafayette_High_School_%28Lexington%2C_KY%29_in_August_2019.jpg,true,,31024,GA,140 Sparta Highway,,"<p>The auditorium is the area for the main event, but there is also a student garden filled with beehives. Honey will be available for sale in the cafeteria!</p>",33.3337044,-83.3689217,[object Object],,
a1l4W000003Ok6CQAS,W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok6DQAS,Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok6EQAS,W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok6FQAS,Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok6GQAS,Venue,,,,false,,,,true,,,,,,,,,,,
a1l4W000003Ok6HQAS,Venue,,,,false,,,,true,,,,,,,,,,,
a1l4W000003Ok6IQAS,Venue,,,,false,,,,true,,,,,,,,,,,
a1l4W000003Ok6JQAS,Putnam County Middle School,Eatonton,US,,true,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Lafayette_High_School_%28Lexington%2C_KY%29_in_August_2019.jpg,true,,31024,GA,140 Sparta Highway,,"<p>The auditorium is the area for the main event, but there is also a student garden filled with beehives. Honey will be available for sale in the cafeteria!</p>",33.3337044,-83.3689217,[object Object],,
a1l4W000003Ok6KQAS,W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok6LQAS,Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
a1l4W000003Ok6MQAS,W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,[object Object],,
a1l4W000003Ok6NQAS,Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,[object Object],,
