Id,EventApi__Event__c,EventApi__Event_Category__c,Name,External_Id__c,EventApi__Adjustment_Account__c,EventApi__Assignments_Display_Label__c,EventApi__Business_Group__c,EventApi__Cost__c,EventApi__Defer_Revenue__c,EventApi__Deferred_Revenue_Account__c,EventApi__Deferred_Revenue_Term__c,EventApi__Description__c,EventApi__Discount_Account__c,EventApi__Display_Name__c,EventApi__Display_Order__c,EventApi__Enable_Access_Permissions__c,EventApi__Enable_Assignments__c,EventApi__Flex_Day_of_the_Month__c,EventApi__Form__c,EventApi__Image_Path__c,EventApi__Image_URL__c,EventApi__Income_Account__c,EventApi__Interview_Form_Display_Label__c,EventApi__Is_Active__c,EventApi__Is_Contribution__c,EventApi__Is_Tax_Deductible__c,EventApi__Is_Taxable__c,EventApi__Item_Class__c,EventApi__Item__c,EventApi__Line_Description__c,EventApi__Maximum_Number_of_Assignments__c,EventApi__Price__c,EventApi__Quantity_Available__c,EventApi__Quantity_Remaining__c,EventApi__Quantity_Sold__c,EventApi__Refund_Account__c,EventApi__Require_Assignments__c,EventApi__Restrict_Number_of_Assignments__c,EventApi__Revenue_Recognition_Date__c,EventApi__Revenue_Recognition_Rule__c,EventApi__Revenue_Recognition_Term_Rule__c,EventApi__SKU__c,EventApi__Tax_Class__c,ROEApi__Event_Display_Name__c,ROEApi__Event_Duration_Text__c,ROEApi__Event_Name__c,EventApi__AR_Account__c,EventApi__Invoice_Payment_Priority__c,EventApi__Event__r.Id,EventApi__Event_Category__r.Id,EventApi__Adjustment_Account__r.Id,EventApi__Business_Group__r.Name,EventApi__Deferred_Revenue_Account__r.Id,EventApi__Discount_Account__r.Id,EventApi__Form__r.Id,EventApi__Income_Account__r.Id,EventApi__Item_Class__r.External_Id__c,EventApi__Item__r.External_Id__c,EventApi__Refund_Account__r.Id,EventApi__Tax_Class__r.External_Id__c,EventApi__AR_Account__r.Id
a1h4W00000jlZKYQA2,,,Gold Annual Symposium Sponsor Package,11,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI3QAO,a154W00000926XvQAI,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,5,0,,false,false,,,,,,Annual Symposium 2020,,,,,,,,FON-International Association,,,,,21,11,,,
a1h4W00000jlZKZQA2,,,Silver Annual Symposium Sponsor Package,12,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI3QAO,a154W00000926XwQAI,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,10,0,,false,false,,,,,,Annual Symposium 2020,,,,,,,,FON-International Association,,,,,21,12,,,
a1h4W00000jlZKaQAM,,,Bronze Annual Symposium Sponsor Package,13,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI5QAO,a154W00000926YAQAY,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,test1,,,,,,,,FON-International Association,,,,,24,13,,,
a1h4W00000jlZKbQAM,,,Gold Annual Symposium Sponsor Package,14,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI5QAO,a154W00000926YBQAY,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,test1,,,,,,,,FON-International Association,,,,,24,14,,,
a1h4W00000jlZKcQAM,,,Silver Annual Symposium Sponsor Package,15,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI5QAO,a154W00000926YCQAY,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,test1,,,,,,,,FON-International Association,,,,,24,15,,,
a1h4W00000jlZKdQAM,,,Bronze Annual Symposium Sponsor Package,16,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI7QAO,a154W00000926YMQAY,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,test2,,,,,,,,FON-International Association,,,,,27,16,,,
a1h4W00000jlZKeQAM,,,Gold Annual Symposium Sponsor Package,17,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI7QAO,a154W00000926YNQAY,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,5,0,,false,false,,,,,,test2,,,,,,,,FON-International Association,,,,,27,17,,,
a1h4W00000jlZKfQAM,,,Silver Annual Symposium Sponsor Package,18,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI7QAO,a154W00000926YOQAY,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,10,0,,false,false,,,,,,test2,,,,,,,,FON-International Association,,,,,27,18,,,
a1h4W00000jlZKgQAM,,,Bronze Annual Symposium Sponsor Package,19,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI9QAO,a154W00000926YaQAI,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,30,19,,,
a1h4W00000jlZKhQAM,,,Gold Annual Symposium Sponsor Package,20,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI9QAO,a154W00000926YbQAI,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,5,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,30,20,,,
a1h4W00000jlZKiQAM,,,Silver Annual Symposium Sponsor Package,21,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI9QAO,a154W00000926YcQAI,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,10,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,30,21,,,
a1h4W00000jlZKjQAM,,,Bronze Annual Symposium Sponsor Package,22,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI9QAO,a154W00000926YdQAI,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,30,22,,,
a1h4W00000jlZKkQAM,,,Gold Annual Symposium Sponsor Package,23,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI9QAO,a154W00000926YeQAI,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,5,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,30,23,,,
a1h4W00000jlZKlQAM,,,Silver Annual Symposium Sponsor Package,24,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZI9QAO,a154W00000926YfQAI,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,10,0,,false,false,,,,,,Clonetest,,,,,,,,FON-International Association,,,,,30,24,,,
a1h4W00000jlZKmQAM,,,Bronze Annual Symposium Sponsor Package,25,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIBQA4,a154W00000926YrQAI,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,TEST2,,,,,,,,FON-International Association,,,,,33,25,,,
a1h4W00000jlZKnQAM,,,Gold Annual Symposium Sponsor Package,26,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIBQA4,a154W00000926YsQAI,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,5,0,,false,false,,,,,,TEST2,,,,,,,,FON-International Association,,,,,33,26,,,
a1h4W00000jlZKoQAM,,,Silver Annual Symposium Sponsor Package,27,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIBQA4,a154W00000926YtQAI,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,10,0,,false,false,,,,,,TEST2,,,,,,,,FON-International Association,,,,,33,27,,,
a1h4W00000jlZKpQAM,,,Bronze Annual Symposium Sponsor Package,28,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIDQA4,a154W00000926Z5QAI,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,36,28,,,
a1h4W00000jlZKqQAM,,,Gold Annual Symposium Sponsor Package,29,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIDQA4,a154W00000926Z6QAI,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,36,29,,,
a1h4W00000jlZKrQAM,,,Silver Annual Symposium Sponsor Package,30,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIDQA4,a154W00000926Z7QAI,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,36,30,,,
a1h4W00000jlZKsQAM,,,Bronze Annual Symposium Sponsor Package,31,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIDQA4,a154W00000926Z8QAI,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,36,31,,,
a1h4W00000jlZKtQAM,,,Gold Annual Symposium Sponsor Package,32,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIDQA4,a154W00000926Z9QAI,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,36,402,,,
a1h4W00000jlZKuQAM,,,Silver Annual Symposium Sponsor Package,33,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIDQA4,a154W00000926ZAQAY,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,Clone3,,,,,,,,FON-International Association,,,,,36,403,,,
a1h4W00000jlZKvQAM,,,Bronze Annual Symposium Sponsor Package,34,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIFQA4,a154W00000926ZMQAY,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,TEST with Vishal,,,,,,,,FON-International Association,,,,,39,454,,,
a1h4W00000jlZKwQAM,,,Gold Annual Symposium Sponsor Package,35,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIFQA4,a154W00000926ZNQAY,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,TEST with Vishal,,,,,,,,FON-International Association,,,,,39,455,,,
a1h4W00000jlZKxQAM,,,Silver Annual Symposium Sponsor Package,36,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIFQA4,a154W00000926ZOQAY,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,TEST with Vishal,,,,,,,,FON-International Association,,,,,39,456,,,
a1h4W00000jlZKyQAM,,,Bronze Annual Symposium Sponsor Package,37,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIHQA4,a154W00000926ZaQAI,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,Test 2,,,,,,,,FON-International Association,,,,,42,543,,,
a1h4W00000jlZKzQAM,,,Gold Annual Symposium Sponsor Package,38,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIHQA4,a154W00000926ZbQAI,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,Test 2,,,,,,,,FON-International Association,,,,,42,544,,,
a1h4W00000jlZL0QAM,,,Silver Annual Symposium Sponsor Package,39,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIHQA4,a154W00000926ZcQAI,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,Test 2,,,,,,,,FON-International Association,,,,,42,545,,,
a1h4W00000jlZL1QAM,,,Bronze Annual Symposium Sponsor Package,40,,,a0o4W00000M5SknQAF,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIJQA4,a154W00000926ZoQAI,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,25,0,,false,false,,,,,,TEST with Vishal 2,,,,,,,,FON-International Association,,,,,45,592,,,
a1h4W00000jlZL2QAM,,,Gold Annual Symposium Sponsor Package,41,,,a0o4W00000M5SknQAF,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIJQA4,a154W00000926ZpQAI,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,5,0,,false,false,,,,,,TEST with Vishal 2,,,,,,,,FON-International Association,,,,,45,593,,,
a1h4W00000jlZL3QAM,,,Silver Annual Symposium Sponsor Package,42,,,a0o4W00000M5SknQAF,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a134W000009DZIJQA4,a154W00000926ZqQAI,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,10,0,,false,false,,,,,,TEST with Vishal 2,,,,,,,,FON-International Association,,,,,45,594,,,
