Id,Name,PagesApi__Auth_Required__c,PagesApi__Enable_SEF_URLs__c,PagesApi__Form__c,PagesApi__Is_Published__c,PagesApi__Is_Standard__c,PagesApi__Menu__c,PagesApi__No_Archive__c,PagesApi__No_Follow__c,PagesApi__No_Index__c,PagesApi__Page_ID__c,PagesApi__Page_URL__c,PagesApi__SEF_Slug__c,PagesApi__Site_Template_Key__c,PagesApi__Site__c,PagesApi__Theme__c,PagesApi__Title_Tag__c,PagesApi__Visualforce_Page__c,PagesApi__Visualforce_Template__c,OrderApi__Enable_Access_Permissions__c,PagesApi__Form__r.Id,PagesApi__Menu__r.Id,PagesApi__Site__r.Id,PagesApi__Theme__r.Id
a0Z4W00000P9DXqUAN,FON - LIGHTNING COMMUNITY SITE: GROUPS,false,false,,true,true,,false,false,false,45,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/LightningMemberPortal/s/CPBase__groups?page=a0Z4W00000P9DXqUAN&site=a0d4W00000SFTXMQA5,,CPBASE,a0d4W00000SFTXMQA5,,Groups,CPBase__groups,,false,,,a0d4W00000SFTXMQA5,
a0Z4W00000P9DXrUAN,FON - LIGHTNING COMMUNITY SITE: EVENTS,false,false,,true,true,,false,false,false,46,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/LightningMemberPortal/s/CPBase__events?page=a0Z4W00000P9DXrUAN&site=a0d4W00000SFTXMQA5,,CPBASE,a0d4W00000SFTXMQA5,,Events,CPBase__events,,false,,,a0d4W00000SFTXMQA5,
a0Z4W00000P9DXOUA3,APPTTUS STOREFRONT: STORE,false,false,,true,true,,false,false,false,13,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__store?page=a0Z4W00000P9DXOUA3&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Store,CPBase__store,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXPUA3,APPTTUS STOREFRONT: PROFILE,true,false,,true,true,,false,false,false,14,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__profile?page=a0Z4W00000P9DXPUA3&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Profile,CPBase__profile,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXQUA3,APPTTUS STOREFRONT: GROUPS,false,false,,true,true,,false,false,false,15,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__groups?page=a0Z4W00000P9DXQUA3&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Groups,CPBase__groups,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXRUA3,APPTTUS STOREFRONT: EVENTS,false,false,,true,true,,false,false,false,16,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__events?page=a0Z4W00000P9DXRUA3&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Events,CPBase__events,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXSUA3,INTERNATIONAL ASSOCIATION: STORE,false,false,,true,true,,false,false,false,17,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__store?page=a0Z4W00000P9DXSUA3&site=a0d4W00000SFTXKQA5,,CPBASE,a0d4W00000SFTXKQA5,,Store,CPBase__store,,false,,,a0d4W00000SFTXKQA5,
a0Z4W00000P9DXTUA3,INTERNATIONAL ASSOCIATION: PROFILE,true,false,,true,true,a0W4W0000184KDWUA2,false,false,false,18,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__profile?page=a0Z4W00000P9DXTUA3&site=a0d4W00000SFTXKQA5,,CPBASE,a0d4W00000SFTXKQA5,,Profile,CPBase__profile,,false,,a0W4W0000184KDWUA2,a0d4W00000SFTXKQA5,
a0Z4W00000P9DXUUA3,INTERNATIONAL ASSOCIATION: GROUPS,false,false,,true,true,,false,false,false,19,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__groups?page=a0Z4W00000P9DXUUA3&site=a0d4W00000SFTXKQA5,,CPBASE,a0d4W00000SFTXKQA5,,Groups,CPBase__groups,,false,,,a0d4W00000SFTXKQA5,
a0Z4W00000P9DXVUA3,INTERNATIONAL ASSOCIATION: EVENTS,false,false,,true,true,,false,false,false,20,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__events?page=a0Z4W00000P9DXVUA3&site=a0d4W00000SFTXKQA5,,CPBASE,a0d4W00000SFTXKQA5,,Events,CPBase__events,,false,,,a0d4W00000SFTXKQA5,
a0Z4W00000P9DXWUA3,APPTTUS STOREFRONT: STORE,false,false,,true,true,,false,false,false,25,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__store?page=a0Z4W00000P9DXWUA3&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Store,CPBase__store,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXXUA3,APPTTUS STOREFRONT: PROFILE,true,false,,true,true,,false,false,false,26,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__profile?page=a0Z4W00000P9DXXUA3&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Profile,CPBase__profile,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXYUA3,APPTTUS STOREFRONT: GROUPS,false,false,,true,true,,false,false,false,27,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__groups?page=a0Z4W00000P9DXYUA3&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Groups,CPBase__groups,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXZUA3,APPTTUS STOREFRONT: EVENTS,false,false,,true,true,,false,false,false,28,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__events?page=a0Z4W00000P9DXZUA3&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Events,CPBase__events,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXaUAN,APPTTUS STOREFRONT: STORE,false,false,,true,true,,false,false,false,29,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__store?page=a0Z4W00000P9DXaUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Store,CPBase__store,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXbUAN,APPTTUS STOREFRONT: PROFILE,true,false,,true,true,,false,false,false,30,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__profile?page=a0Z4W00000P9DXbUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Profile,CPBase__profile,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXcUAN,APPTTUS STOREFRONT: GROUPS,false,false,,true,true,,false,false,false,31,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__groups?page=a0Z4W00000P9DXcUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Groups,CPBase__groups,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXdUAN,APPTTUS STOREFRONT: EVENTS,false,false,,true,true,,false,false,false,32,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__events?page=a0Z4W00000P9DXdUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Events,CPBase__events,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXeUAN,APPTTUS STOREFRONT: STORE,false,false,,true,true,,false,false,false,33,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__store?page=a0Z4W00000P9DXeUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Store,CPBase__store,,false,,,a0d4W00000SFTXLQA5,
a0Z4W00000P9DXfUAN,APPTTUS STOREFRONT: PROFILE,true,false,,true,true,,false,false,false,34,https://us-tdm-tso-15eb63ff4c6-1626e-174da0a81d0.force.com/CPBase__profile?page=a0Z4W00000P9DXfUAN&site=a0d4W00000SFTXLQA5,,CPBASE,a0d4W00000SFTXLQA5,,Profile,CPBase__profile,,false,,,a0d4W00000SFTXLQA5,
