Name,LTE__Default_List_View__c,LTE__Display_Order__c,LTE__Enable_Access_Permissions__c,LTE__Is_Profile_Menu_Item__c,LTE__Object_Type__c,LTE__Open_Link_in_New_Tab__c,LTE__Open_Link_in_Same_Tab__c,LTE__Profile_Menu_Item_Component__c,LTE__Publicly_Available__c,LTE__Site__c,LTE__Type__c,LTE__URL__c,Errors,Id
Subscriptions,,3,false,true,,false,false,LTE:Subscriptions,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/subscriptions,,a28R0000003cXORIA2
Payment Methods,,4,false,true,,false,false,LTE:PaymentMethods,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/payment_methods,,a28R0000003cXOSIA2
Orders,,5,false,true,,false,false,LTE:Invoices,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/invoices,,a28R0000003cXOTIA2
Individual Memberships,,0,false,false,,true,false,,true,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/joinapi__membershiplist?id=a206A000000R93aQAC&order=1&site=a0d6A000003GA6tQAG,,a28R0000003cXOUIA2
Company Memberships,,0,false,false,,true,false,,true,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/joinapi__membershiplist?id=a206A000000RAGiQAO&order=1,,a28R0000003cXOVIA2
"Individual Membership(National, State & Local)",,0,false,false,,true,false,,true,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/joinapi__membershiplist?id=a206A000000ZepCQAS&order=1,,a28R0000003cXOWIA2
Manage your Certifications,,6,false,false,,true,false,,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/ProgramApi__Programs?programtype=PT-00002,,a28R0000003cXOXIA2
Self Report Credits,,7,false,false,,true,false,,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S6A000002HeN3,,a28R0000003cXOYIA2
Apply/Maintain Certifications Today!,,8,false,false,,false,false,,true,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/store#/store/browse/cat/a0s6A000001CwDSQA0/tiles,,a28R0000003cXOZIA2
Manage your Accreditations!,,10,false,false,,true,false,,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/ProgramApi__Programs?programtype=PT-00003,,a28R0000003cXOaIAM
Update Company Information,,11,true,false,,true,false,,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S6A000001F2YtUAK,,a28R0000003cXObIAM
Donate Today!,,9,false,false,,true,false,,true,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/OrderApi__campaign?id=a0q6A000001cUNbQAM,,a28R0000003cXOcIAM
Individual Member Directory,,10,false,false,,false,false,,true,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/searchdirectory?id=a2n6A000000pgoD,,a28R0000003cXOdIAM
Organizational Member Directory,,11,false,false,,false,false,,true,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/searchdirectory?id=a2n6A000000VvXp,,a28R0000003cXOeIAM
Update Company Contacts,,5,true,false,,true,false,,false,a2AR0000003Rz68MAC,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S6A000001Ftr3,,a28R0000003cXOfIAM
