Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,joinapi__Button_Label__c,joinapi__Description__c,joinapi__Display_Name__c,joinapi__Is_Default_Item__c,joinapi__Is_Marketing_Item_Group__c,joinapi__Is_Marketing_Item__c,joinapi__Is_Published__c,joinapi__Item_Badge_Types_Filter__c,joinapi__Item_Criteria__c,joinapi__Item_Group_Header__c,joinapi__Item_Group__c,joinapi__Item__c,joinapi__Next_Step__c,joinapi__Order__c,joinapi__Step__c,joinapi__Item_Group__r.External_Id__c,joinapi__Item__r.External_Id__c,joinapi__Next_Step__r.External_Id__c,joinapi__Step__r.External_Id__c
a1z4W00000A9vl1QAB,false,000041,11,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Staff' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Staff</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Staff""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6swQAB,,546,,16
a1z4W00000A9vl2QAB,false,000042,12,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Admin' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Admin</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Admin""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6swQAB,,546,,16
a1z4W00000A9vl3QAB,false,000043,13,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Professor' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Professor</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Professor""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6swQAB,,546,,16
a1z4W00000A9vl4QAB,false,000044,14,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Role__c = 'Student' "",""displayClause"":""Role (Role__c) <em>Equals</em> <strong>Student</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Role__c"",""filterOperator"":""="",""filterValue"":""Student""}]}",,,a154W000008mjpSQAQ,,,a204W00000Ex6t0QAB,,514,,20
a1z4W00000A9vl5QAB,false,000048,15,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '50' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>50</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""50""}]}",,,a154W000008mjpiQAA,,,a204W00000Ex6t0QAB,,31,,20
a1z4W00000A9vl6QAB,false,000049,16,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '100' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>100</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""100""}]}",,,a154W000008mjqrQAA,,,a204W00000Ex6t0QAB,,32,,20
a1z4W00000A9vl7QAB,false,000050,17,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '200' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>200</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""200""}]}",,,a154W000008mju2QAA,,,a204W00000Ex6t0QAB,,33,,20
a1z4W00000A9vl8QAB,false,000051,18,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '500' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>500</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""500""}]}",,,a154W000008mjqlQAA,,,a204W00000Ex6t0QAB,,34,,20
a1z4W00000A9vl9QAB,false,000052,19,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '1000' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>1000</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""1000""}]}",,,a154W000008mjqtQAA,,,a204W00000Ex6t0QAB,,39,,20
a1z4W00000A9vlAQAR,false,000053,20,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '50' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>50</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""50""}]}",,,a154W000008mjpiQAA,,,a204W00000Ex6swQAB,,31,,16
a1z4W00000A9vlBQAR,false,000054,21,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '100' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>100</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""100""}]}",,,a154W000008mjqrQAA,,,a204W00000Ex6swQAB,,32,,16
a1z4W00000A9vlCQAR,false,000055,22,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Save the Whales'  AND  Save_the_Whales_Donation_Levels__c = '200' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Save the Whales</strong> <br/>AND Save the Whales Donation Levels (Save_the_Whales_Donation_Levels__c) <em>Equals</em> <strong>200</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Save the Whales""},{""filterObject"":""Contact"",""filterField"":""Save_the_Whales_Donation_Levels__c"",""filterOperator"":""="",""filterValue"":""200""}]}",,,a154W000008mju2QAA,,,a204W00000Ex6swQAB,,33,,16
a1z4W00000A9vlDQAR,false,000056,23,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '500' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>500</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""500""}]}",,,a154W000008mjqlQAA,,,a204W00000Ex6swQAB,,34,,16
a1z4W00000A9vlEQAR,false,000057,24,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '1000' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>1000</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""1000""}]}",,,a154W000008mjqtQAA,,,a204W00000Ex6swQAB,,39,,16
a1z4W00000A9vlFQAR,false,000058,25,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Membership_Types__c = 'FON_Associate Membership' "",""displayClause"":""Membership Types (Membership_Types__c) <em>Equals</em> <strong>FON_Associate Membership</strong>"",""criteriaClause"":[{""filterObject"":""Account"",""filterField"":""Membership_Types__c"",""filterOperator"":""="",""filterValue"":""FON_Associate Membership""}]}",,,a154W000008mjp9QAA,,,a204W00000Ex6t5QAB,,545,,25
a1z4W00000A9vlGQAR,false,000059,26,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Membership_Types__c = 'FON_Company Membership' "",""displayClause"":""Membership Types (Membership_Types__c) <em>Equals</em> <strong>FON_Company Membership</strong>"",""criteriaClause"":[{""filterObject"":""Account"",""filterField"":""Membership_Types__c"",""filterOperator"":""="",""filterValue"":""FON_Company Membership""}]}",,,a154W000008mjplQAA,,,a204W00000Ex6t5QAB,,219,,25
a1z4W00000A9vlJQAR,false,000060,27,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,true,false,false,,,National Memberships,,,,0,,,,,
a1z4W00000A9vlKQAR,false,000062,28,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,true,false,false,,,National Membership,,,,0,,,,,
a1z4W00000A9vlHQAR,false,000064,29,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Donation_Programs__c = 'Askland Memorial Scholarship'  AND  AsklandMemorialScholarshipDonationLevels__c = '1500' "",""displayClause"":""Donation Programs (Donation_Programs__c) <em>Equals</em> <strong>Askland Memorial Scholarship</strong> <br/>AND AsklandMemorialScholarshipDonationLevels (AsklandMemorialScholarshipDonationLevels__c) <em>Equals</em> <strong>1500</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Donation_Programs__c"",""filterOperator"":""="",""filterValue"":""Askland Memorial Scholarship""},{""filterObject"":""Contact"",""filterField"":""AsklandMemorialScholarshipDonationLevels__c"",""filterOperator"":""="",""filterValue"":""1500""}]}",,,a154W000008mjqvQAA,,,a204W00000Ex6swQAB,,293,,16
a1z4W00000A9vkmQAB,false,000021,30,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Associate Membership,false,false,true,true,,,,,a154W000008mjp9QAA,a204W00000Ex6spQAB,,a204W00000Ex6tFQAR,,545,8,11
a1z4W00000A9vknQAB,false,000022,31,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Professional Membership,false,false,true,true,,,,,a154W000008mjpLQAQ,a204W00000Ex6sqQAB,,a204W00000Ex6tFQAR,,546,9,11
a1z4W00000A9vkoQAB,false,000023,32,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,Select,"Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.",Student Membership,false,false,true,true,,,,,a154W000008mjpSQAQ,a204W00000Ex6srQAB,,a204W00000Ex6tFQAR,,514,10,11
a1z4W00000A9vlIQAR,false,000024,33,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,true,false,false,,,Membership Types,,,,0,,,,,
a1z4W00000A9vkpQAB,false,000025,34,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,Select,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Student Membership,false,false,true,true,,,Student Membership,a1z4W00000A9vlIQAR,a154W000008mjpSQAQ,,0,,33,514,,
a1z4W00000A9vkqQAB,false,000026,35,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,true,false,false,,,Memberships,,,,0,a204W00000Ex6ssQAB,,,,12
a1z4W00000A9vkrQAB,false,000027,36,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,Next,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Student Membership,false,false,true,true,,,Student Membership,a1z4W00000A9vkqQAB,a154W000008mjpSQAQ,a204W00000Ex6suQAB,0,a204W00000Ex6ssQAB,35,514,14,12
a1z4W00000A9vksQAB,false,000028,37,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Department = 'Student' "",""displayClause"":""Department (Department) <em>Equals</em> <strong>Student</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""="",""filterValue"":""Student""}]}",,,a154W000008mjpSQAQ,,,a204W00000Ex6stQAB,,514,,13
a1z4W00000A9vktQAB,false,000029,38,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Department LIKE '%Staff%' "",""displayClause"":""Department (Department) <em>Contains</em> <strong>'Staff'</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""LIKE"",""filterValue"":""Staff""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6stQAB,,546,,13
a1z4W00000A9vkuQAB,false,000031,39,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Department = 'Professor' "",""displayClause"":""Department (Department) <em>Equals</em> <strong>Professor</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""="",""filterValue"":""Professor""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6stQAB,,546,,13
a1z4W00000A9vkvQAB,false,000030,40,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,,,,false,false,false,false,,"{""whereClause"":"" Department = 'Admin' "",""displayClause"":""Department (Department) <em>Equals</em> <strong>Admin</strong>"",""criteriaClause"":[{""filterObject"":""Contact"",""filterField"":""Department"",""filterOperator"":""="",""filterValue"":""Admin""}]}",,,a154W000008mjpLQAQ,,,a204W00000Ex6stQAB,,546,,13
a1z4W00000A9vkwQAB,false,000036,41,2020-08-28T02:16:22.000+0000,2020-09-25T09:36:11.000+0000,2020-09-25T09:36:11.000+0000,Next,"<p>Affiliation with a professional association is a boon to your resume. We know from over a decade of recent experience that employers and clients prefer to hire and retain candidates who demonstrate a tangible commitment to their personal development, who are involved in community activities and who advance their career through education. Members tell us that they prefer to work with employers and clients who value their professionalism ? they get the chance to do a better job, often at better rates. That rate increase alone more than pays the membership fee.  For over a decade we have built a reputation for promoting professionalism in the networking industry. When you join, you buy a piece of that reputation and the opportunity to enhance it by getting involved. It is expected that, as a member, you will make efforts to enhance that reputation further, so that your Association is seen over time to contain the best people there are in Networking.</p>",Professional Membership,false,false,true,true,,,Professional Membership,a1z4W00000A9vkqQAB,a154W000008mjpLQAQ,a204W00000Ex6syQAB,0,a204W00000Ex6ssQAB,35,546,18,12
