Name,PagesApi__Auth_Required__c,PagesApi__Enable_SEF_URLs__c,PagesApi__Form__c,PagesApi__Is_Published__c,PagesApi__Is_Standard__c,PagesApi__Menu__c,PagesApi__No_Archive__c,PagesApi__No_Follow__c,PagesApi__No_Index__c,PagesApi__Page_URL__c,PagesApi__SEF_Slug__c,PagesApi__Site__c,PagesApi__Theme__c,PagesApi__Title_Tag__c,PagesApi__Visualforce_Page__c,PagesApi__Visualforce_Template__c,OrderApi__Enable_Access_Permissions__c,Errors,Id
APPTTUS STOREFRONT: STORE,false,false,,true,true,,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__store?page=a0Z6A000002kOUoUAM&site=a0d6A000001RhaOQAS,,a0fR0000005aGKtIAM,,Store,CPBase__store,,false,,a0bR000000BhovTIAR
APPTTUS STOREFRONT: PROFILE,true,false,,true,true,,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__profile?page=a0Z6A000002kOUpUAM&site=a0d6A000001RhaOQAS,,a0fR0000005aGKtIAM,,Profile,CPBase__profile,,false,,a0bR000000BhovUIAR
APPTTUS STOREFRONT: GROUPS,false,false,,true,true,,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__groups?page=a0Z6A000002kOUqUAM&site=a0d6A000001RhaOQAS,,a0fR0000005aGKtIAM,,Groups,CPBase__groups,,false,,a0bR000000BhovVIAR
APPTTUS STOREFRONT: EVENTS,false,false,,true,true,,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__events?page=a0Z6A000002kOUrUAM&site=a0d6A000001RhaOQAS,,a0fR0000005aGKtIAM,,Events,CPBase__events,,false,,a0bR000000BhovWIAR
APPTTUS STOREFRONT: STORE,false,false,,true,true,,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__store?page=a0Z6A000002kOUyUAM&site=a0d6A000001RhaOQAS,,a0fR0000005aGKtIAM,,Store,CPBase__store,,false,,a0bR000000BhovXIAR
APPTTUS STOREFRONT: PROFILE,true,false,,true,true,a0YR0000005u7liMAA,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__profile?page=a0Z6A000002kOUzUAM&site=a0d6A000001RhaOQAS,,a0fR0000005aGKtIAM,,Profile,CPBase__profile,,false,,a0bR000000BhovYIAR
APPTTUS STOREFRONT: GROUPS,false,false,,true,true,,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__groups?page=a0Z6A000002kOV0UAM&site=a0d6A000001RhaOQAS,,a0fR0000005aGKtIAM,,Groups,CPBase__groups,,false,,a0bR000000BhovZIAR
APPTTUS STOREFRONT: EVENTS,false,false,,true,true,,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__events?page=a0Z6A000002kOV1UAM&site=a0d6A000001RhaOQAS,,a0fR0000005aGKtIAM,,Events,CPBase__events,,false,,a0bR000000BhovaIAB
FON - Company Update,true,false,,true,false,a0YR0000005u7lfMAA,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?id=a0S6A000001F2YtUAK&page=a0Z6A00000481lfUAA&site=a0d6A000001RhaTQAS,,a0fR0000005aGKuIAM,,,cpbase__form?id=a0S6A000001F2YtUAK,,true,,a0bR000000BhovbIAB
FON - Organization Contact Management,true,false,,true,false,a0YR0000005u7lfMAA,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S6A000001Ftr3&page=a0Z6A00000481lkUAA&site=a0d6A000001RhaTQAS,,a0fR0000005aGKuIAM,,,cpbase__form?ID=a0S6A000001Ftr3,,true,,a0bR000000BhovcIAB
FON - LIGHTNING COMMUNITY SITE: STORE,false,false,,true,true,,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/CPBase__store?page=a0Z6A00000530DLUAY&site=a0d6A000003GA6tQAG,,a0fR0000005aGKvIAM,,Store,CPBase__store,,false,,a0bR000000BhovdIAB
FON - LIGHTNING COMMUNITY SITE: PROFILE,true,false,,true,true,a0YR0000005u7lkMAA,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/CPBase__profile?page=a0Z6A00000530DMUAY&site=a0d6A000003GA6tQAG,,a0fR0000005aGKvIAM,,Profile,CPBase__profile,,false,,a0bR000000BhoveIAB
FON - LIGHTNING COMMUNITY SITE: GROUPS,false,false,,true,true,,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/CPBase__groups?page=a0Z6A00000530DNUAY&site=a0d6A000003GA6tQAG,,a0fR0000005aGKvIAM,,Groups,CPBase__groups,,false,,a0bR000000BhovfIAB
FON - LIGHTNING COMMUNITY SITE: EVENTS,false,false,,true,true,,false,false,false,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/CPBase__events?page=a0Z6A00000530DOUAY&site=a0d6A000003GA6tQAG,,a0fR0000005aGKvIAM,,Events,CPBase__events,,false,,a0bR000000BhovgIAB
