Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,LastActivityDate,LTE__Default_List_View__c,LTE__Display_Order__c,LTE__Enable_Access_Permissions__c,LTE__Is_Profile_Menu_Item__c,LTE__Object_Type__c,LTE__Open_Link_in_New_Tab__c,LTE__Open_Link_in_Same_Tab__c,LTE__Parent_Menu_Item__c,LTE__Profile_Menu_Item_Component__c,LTE__Publicly_Available__c,LTE__Site__c,LTE__Type__c,LTE__URL__c,LTE__Parent_Menu_Item__r.Id,LTE__Site__r.Id
a2L4W00000BUCSQUA5,false,Subscriptions,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,3,false,true,,false,false,,LTE:Subscriptions,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/subscriptions,,a2N4W0000060hCFUAY
a2L4W00000BUCSRUA5,false,Payment Methods,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,4,false,true,,false,false,,LTE:PaymentMethods,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/payment_methods,,a2N4W0000060hCFUAY
a2L4W00000BUCSSUA5,false,Orders,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,5,false,true,,false,false,,LTE:Invoices,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s#/profile/invoices,,a2N4W0000060hCFUAY
a2L4W00000BUCSVUA5,false,Individual Memberships,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,0,false,false,,true,false,a2L4W00000BUCSUUA5,,true,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/joinapi__membershiplist?id=a206A000000R93aQAC&order=1&site=a0d6A000003GA6tQAG,a2L4W00000BUCSUUA5,a2N4W0000060hCFUAY
a2L4W00000BUCSWUA5,false,Company Memberships,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,0,false,false,,true,false,a2L4W00000BUCSUUA5,,true,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/joinapi__membershiplist?id=a206A000000RAGiQAO&order=1,a2L4W00000BUCSUUA5,a2N4W0000060hCFUAY
a2L4W00000BUCSXUA5,false,"Individual Membership(National, State & Local)",2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,0,false,false,,true,false,a2L4W00000BUCSUUA5,,true,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/joinapi__membershiplist?id=a206A000000ZepCQAS&order=1,a2L4W00000BUCSUUA5,a2N4W0000060hCFUAY
a2L4W00000BUCSYUA5,false,Manage your Certifications,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,6,false,false,,true,false,,,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/ProgramApi__Programs?programtype=PT-00002,,a2N4W0000060hCFUAY
a2L4W00000BUCSZUA5,false,Self Report Credits,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,7,false,false,,true,false,,,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S6A000002HeN3,,a2N4W0000060hCFUAY
a2L4W00000BUCSaUAP,false,Apply/Maintain Certifications Today!,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,8,false,false,,false,false,,,true,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/store#/store/browse/cat/a0s6A000001CwDSQA0/tiles,,a2N4W0000060hCFUAY
a2L4W00000BUCSbUAP,false,Manage your Accreditations!,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,10,false,false,,true,false,,,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/ProgramApi__Programs?programtype=PT-00003,,a2N4W0000060hCFUAY
a2L4W00000BUCSKUA5,false,Update Company Information,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,11,true,false,,true,false,,,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S6A000001F2YtUAK,,a2N4W0000060hCFUAY
a2L4W00000BUCScUAP,false,Donate Today!,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,9,false,false,,true,false,,,true,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/OrderApi__campaign?id=a0q6A000001cUNbQAM,,a2N4W0000060hCFUAY
a2L4W00000BUCSdUAP,false,Individual Member Directory,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,10,false,false,,false,false,,,true,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/searchdirectory?id=a2n6A000000pgoD,,a2N4W0000060hCFUAY
a2L4W00000BUCSeUAP,false,Organizational Member Directory,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,11,false,false,,false,false,,,true,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/searchdirectory?id=a2n6A000000VvXp,,a2N4W0000060hCFUAY
a2L4W00000BUCSJUA5,false,Update Company Contacts,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,,5,true,false,,true,false,,,false,a2N4W0000060hCFUAY,External URL,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S6A000001Ftr3,,a2N4W0000060hCFUAY
