Name,EventApi__Adjustment_Account__c,EventApi__Assignments_Display_Label__c,EventApi__Business_Group__c,EventApi__Cost__c,EventApi__Defer_Revenue__c,EventApi__Deferred_Revenue_Account__c,EventApi__Deferred_Revenue_Term__c,EventApi__Description__c,EventApi__Discount_Account__c,EventApi__Display_Name__c,EventApi__Display_Order__c,EventApi__Enable_Access_Permissions__c,EventApi__Enable_Assignments__c,EventApi__Event_Category__c,EventApi__Event__c,EventApi__Flex_Day_of_the_Month__c,EventApi__Form__c,EventApi__Image_Path__c,EventApi__Image_URL__c,EventApi__Income_Account__c,EventApi__Interview_Form_Display_Label__c,EventApi__Is_Active__c,EventApi__Is_Contribution__c,EventApi__Is_Tax_Deductible__c,EventApi__Is_Taxable__c,EventApi__Item_Class__c,EventApi__Line_Description__c,EventApi__Maximum_Number_of_Assignments__c,EventApi__Price__c,EventApi__Quantity_Available__c,EventApi__Quantity_Sold__c,EventApi__Refund_Account__c,EventApi__Require_Assignments__c,EventApi__Restrict_Number_of_Assignments__c,EventApi__Revenue_Recognition_Date__c,EventApi__Revenue_Recognition_Rule__c,EventApi__Revenue_Recognition_Term_Rule__c,EventApi__SKU__c,EventApi__Tax_Class__c,ROEApi__Event_Display_Name__c,EventApi__AR_Account__c,EventApi__Invoice_Payment_Priority__c,Errors,Id
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaF5IAK,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,0,,false,false,,,,,,test1,,,,a1yR0000002JmkZIAS
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFHIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,Clone3,,,,a1yR0000002JmkaIAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaF8IAK,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,test2,,,,a1yR0000002JmkbIAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaF8IAK,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,0,,false,false,,,,,,test2,,,,a1yR0000002JmkcIAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaF8IAK,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,0,,false,false,,,,,,test2,,,,a1yR0000002JmkdIAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFBIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,Clonetest,,,,a1yR0000002JmkeIAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFBIA0,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,0,,false,false,,,,,,Clonetest,,,,a1yR0000002JmkfIAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFBIA0,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,0,,false,false,,,,,,Clonetest,,,,a1yR0000002JmkgIAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFBIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,Clonetest,,,,a1yR0000002JmkhIAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFBIA0,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,0,,false,false,,,,,,Clonetest,,,,a1yR0000002JmkiIAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFBIA0,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,0,,false,false,,,,,,Clonetest,,,,a1yR0000002JmkjIAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFEIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,TEST2,,,,a1yR0000002JmkkIAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFEIA0,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,0,,false,false,,,,,,TEST2,,,,a1yR0000002JmklIAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFEIA0,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,0,,false,false,,,,,,TEST2,,,,a1yR0000002JmkmIAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFHIA0,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,0,,false,false,,,,,,Clone3,,,,a1yR0000002JmknIAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFHIA0,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,0,,false,false,,,,,,Clone3,,,,a1yR0000002JmkoIAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFHIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,Clone3,,,,a1yR0000002JmkpIAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFHIA0,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,0,,false,false,,,,,,Clone3,,,,a1yR0000002JmkqIAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFHIA0,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,0,,false,false,,,,,,Clone3,,,,a1yR0000002JmkrIAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFKIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,TEST with Vishal,,,,a1yR0000002JmksIAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFKIA0,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,0,,false,false,,,,,,TEST with Vishal,,,,a1yR0000002JmktIAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFKIA0,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,0,,false,false,,,,,,TEST with Vishal,,,,a1yR0000002JmkuIAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFNIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,Test 2,,,,a1yR0000002JmkvIAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFNIA0,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,0,,false,false,,,,,,Test 2,,,,a1yR0000002JmkwIAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFNIA0,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,0,,false,false,,,,,,Test 2,,,,a1yR0000002JmkxIAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFQIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,TEST with Vishal 2,,,,a1yR0000002JmkyIAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFQIA0,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,0,,false,false,,,,,,TEST with Vishal 2,,,,a1yR0000002JmkzIAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFQIA0,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,0,,false,false,,,,,,TEST with Vishal 2,,,,a1yR0000002Jml0IAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFTIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,test2,,,,a1yR0000002Jml1IAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFTIA0,Show off your association pride by sponsoring our annual symposium at the gold level.,,10000,5,0,,false,false,,,,,,test2,,,,a1yR0000002Jml2IAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFTIA0,Show off your association pride by sponsoring our annual symposium at the silver level.,,6000,10,0,,false,false,,,,,,test2,,,,a1yR0000002Jml3IAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFWIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,ctest,,,,a1yR0000002Jml4IAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFWIA0,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,0,,false,false,,,,,,ctest,,,,a1yR0000002Jml5IAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFWIA0,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,0,,false,false,,,,,,ctest,,,,a1yR0000002Jml6IAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFZIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,ctest,,,,a1yR0000002Jml7IAC
Gold Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Gold Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFZIA0,Show off your association pride by sponsoring our annual symposium at the gold level.,,10111,5,0,,false,false,,,,,,ctest,,,,a1yR0000002Jml8IAC
Silver Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Silver Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFZIA0,Show off your association pride by sponsoring our annual symposium at the silver level,,6000,10,0,,false,false,,,,,,ctest,,,,a1yR0000002Jml9IAC
Bronze Annual Symposium Sponsor Package,,,a0sR0000004M9vaIAC,,false,,,,,Bronze Annual Symposium Sponsor Package,,false,false,,,,,https://gdo-training--framework.na78.visual.force.com/apex/AwsProxy?key=00D1N0000016MPNUA2/FtEkQKqQ_sponsor_png&bucket=fonteva-customer-media-secure,,,,true,false,false,false,a19R0000003TaFZIA0,Show off your association pride by sponsoring our annual symposium at the bronze level.,,4000,25,0,,false,false,,,,,,ctest,,,,a1yR0000002JmlAIAS
