Id,Name,joinapi__Disable_Item_Navigation_URL__c,joinapi__Dynamic_Item_Selection__c,joinapi__Enable_Account_Lookup__c,joinapi__Form__c,joinapi__Instructions__c,joinapi__Is_Authentication_Step__c,joinapi__Is_Confirmation_Step__c,joinapi__Is_Custom_Page__c,joinapi__Is_Final_Step__c,joinapi__Is_First_Step__c,joinapi__Is_Marketing_Step__c,joinapi__Is_Payment_Step__c,joinapi__Is_Product_Step__c,joinapi__Is_Published__c,joinapi__Is_Qualifying_Question__c,joinapi__Join_Process__c,joinapi__Login_Button_Label__c,joinapi__Login_Header__c,joinapi__Login_Instructions__c,joinapi__Navigation_URL__c,joinapi__New_User_Button_Label__c,joinapi__New_User_Header__c,joinapi__New_User_Instructions__c,joinapi__Next_Step_Button_Label__c,joinapi__Next_Step__c,joinapi__Order__c,joinapi__Page_Title__c,joinapi__Product_Step_Item__c,joinapi__Specific_Item_Selection__c,joinapi__Store__c,joinapi__Visual_Force_Page_API_Name__c,joinapi__Form__r.Name,joinapi__Join_Process__r.Id,joinapi__Next_Step__r.Id,joinapi__Product_Step_Item__r.Name,joinapi__Store__r.Name
a204W00000Ex6svQAB,000027,false,false,false,a0S4W00000WTI2hUAH,<p>Please fill the required Fields(If any)</p>,false,false,false,false,false,false,false,false,false,true,a1y4W0000065uXhQAI,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6swQAB,6,Qualifying Questions,,false,,,FON-Membership Application,a1y4W0000065uXhQAI,a204W00000Ex6swQAB,,
a204W00000Ex6swQAB,000028,false,true,false,,,false,false,false,false,false,false,false,true,false,false,a1y4W0000065uXhQAI,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6sxQAB,3,Product Flow(Student),,false,,,,a1y4W0000065uXhQAI,a204W00000Ex6sxQAB,,
a204W00000Ex6sxQAB,000029,false,false,false,,,false,false,false,true,false,false,true,false,false,false,a1y4W0000065uXhQAI,Login,Login,,,Create Login,Create Account,,Next Step,,9,Payment,,false,,,,a1y4W0000065uXhQAI,,,
a204W00000Ex6syQAB,000030,false,false,false,,"<p><span style=""background-color: rgb(255, 255, 255);"">You must be logged in to become a member. Create an Account here if you do not have an Account with AIE.</span></p>",true,false,false,false,false,false,false,false,false,false,a1y4W0000065uXhQAI,Login,Login,"<p><span style=""background-color: rgb(255, 255, 255);"">Provide the username and Password.</span></p>",,Create Login,Create Account,"<p><span style=""background-color: rgb(255, 255, 255);"">Please fill the mandatory details and Create an Account here.</span></p>",,a204W00000Ex6szQAB,1,Login or Create an Account,,false,,,,a1y4W0000065uXhQAI,a204W00000Ex6szQAB,,
a204W00000Ex6szQAB,000031,false,false,false,a0S4W00000WTI2hUAH,<p>Please fill the required fields(If any)</p>,false,false,false,false,false,false,false,false,false,true,a1y4W0000065uXhQAI,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6t0QAB,2,Qualifying Questions,,false,,,FON-Membership Application,a1y4W0000065uXhQAI,a204W00000Ex6t0QAB,,
a204W00000Ex6t0QAB,000032,false,true,false,,,false,false,false,false,false,false,false,true,false,false,a1y4W0000065uXhQAI,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6t1QAB,8,Product Flow,,false,,,,a1y4W0000065uXhQAI,a204W00000Ex6t1QAB,,
a204W00000Ex6t1QAB,000033,false,false,false,,,false,false,false,true,false,false,true,false,false,false,a1y4W0000065uXhQAI,Login,Login,,,Create Login,Create Account,,Next Step,,4,Payment,,false,,,,a1y4W0000065uXhQAI,,,
a204W00000Ex6t2QAB,000034,true,false,false,,"<h1><strong><span style=""font-family: Verdana, Geneva, sans-serif;"">Company Membership</span></strong></h1><p><br></p><p><span style=""font-family: Verdana, Geneva, sans-serif; font-size: 18px;"">The Company Membership is the perfect membership option for organizations such as nonprofits, government agencies, and start-ups that operate in the edtech marketplace. Our Company Members seek to build relationships with education leaders and want to share their expertise. Company Membership opens the door to communication and collaboration within the vibrant ISTE community.</span></p><p><br></p><p><span style=""font-size: 18px;""><span style=""font-family: Verdana,Geneva,sans-serif;"">Are you an individual in the field seeking to connect? We also offer <strong>Professional</strong> and <strong>Individual Memberships</strong>.</span></span></p><p><br></p><p><span style=""font-family: Verdana, Geneva, sans-serif; font-size: 18px;"">Please note that you must create an account and be logged in to purchase a membership.</span></p>",false,false,false,false,true,true,false,false,false,false,a1y4W0000065uXiQAI,Login,Login,,,Create Login,Create Account,,Proceed,a204W00000Ex6t3QAB,0,Join us,,false,,,,a1y4W0000065uXiQAI,a204W00000Ex6t3QAB,,
a204W00000Ex6t3QAB,000035,false,false,false,,"<p><span style=""background-color: rgb(255, 255, 255);"">Welcome to the Corporate Membership Portal!</span></p>",true,false,false,false,false,false,false,false,false,false,a1y4W0000065uXiQAI,Login,Login,"<p>Please login using your existing Corporate Membership account credentials.</p><p><br></p><ul><li>Use your username which is the same as your institutional email address </li></ul><p> </p><p><br></p><p>If you do not remember your username, contact the Membership department for assistance by calling 999-111-2222 or by email: <span style=""color: rgb(0, 128, 128);"">test@corp.com</span></p>",,Create Login,Create Account,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(17, 17, 17);"">Make sure to use your institutional or company email address while </span>	<span style=""background-color: rgb(255, 255, 255); color: rgb(17, 17, 17);""> creating your account. Your password will be case sensitive and must be 8 characters or more, and must contain a mix of numbers and letters. Special characters are allowed, but not required.</span></p>",,a204W00000Ex6t4QAB,1,Authentication,,false,,,,a1y4W0000065uXiQAI,a204W00000Ex6t4QAB,,
a204W00000Ex6t4QAB,000036,false,false,false,a0S4W00000WTI2jUAH,<p>Please fill the Mandatory information and Select the Membership you wish to purchase.</p>,false,false,false,false,false,false,false,false,false,true,a1y4W0000065uXiQAI,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6t5QAB,2,Qualifying Questions,,false,,,FON-Company Membership Application,a1y4W0000065uXiQAI,a204W00000Ex6t5QAB,,
a204W00000Ex6t5QAB,000037,false,true,false,,,false,false,false,false,false,false,false,true,false,false,a1y4W0000065uXiQAI,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6t6QAB,3,Join Us,,false,,,,a1y4W0000065uXiQAI,a204W00000Ex6t6QAB,,
a204W00000Ex6t6QAB,000038,false,false,false,,,false,false,false,true,false,false,true,false,false,false,a1y4W0000065uXiQAI,Login,Login,,,Create Login,Create Account,,Next Step,,4,Payment,,false,,,,a1y4W0000065uXiQAI,,,
a204W00000Ex6tIQAR,000039,false,false,false,,,false,false,false,false,false,true,false,false,false,false,,Login,Login,,,Create Login,Create Account,,Next Step,,,Marketing,,false,,,,,,,
a204W00000Ex6t7QAB,000043,false,false,false,,,false,false,false,true,false,false,true,false,false,false,a1y4W0000065uXjQAI,Login,Login,,,Create Login,Create Account,,Next Step,,,Payment,,false,,,,a1y4W0000065uXjQAI,,,
a204W00000Ex6t8QAB,000045,false,false,false,,,true,false,false,false,false,false,false,false,false,false,a1y4W0000065uXjQAI,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6t9QAB,,Authentication,,false,,,,a1y4W0000065uXjQAI,a204W00000Ex6t9QAB,,
a204W00000Ex6t9QAB,000046,false,false,false,a0S4W00000WTI2oUAH,,false,false,false,false,false,false,false,false,false,true,a1y4W0000065uXjQAI,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6tBQAR,,Qualifying Questions,,false,,,FON-State and Local Chapter Information,a1y4W0000065uXjQAI,a204W00000Ex6tBQAR,,
a204W00000Ex6tAQAR,000051,true,false,false,,"<h2>We&#39;re Here to Help.</h2><p>Your patients count on you to give them the best care, now count on the <span style=""background-color: rgb(255, 255, 255);"">International Association </span> give you the tools and resources to focus your time where it matters most. When you join the <span style=""background-color: rgb(255, 255, 255);"">International Association </span>, you gain a network that’s committed to:</p><ul><li>Advancing the specialty of family medicine</li><li>Strengthening members’ collective voice</li><li>Providing solutions to enhance patient care</li></ul><h4><strong>What Is Your Membership Worth?</strong></h4><p>As a member, you will receive a variety of exclusive products, programs, services, and discounts totaling nearly $3,000 in member savings.</p><p><br></p><p><a href=""https://www.aafp.org/membership/benefits/member-value.html"" target=""_blank"" style=""color: rgb(219, 159, 64);""><strong>Learn More About Member Value</strong></a></p><p>The International Association represents 131,400 physicians and medical students nationwide, as the only medical society devoted solely to primary care. Family physicians conduct approximately one in five office visits -- that’s 192 million visits annually or 48 percent more than the next most visited medical specialty.</p><p>As a member, not only will you help advance this important specialty, but you’ll also have exclusive access to our CME reporting service, discounts on hundreds of courses and products, and leading-edge career and practice support.</p>",false,false,false,false,true,true,false,false,false,false,a1y4W0000065uXjQAI,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6t8QAB,,Marketing,,false,,,,a1y4W0000065uXjQAI,a204W00000Ex6t8QAB,,
a204W00000Ex6tBQAR,000052,false,false,false,,,false,false,false,false,false,false,false,true,false,false,a1y4W0000065uXjQAI,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6tCQAR,,Product Flow,a154W000008mjpEQAQ,true,,,,a1y4W0000065uXjQAI,a204W00000Ex6tCQAR,FON - National Membership,
a204W00000Ex6tCQAR,000053,false,false,false,,,false,false,false,true,false,false,true,false,false,false,a1y4W0000065uXjQAI,Login,Login,,,Create Login,Create Account,,Next Step,,,Payment,,false,,,,a1y4W0000065uXjQAI,,,
