Name,EventApi__City__c,EventApi__Country__c,EventApi__Description__c,EventApi__Display_Map__c,EventApi__Event_Category__c,EventApi__Event__c,EventApi__Image_URL__c,EventApi__Is_Primary_Venue__c,EventApi__Phone__c,EventApi__Postal_Code__c,EventApi__State__c,EventApi__Street__c,EventApi__Website__c,EventApi__HTML_Description__c,EventApi__Event_Location__Latitude__s,EventApi__Event_Location__Longitude__s,Errors,Id
Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110OzIAI
W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110P0IAI
Putnam County Middle School,Eatonton,US,,true,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Lafayette_High_School_%28Lexington%2C_KY%29_in_August_2019.jpg,true,,31024,GA,140 Sparta Highway,,"<p>The auditorium is the area for the main event, but there is also a student garden filled with beehives. Honey will be available for sale in the cafeteria!</p>",33.3337044,-83.3689217,,a26R000000110P1IAI
W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110P2IAI
Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110P3IAI
FON-The Depot,Minneapolis,United States,,true,,a1mR0000001R1zXIAS,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4/ShWHFgdO_88cfb1a8b68f446c978b502e542a4677.png,true,,55401,MN,225 3rd Avenue South,,,,,,a26R000000110P4IAI
FON-Salesforce Tower,San Francisco,United States,"<p>San Francisco's tallest building, Saleforce Tower is a 1.4 million sq-ft, 61 story Pelli Clarke Pelli Building on the corners of 1st, Mission and Fremont Streets.</p>",true,,a1mR0000001R1zYIAS,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4/wSHhHVaw_salesforce-tower-skyline-golden-gate-767.jpg,true,,94111,CA,1 California Street,,"<p>San Francisco&#39;s tallest building, Saleforce Tower is a 1.4 million sq-ft, 61 story Pelli Clarke Pelli Building on the corners of 1st, Mission and Fremont Streets.</p>",,,,a26R000000110P5IAI
FON-Fonteva,Arlington,United States,,true,,a1mR0000001R1zZIAS,,true,,22203,VA,4420 Fairfax Drive,,,,,,a26R000000110P6IAI
FON-Washington Hilton,Washington,USA,"This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.",true,,a1mR0000001R1zbIAC,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4/GKmHwURf_hh_portecochere_2_1270x560_FitToBoxSmallDimension_LowerCenter.jpg,true,,20009,DC,1919 Connecticut Ave NW,,"This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.",,,,a26R000000110P7IAI
FON-University Campus,Orono,United States,,true,,,,true,,,Maine,331 College Ave,,,,,,a26R000000110P8IAI
FON-Washington Hilton,Washington,USA,"This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.",true,,,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4/GKmHwURf_hh_portecochere_2_1270x560_FitToBoxSmallDimension_LowerCenter.jpg,true,,20009,DC,1919 Connecticut Ave NW,,"This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.",,,,a26R000000110P9IAI
Washington Hilton,Washington,United States,,true,,a1mR0000001R1zfIAC,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PAIAY
W Hotel DC,Washington,United States,,true,,a1mR0000001R1zfIAC,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110PBIAY
FON-The Depot,Minneapolis,United States,,true,,,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4/ShWHFgdO_88cfb1a8b68f446c978b502e542a4677.png,true,,55401,MN,225 3rd Avenue South,,,,,,a26R000000110PCIAY
W Hotel DC,Washington,,,true,,a1mR0000001R1zbIAC,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=undefined/BnjkNvAr_download_jpeg&bucket=fonteva-customer-media-secure,false,,20004,,515 15th St NW,,,,,,a26R000000110PDIAY
FON-Washington Hilton,Washington,USA,"This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.",true,,,https://fonteva-customer-media.s3.amazonaws.com/00D1I000000nqo4/GKmHwURf_hh_portecochere_2_1270x560_FitToBoxSmallDimension_LowerCenter.jpg,true,,20009,DC,1919 Connecticut Ave NW,,"This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.",,,,a26R000000110PEIAY
W Hotel DC,Washington,,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=undefined/BnjkNvAr_download_jpeg&bucket=fonteva-customer-media-secure,false,,20004,,515 15th St NW,,,,,,a26R000000110PFIAY
W Hotel DC,Washington,United States,,true,,a1mR0000001R1ziIAC,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110PGIAY
Washington Hilton,Washington,United States,,true,,a1mR0000001R1ziIAC,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PHIAY
W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110PIIAY
Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PJIAY
Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PKIAY
W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110PLIAY
Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PMIAY
Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PNIAY
W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110POIAY
Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PPIAY
W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110PQIAY
Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PRIAY
W Hotel DC,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110PSIAY
Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PTIAY
W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110PUIAY
Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PVIAY
Washington Hilton,Washington,United States,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast and afternoon snacks. Theres a full business center, 15 meeting rooms and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PWIAY
W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110PXIAY
Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PYIAY
W Hotel DC,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/gUWpEETm_pov_w_hotel_dc_jpg&bucket=fonteva-customer-media-secure,false,,20004,DC,516 15th Street Northwest,,<p>The POV is located at the top of the W Hotel. Join us for a networking happy hour event.</p>,38.8965741,-77.0336826,,a26R000000110PZIAY
Washington Hilton,Washington,US,,true,,,https://tso-data--framework.na50.visual.force.com/apex/AwsProxy?key=00D6A0000039vRfUAI/HfegxnpM_Hilton_Hotel_jpg&bucket=fonteva-customer-media-secure,true,,20009,DC,1919 Connecticut Avenue Northwest,,"<p>This modern conference hotel, featuring 1,000+ rooms, is an 11-minute walk from the restaurants of trendy Dupont Circle. The sleek rooms feature ergonomic chairs, laptop-size safes, and WiFi (fee; free in lobby). Club-level rooms offer access to a lounge providing free WiFi, continental breakfast, and afternoon snacks. There&#39;s a full business center, 15 meeting rooms, and a ballroom. Amenities include an American restaurant, a sports bar, fitness center (surcharge), a seasonal outdoor pool, and a sun deck with fire pits and views of the Washington Monument.</p>",38.9163788,-77.0452025,,a26R000000110PaIAI
