Name,OrderApi__Description__c,OrderApi__Is_Active__c,OrderApi__Is_Default__c,OrderApi__Is_Primary__c,OrderApi__Item_Class__c,OrderApi__Receives_Email_Notifications__c,Errors,Id
Default Attendee,,true,true,false,a19R0000003TaCbIAK,false,,a0mR000000BSxRrIAL
Primary Attendee,,true,false,true,a19R0000003TaCbIAK,false,,a0mR000000BSxRsIAL
Default Attendee,,true,true,false,a19R0000003TaCdIAK,false,,a0mR000000BSxRtIAL
Primary Attendee,,true,false,true,a19R0000003TaCdIAK,false,,a0mR000000BSxRuIAL
Default Attendee,,true,true,false,a19R0000003TaCfIAK,false,,a0mR000000BSxRvIAL
Primary Attendee,,true,false,true,a19R0000003TaCfIAK,false,,a0mR000000BSxRwIAL
Default Attendee,,true,true,false,a19R0000003TaChIAK,false,,a0mR000000BSxRxIAL
Primary Attendee,,true,false,true,a19R0000003TaChIAK,false,,a0mR000000BSxRyIAL
Default Attendee,,true,true,false,a19R0000003TaCjIAK,false,,a0mR000000BSxRzIAL
Primary Attendee,,true,false,true,a19R0000003TaCjIAK,false,,a0mR000000BSxS0IAL
Default Attendee,,true,true,false,a19R0000003TaClIAK,false,,a0mR000000BSxS1IAL
Primary Attendee,,true,false,true,a19R0000003TaClIAK,false,,a0mR000000BSxS2IAL
Default Attendee,,true,true,false,a19R0000003TaCnIAK,false,,a0mR000000BSxS3IAL
Primary Attendee,,true,false,true,a19R0000003TaCnIAK,false,,a0mR000000BSxS4IAL
Default Attendee,,true,true,false,a19R0000003TaCpIAK,false,,a0mR000000BSxS5IAL
Primary Attendee,,true,false,true,a19R0000003TaCpIAK,false,,a0mR000000BSxS6IAL
Default Attendee,,true,true,false,a19R0000003TaCqIAK,false,,a0mR000000BSxS7IAL
Primary Attendee,,true,false,true,a19R0000003TaCqIAK,false,,a0mR000000BSxS8IAL
Primary,,true,true,true,,false,,a0mR000000BSxS9IAL
Primary,,true,false,true,a19R0000003TaCOIA0,false,,a0mR000000BSxSAIA1
Member,,true,false,false,,false,,a0mR000000BSxSBIA1
member,,true,false,false,,false,,a0mR000000BSxSCIA1
Member,,true,true,false,a19R0000003TaCOIA0,false,,a0mR000000BSxSDIA1
Default Attendee,,true,true,false,a19R0000003TaCUIA0,false,,a0mR000000BSxSEIA1
Primary Attendee,,true,false,true,a19R0000003TaCUIA0,false,,a0mR000000BSxSFIA1
Default Attendee,,true,true,false,a19R0000003TaCVIA0,false,,a0mR000000BSxSGIA1
Primary Attendee,,true,false,true,a19R0000003TaCVIA0,false,,a0mR000000BSxSHIA1
Default Attendee,,true,true,false,a19R0000003TaCXIA0,false,,a0mR000000BSxSIIA1
Primary Attendee,,true,false,true,a19R0000003TaCXIA0,false,,a0mR000000BSxSJIA1
Default Attendee,,true,true,false,a19R0000003TaCYIA0,false,,a0mR000000BSxSKIA1
Primary Attendee,,true,false,true,a19R0000003TaCYIA0,false,,a0mR000000BSxSLIA1
Default Attendee,,true,true,false,a19R0000003TaCZIA0,false,,a0mR000000BSxSMIA1
Primary Attendee,,true,false,true,a19R0000003TaCZIA0,false,,a0mR000000BSxSNIA1
