Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,PagesApi__Page_Element__c,PagesApi__Key__c,PagesApi__Type__c,PagesApi__Value__c,PagesApi__Page_Element__r.Id
a0X4W00001tyuRaUAI,false,71,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,numberOfPayments,String,"2,3,4,5,6,7,8,9,10,11,12,24,36",a0Y4W00000GYay5UAD
a0X4W00001tyuRbUAI,false,72,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,supportingFundLabel,String,Available Funds,a0Y4W00000GYay5UAD
a0X4W00001tyuRcUAI,false,73,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,areaOfGreatestNeedLabel,String,Area Of Greatest Need,a0Y4W00000GYay5UAD
a0X4W00001tyuRdUAI,false,74,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,defaultFund,String,,a0Y4W00000GYay5UAD
a0X4W00001tyuReUAI,false,75,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,chooseFromAList,String,Select Funds,a0Y4W00000GYay5UAD
a0X4W00001tyuRfUAI,false,76,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,fundSearchType,String,Picklist,a0Y4W00000GYay5UAD
a0X4W00001tyuRgUAI,false,77,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,writeInLabel,String,Write In,a0Y4W00000GYay5UAD
a0X4W00001tyuRhUAI,false,78,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,writeInDefaultItem,String,,a0Y4W00000GYay5UAD
a0X4W00001tyuRiUAI,false,79,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,fundSearchLabel,String,Fund Search,a0Y4W00000GYay5UAD
a0X4W00001tyuRjUAI,false,80,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,filterByCategoryLabel,String,Filter By Category,a0Y4W00000GYay5UAD
a0X4W00001tyuRkUAI,false,81,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,viewMoreLabel,String,View More,a0Y4W00000GYay5UAD
a0X4W00001tyuRlUAI,false,82,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,searchResultsHeaderLabel,String,Search Results,a0Y4W00000GYay5UAD
a0X4W00001tyuRmUAI,false,83,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,noSearchResultsHeaderLabel,String,Uh oh! Couldn't find anything,a0Y4W00000GYay5UAD
a0X4W00001tyuRnUAI,false,84,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,continueModalLabel,String,Continue,a0Y4W00000GYay5UAD
a0X4W00001tyuRoUAI,false,85,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,preferencesLabel,String,Options,a0Y4W00000GYay5UAD
a0X4W00001tyuRpUAI,false,86,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,iWishToGiveSummaryTableLabel,String,I Wish To Give...,a0Y4W00000GYay5UAD
a0X4W00001tyuRqUAI,false,87,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,companyMatchLabel,String,"Yes, my company will match my donation",a0Y4W00000GYay5UAD
a0X4W00001tyuRrUAI,false,88,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,inHonorMemoryLabel,String,Dedicate my donation in honor of or in memory of someone,a0Y4W00000GYay5UAD
a0X4W00001tyuRsUAI,false,89,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,honorFieldSet,String,Fon_In_Memory_Of_Donation_Fields,a0Y4W00000GYay5UAD
a0X4W00001tyuRtUAI,false,90,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,sidebarHTML,String,,a0Y4W00000GYay5UAD
a0X4W00001tyuRuUAI,false,91,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,showCampaignStats,Boolean,true,a0Y4W00000GYay5UAD
a0X4W00001tyuRvUAI,false,92,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,donationDescription,String,,a0Y4W00000GYay5UAD
a0X4W00001tyuRwUAI,false,93,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,donationCampaignEndDate,Date,2018-08-14,a0Y4W00000GYay5UAD
a0X4W00001tyuRxUAI,false,94,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,showCampaignProgress,Boolean,true,a0Y4W00000GYay5UAD
a0X4W00001tyuRyUAI,false,95,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,progressDisplayStyle,String,Text,a0Y4W00000GYay5UAD
a0X4W00001tyuRzUAI,false,96,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,areYouSureAlertLabel,String,Are You Sure?,a0Y4W00000GYay5UAD
a0X4W00001tyuS0UAI,false,97,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,warningMessageAlertLabel,String,This will remove your donations!,a0Y4W00000GYay5UAD
a0X4W00001tyuS1UAI,false,98,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,fundTableMissingAmount,String,Whoops!,a0Y4W00000GYay5UAD
a0X4W00001tyuS2UAI,false,99,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,fundTableMissingAmountDescription,String,Forgot to enter an amount,a0Y4W00000GYay5UAD
a0X4W00001tyuS3UAI,false,100,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,warningMessageDelete,String,No Donation amount specified,a0Y4W00000GYay5UAD
a0X4W00001tyuS4UAI,false,101,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,warningMessageDeleteDescription,String,Must have at least one donation,a0Y4W00000GYay5UAD
a0X4W00001tyuS5UAI,false,102,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,addCartLabel,String,Donate,a0Y4W00000GYay5UAD
a0X4W00001tyuS6UAI,false,103,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,customCss,String,,a0Y4W00000GYay5UAD
a0X4W00001tyuS7UAI,false,104,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,cancelModalButtonLabel,String,Cancel,a0Y4W00000GYay5UAD
a0X4W00001tyuS8UAI,false,105,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,selectedItemCountLabel,String,Selected,a0Y4W00000GYay5UAD
a0X4W00001tyuS9UAI,false,106,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,selectedItemHeaderLabel,String,Selected Items,a0Y4W00000GYay5UAD
a0X4W00001tyuSAUAY,false,107,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,warningNoFundsSelectedTitle,String,Whoops!,a0Y4W00000GYay5UAD
a0X4W00001tyuSBUAY,false,108,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,warningNoFundsSelectedDescription,String,At Least One Fund Must Be Selected,a0Y4W00000GYay5UAD
a0X4W00001tyuSCUAY,false,109,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,errorCatalogNotPublishedTitle,String,Uh Oh!,a0Y4W00000GYay5UAD
a0X4W00001tyuSEUAY,false,111,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,editFundTableDonationsLinkLabel,String,Edit,a0Y4W00000GYay5UAD
a0X4W00001tyuSFUAY,false,112,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,termedRecurringOverviewText,String,"I wish to donate {{ donation }} {{ frequency }} for {{ installments }} months starting on {{ start_date }}, totaling {{ grand_total }}",a0Y4W00000GYay5UAD
a0X4W00001tyuSGUAY,false,113,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,evergreenRecurringOverviewText,String,I wish to donate {{ donation }} {{ frequency }} starting on {{ start_date }},a0Y4W00000GYay5UAD
a0X4W00001tyuSHUAY,false,114,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,companyNameLabel,String,Company Name,a0Y4W00000GYay5UAD
a0X4W00001tyuSIUAY,false,115,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,writeInPlaceHolder,String,,a0Y4W00000GYay5UAD
a0X4W00001tyuSJUAY,false,116,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,startDatePlaceHolder,String,Start Date,a0Y4W00000GYay5UAD
a0X4W00001tyuSKUAY,false,117,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,companyInputPlaceHolder,String,Enter Company,a0Y4W00000GYay5UAD
a0X4W00001tyuSDUAY,false,110,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,errorCatalogNotPublishedDescription,String,Houston we have a problem,a0Y4W00000GYay5UAD
