Id,External_Id__c,OrderApi__Sales_Order_Line__c,OrderApi__Sales_Order_Line__r.External_Id__c
a1S4W000003diuBUAQ,145,a1I4W00000H4JuRUAV,749
a1S4W000003diuCUAQ,146,a1I4W00000H4JuvUAF,1079
a1S4W000003diuDUAQ,147,a1I4W00000H4JuwUAF,1080
a1S4W000003diuEUAQ,148,a1I4W00000H4Jv5UAF,1089
a1S4W000003diuFUAQ,149,a1I4W00000H4JvBUAV,1169
a1S4W000003diuHUAQ,150,a1I4W00000H4JvbUAF,1350
a1S4W000003diuGUAQ,151,a1I4W00000H4JvdUAF,1352
a1S4W000003diuJUAQ,152,a1I4W00000H4JvfUAF,1354
a1S4W000003diuKUAQ,153,a1I4W00000H4JviUAF,1357
a1S4W000003diuIUAQ,154,a1I4W00000H4JvrUAF,1439
a1S4W000003diuLUAQ,155,a1I4W00000H4JvuUAF,1442
a1S4W000003diuMUAQ,156,a1I4W00000H4Jw9UAF,1654
a1S4W000003diuNUAQ,157,a1I4W00000H4JwCUAV,1657
a1S4W000003diuOUAQ,158,a1I4W00000H4JwDUAV,1658
a1S4W000003diuPUAQ,159,a1I4W00000H4JwGUAV,1661
a1S4W000003diuQUAQ,160,a1I4W00000H4JwJUAV,1664
a1S4W000003diuRUAQ,161,a1I4W00000H4JwMUAV,1759
a1S4W000003diuSUAQ,162,a1I4W00000H4JwYUAV,1771
a1S4W000003diuTUAQ,163,a1I4W00000H4JwZUAV,1869
a1S4W000003diuUUAQ,164,a1I4W00000H4JwcUAF,1872
a1S4W000003diuVUAQ,165,a1I4W00000H4JwfUAF,1875
